Organisation,Whitehall,Group,Include
Scottish Public Pensions Agency,NWH,ScotGov,No
Social Work Inspection Agency (until 2011),NWH,ScotGov,No
Student Awards Agency for Scotland,NWH,ScotGov,No
Transport Scotland,NWH,ScotGov,No
Security and Intelligence Services,NWH,FCO,Yes
"Transport, Department for (incl agencies)",Whole,DfT,No
"Transport, Department for (excl agencies)",WH,DfT,Yes
Driver and Vehicle Licensing Agency,NWH,DfT,Yes
Driving Standards Agency,NWH,DfT,Yes
Government Car and Despatch Agency,NWH,DfT,Yes
Highways Agency,NWH,DfT,Yes
Maritime and Coastguard Agency,NWH,DfT,Yes
Office of Rail Regulator,NWH,DfT,Yes
Vehicle and Operator Services Agency,NWH,DfT,Yes
Vehicle Certification Agency,NWH,DfT,Yes
Welsh Assembly Government (incl agencies),Whole,WelshGov,No
Welsh Assembly Government (excl agencies),NWH,WelshGov,No
Estyn - HM Inspectorate for Education and Training in Wales (until 2010 - now separate dept),NWH,WelshGov,No
United Kingdom Statistics Authority (from 2009),NWH,HMT,Yes
"Work and Pensions, Department for (incl agencies)",Whole,DWP,No
Child Maintenance & Enforcement Commission (from 2009 to 2012),NWH,DWP,Yes
Child Support Agency (until 2008),NWH,DWP,Yes
Department for Work and Pensions (excl agencies) (from 2012),NWH,DWP,Yes
Disability and Carers Service (until 2008),NWH,DWP,Yes
DWP Corporate and Shared Services (until 2011),NWH,DWP,Yes
Health and Safety Executive,NWH,DWP,Yes
Jobcentre Plus (until 2011),NWH,DWP,Yes
Pension Services (until 2008),NWH,DWP,Yes
"Pensions, Disability and Carer's Service (from 2009 until 2011)",NWH,DWP,Yes
DWP Shared Services (until 2009),NWH,DWP,Yes
Rent Service (until 2009),NWH,DWP,Yes
