Organisation,Whitehall,Group,Managed,Include
Cabinet Office (incl agencies),Whole,CO,FALSE,No
Central Office of Information,NWH,CO,FALSE,Yes
Central Office of Information (until 2012),NWH,CO,FALSE,Yes
Charity Commission,NWH,CO,FALSE,Yes
Government Procurement Service (from 2011),NWH,CO,FALSE,Yes
National School of Government (until 2011),NWH,CO,FALSE,Yes
Office of the Parliamentary Counsel,NWH,CO,TRUE,Yes
OGC Buying Solutions (until 2010 : responsibility moved to Cabinet Office in 2011 survey),NWH,CO,FALSE,Yes
Chancellor's Departments including HM Treasury,Whole,CD,FALSE,No
"Advisory, Conciliation and Arbitration Service",NWH,BIS,FALSE,Yes
"Business, Innovation and Skills (incl agencies)",Whole,BIS,FALSE,No
"Business, Innovations and Skills (excl agencies)",WH,BIS,TRUE,Yes
Companies House,NWH,BIS,FALSE,Yes
"Innovation, Universities and Skills, Department for (excl agencies) (until 2009)",WH,BIS,TRUE,Yes
"Innovation, Universities and Skills, Department for (incl agencies) (until 2009)",Whole,BIS,FALSE,No
Insolvency Service,NWH,BIS,FALSE,Yes
Land Registry (from 2012),NWH,BIS,FALSE,Yes
Met Office (from 2012),NWH,BIS,FALSE,Yes
National Measurement Office (from 2010),NWH,BIS,FALSE,Yes
National Weights and Measures Laboratory (until 2009),NWH,BIS,FALSE,Yes
Office of Fair Trading,NWH,BIS,FALSE,Yes
Office of Gas and Electricity Market,NWH,BIS,FALSE,Yes
Ordnance Survey (from 2012),NWH,BIS,FALSE,Yes
Postal Services Commission (until 2011),NWH,BIS,FALSE,Yes
Skills Funding Agency (from 2011),NWH,BIS,FALSE,Yes
UK Intellectual Property Office (from 2010),NWH,BIS,FALSE,Yes
UK Intellectual Property Office (until 2009),NWH,BIS,FALSE,Yes
UK Space Agency (from 2012),NWH,BIS,FALSE,Yes
Attorney General's Departments,WH,AGO,FALSE,No
Attorney General's Office,WH,AGO,TRUE,No
Crown Prosecution Service,NWH,AGO,FALSE,No
Crown Prosecution Service Inspectorate,NWH,AGO,FALSE,No
National Fraud Authority (from 2010 to 2011),NWH,AGO,FALSE,No
Revenue and Customs Prosecutions Office (until 2009),NWH,AGO,FALSE,No
Serious Fraud Office,NWH,AGO,FALSE,No
Treasury Solicitor,NWH,AGO,FALSE,No
