"","Group","Whitehall","Gender","Date","Civil.Service.grad","count","total","share","grp"
"25","BIS","NWH","Female",2012,"SCS",70,14990,0.00466977985323549,"BISFemale"
"26","BIS","NWH","Female",2013,"AO/AA",1370,15070,0.0909090909090909,"BISFemale"
"27","BIS","NWH","Female",2013,"EO",2890,15070,0.191771731917717,"BISFemale"
"28","BIS","NWH","Female",2013,"G6/G7",620,15070,0.0411413404114134,"BISFemale"
"29","BIS","NWH","Female",2013,"SEO/HEO",2710,15070,0.179827471798275,"BISFemale"
"30","BIS","NWH","Female",2013,"SCS",70,15070,0.0046449900464499,"BISFemale"
"31","BIS","NWH","Male",2008,"AO/AA",860,6520,0.131901840490798,"BISMale"
"32","BIS","NWH","Male",2008,"EO",610,6520,0.093558282208589,"BISMale"
"33","BIS","NWH","Male",2008,"G6/G7",460,6520,0.0705521472392638,"BISMale"
"34","BIS","NWH","Male",2008,"SEO/HEO",1080,6520,0.165644171779141,"BISMale"
"35","BIS","NWH","Male",2008,"SCS",70,6520,0.0107361963190184,"BISMale"
"36","BIS","NWH","Male",2009,"AO/AA",820,6650,0.123308270676692,"BISMale"
"37","BIS","NWH","Male",2009,"EO",630,6650,0.0947368421052632,"BISMale"
"38","BIS","NWH","Male",2009,"G6/G7",480,6650,0.0721804511278196,"BISMale"
"39","BIS","NWH","Male",2009,"SEO/HEO",1090,6650,0.16390977443609,"BISMale"
"40","BIS","NWH","Male",2009,"SCS",80,6650,0.0120300751879699,"BISMale"
"41","BIS","NWH","Male",2010,"AO/AA",800,6890,0.11611030478955,"BISMale"
"42","BIS","NWH","Male",2010,"EO",660,6890,0.0957910014513788,"BISMale"
"43","BIS","NWH","Male",2010,"G6/G7",520,6890,0.0754716981132075,"BISMale"
"44","BIS","NWH","Male",2010,"SEO/HEO",1160,6890,0.168359941944848,"BISMale"
"45","BIS","NWH","Male",2010,"SCS",80,6890,0.011611030478955,"BISMale"
"46","BIS","NWH","Male",2011,"AO/AA",820,8340,0.0983213429256595,"BISMale"
"47","BIS","NWH","Male",2011,"EO",810,8340,0.0971223021582734,"BISMale"
"48","BIS","NWH","Male",2011,"G6/G7",620,8340,0.0743405275779376,"BISMale"
"49","BIS","NWH","Male",2011,"SEO/HEO",1430,8340,0.171462829736211,"BISMale"
"50","BIS","NWH","Male",2011,"SCS",120,8340,0.0143884892086331,"BISMale"
"51","BIS","NWH","Male",2012,"AO/AA",810,14990,0.0540360240160107,"BISMale"
"52","BIS","NWH","Male",2012,"EO",2070,14990,0.13809206137425,"BISMale"
"53","BIS","NWH","Male",2012,"G6/G7",1030,14990,0.0687124749833222,"BISMale"
"54","BIS","NWH","Male",2012,"SEO/HEO",3370,14990,0.224816544362909,"BISMale"
"55","BIS","NWH","Male",2012,"SCS",110,14990,0.00733822548365577,"BISMale"
"56","BIS","NWH","Male",2013,"AO/AA",790,15070,0.0524220305242203,"BISMale"
"57","BIS","NWH","Male",2013,"EO",2040,15070,0.135368281353683,"BISMale"
