"Dept","Managed","value","measure","Period","group"
"MoJ","Y",0,"Reclass","2012Q2","MoJ-Y"
"NIO","Y",0,"Reclass","2012Q2","NIO-Y"
"Scot Gov","Y",0,"Reclass","2012Q2","Scot Gov-Y"
"Welsh Gov","Y",0,"Reclass","2012Q2","Welsh Gov-Y"
"AGO","N",0,"Reclass","2012Q2","AGO-N"
"BIS","N",0,"Reclass","2012Q2","BIS-N"
"CO","N",-68,"Reclass","2012Q2","CO-N"
"DCLG","N",0,"Reclass","2012Q2","DCLG-N"
"DCMS","N",0,"Reclass","2012Q2","DCMS-N"
"DECC","N",0,"Reclass","2012Q2","DECC-N"
"DEFRA","N",0,"Reclass","2012Q2","DEFRA-N"
"DfE","N",0,"Reclass","2012Q2","DfE-N"
"DfID","N",0,"Reclass","2012Q2","DfID-N"
"DfT","N",0,"Reclass","2012Q2","DfT-N"
"DH","N",0,"Reclass","2012Q2","DH-N"
"DWP","N",0,"Reclass","2012Q2","DWP-N"
"FCO","N",0,"Reclass","2012Q2","FCO-N"
"GEO","N",0,"Reclass","2012Q2","GEO-N"
"HMRC","N",0,"Reclass","2012Q2","HMRC-N"
"HMT","N",0,"Reclass","2012Q2","HMT-N"
"HO","N",0,"Reclass","2012Q2","HO-N"
"MoD","N",0,"Reclass","2012Q2","MoD-N"
"MoJ","N",0,"Reclass","2012Q2","MoJ-N"
"NIO","N",0,"Reclass","2012Q2","NIO-N"
"Scot Gov","N",0,"Reclass","2012Q2","Scot Gov-N"
"Welsh Gov","N",0,"Reclass","2012Q2","Welsh Gov-N"
"AGO","Departmental Group",0,"Reclass","2012Q2","AGO-Departmental Group"
"BIS","Departmental Group",30,"Reclass","2012Q2","BIS-Departmental Group"
"CO","Departmental Group",30,"Reclass","2012Q2","CO-Departmental Group"
"DCLG","Departmental Group",0,"Reclass","2012Q2","DCLG-Departmental Group"
"DCMS","Departmental Group",0,"Reclass","2012Q2","DCMS-Departmental Group"
"DECC","Departmental Group",0,"Reclass","2012Q2","DECC-Departmental Group"
"DEFRA","Departmental Group",0,"Reclass","2012Q2","DEFRA-Departmental Group"
"DfE","Departmental Group",1120,"Reclass","2012Q2","DfE-Departmental Group"
"DfID","Departmental Group",0,"Reclass","2012Q2","DfID-Departmental Group"
"DfT","Departmental Group",0,"Reclass","2012Q2","DfT-Departmental Group"
"DH","Departmental Group",0,"Reclass","2012Q2","DH-Departmental Group"
"DWP","Departmental Group",0,"Reclass","2012Q2","DWP-Departmental Group"
"FCO","Departmental Group",0,"Reclass","2012Q2","FCO-Departmental Group"
"GEO","Departmental Group",0,"Reclass","2012Q2","GEO-Departmental Group"
"HMRC","Departmental Group",0,"Reclass","2012Q2","HMRC-Departmental Group"
"HMT","Departmental Group",-30,"Reclass","2012Q2","HMT-Departmental Group"
"HO","Departmental Group",0,"Reclass","2012Q2","HO-Departmental Group"
"MoD","Departmental Group",0,"Reclass","2012Q2","MoD-Departmental Group"
"MoJ","Departmental Group",0,"Reclass","2012Q2","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Reclass","2012Q2","NIO-Departmental Group"
"Scot Gov","Departmental Group",0,"Reclass","2012Q2","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",0,"Reclass","2012Q2","Welsh Gov-Departmental Group"
"Total","Y",1218,"Reclass","2012Q2","Total-Y"
"Total","N",-68,"Reclass","2012Q2","Total-N"
"Total","Departmental Group",1150,"Reclass","2012Q2","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",1218,"Reclass","2012Q2","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",-68,"Reclass","2012Q2","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",1150,"Reclass","2012Q2","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",0,"Reclass","2012Q2","Total employment-Total Employment ONS total"
"AGO","Y",0,"Reclass","2012Q3","AGO-Y"
"BIS","Y",0,"Reclass","2012Q3","BIS-Y"
"CO","Y",0,"Reclass","2012Q3","CO-Y"
"DCLG","Y",0,"Reclass","2012Q3","DCLG-Y"
"DCMS","Y",0,"Reclass","2012Q3","DCMS-Y"
"DECC","Y",0,"Reclass","2012Q3","DECC-Y"
"DEFRA","Y",0,"Reclass","2012Q3","DEFRA-Y"
"DfE","Y",0,"Reclass","2012Q3","DfE-Y"
"DfID","Y",0,"Reclass","2012Q3","DfID-Y"
"DfT","Y",0,"Reclass","2012Q3","DfT-Y"
"DH","Y",0,"Reclass","2012Q3","DH-Y"
"DWP","Y",0,"Reclass","2012Q3","DWP-Y"
"FCO","Y",0,"Reclass","2012Q3","FCO-Y"
"GEO","Y",0,"Reclass","2012Q3","GEO-Y"
"HMRC","Y",0,"Reclass","2012Q3","HMRC-Y"
"HMT","Y",0,"Reclass","2012Q3","HMT-Y"
"HO","Y",0,"Reclass","2012Q3","HO-Y"
"MoD","Y",0,"Reclass","2012Q3","MoD-Y"
"MoJ","Y",0,"Reclass","2012Q3","MoJ-Y"
"NIO","Y",0,"Reclass","2012Q3","NIO-Y"
"Scot Gov","Y",0,"Reclass","2012Q3","Scot Gov-Y"
"Welsh Gov","Y",0,"Reclass","2012Q3","Welsh Gov-Y"
"AGO","N",0,"Reclass","2012Q3","AGO-N"
"BIS","N",0,"Reclass","2012Q3","BIS-N"
"CO","N",0,"Reclass","2012Q3","CO-N"
"DCLG","N",0,"Reclass","2012Q3","DCLG-N"
"DCMS","N",0,"Reclass","2012Q3","DCMS-N"
"DECC","N",0,"Reclass","2012Q3","DECC-N"
"DEFRA","N",0,"Reclass","2012Q3","DEFRA-N"
"DfE","N",0,"Reclass","2012Q3","DfE-N"
"DfID","N",0,"Reclass","2012Q3","DfID-N"
"DfT","N",0,"Reclass","2012Q3","DfT-N"
"DH","N",0,"Reclass","2012Q3","DH-N"
"DWP","N",0,"Reclass","2012Q3","DWP-N"
"FCO","N",0,"Reclass","2012Q3","FCO-N"
"GEO","N",0,"Reclass","2012Q3","GEO-N"
"HMRC","N",0,"Reclass","2012Q3","HMRC-N"
"HMT","N",0,"Reclass","2012Q3","HMT-N"
"HO","N",0,"Reclass","2012Q3","HO-N"
"MoD","N",0,"Reclass","2012Q3","MoD-N"
"MoJ","N",0,"Reclass","2012Q3","MoJ-N"
"NIO","N",0,"Reclass","2012Q3","NIO-N"
"Scot Gov","N",0,"Reclass","2012Q3","Scot Gov-N"
"Welsh Gov","N",0,"Reclass","2012Q3","Welsh Gov-N"
"AGO","Departmental Group",0,"Reclass","2012Q3","AGO-Departmental Group"
"BIS","Departmental Group",0,"Reclass","2012Q3","BIS-Departmental Group"
"CO","Departmental Group",0,"Reclass","2012Q3","CO-Departmental Group"
"DCLG","Departmental Group",0,"Reclass","2012Q3","DCLG-Departmental Group"
"DCMS","Departmental Group",0,"Reclass","2012Q3","DCMS-Departmental Group"
"DECC","Departmental Group",0,"Reclass","2012Q3","DECC-Departmental Group"
"DEFRA","Departmental Group",0,"Reclass","2012Q3","DEFRA-Departmental Group"
"DfE","Departmental Group",0,"Reclass","2012Q3","DfE-Departmental Group"
"DfID","Departmental Group",0,"Reclass","2012Q3","DfID-Departmental Group"
"DfT","Departmental Group",0,"Reclass","2012Q3","DfT-Departmental Group"
"DH","Departmental Group",0,"Reclass","2012Q3","DH-Departmental Group"
"DWP","Departmental Group",0,"Reclass","2012Q3","DWP-Departmental Group"
"FCO","Departmental Group",0,"Reclass","2012Q3","FCO-Departmental Group"
"GEO","Departmental Group",0,"Reclass","2012Q3","GEO-Departmental Group"
"HMRC","Departmental Group",0,"Reclass","2012Q3","HMRC-Departmental Group"
"HMT","Departmental Group",0,"Reclass","2012Q3","HMT-Departmental Group"
"HO","Departmental Group",0,"Reclass","2012Q3","HO-Departmental Group"
"MoD","Departmental Group",0,"Reclass","2012Q3","MoD-Departmental Group"
"MoJ","Departmental Group",0,"Reclass","2012Q3","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Reclass","2012Q3","NIO-Departmental Group"
"Scot Gov","Departmental Group",0,"Reclass","2012Q3","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",0,"Reclass","2012Q3","Welsh Gov-Departmental Group"
"Total","Y",0,"Reclass","2012Q3","Total-Y"
"Total","N",0,"Reclass","2012Q3","Total-N"
"Total","Departmental Group",0,"Reclass","2012Q3","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",0,"Reclass","2012Q3","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",0,"Reclass","2012Q3","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",0,"Reclass","2012Q3","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",0,"Reclass","2012Q3","Total employment-Total Employment ONS total"
"AGO","Y",0,"Reclass","2012Q4","AGO-Y"
"BIS","Y",0,"Reclass","2012Q4","BIS-Y"
"CO","Y",0,"Reclass","2012Q4","CO-Y"
"DCLG","Y",0,"Reclass","2012Q4","DCLG-Y"
"DCMS","Y",0,"Reclass","2012Q4","DCMS-Y"
"DECC","Y",0,"Reclass","2012Q4","DECC-Y"
"DEFRA","Y",0,"Reclass","2012Q4","DEFRA-Y"
"DfE","Y",0,"Reclass","2012Q4","DfE-Y"
"DfID","Y",0,"Reclass","2012Q4","DfID-Y"
"DfT","Y",0,"Reclass","2012Q4","DfT-Y"
"DH","Y",0,"Reclass","2012Q4","DH-Y"
"DWP","Y",0,"Reclass","2012Q4","DWP-Y"
"FCO","Y",0,"Reclass","2012Q4","FCO-Y"
"GEO","Y",0,"Reclass","2012Q4","GEO-Y"
"HMRC","Y",0,"Reclass","2012Q4","HMRC-Y"
"HMT","Y",0,"Reclass","2012Q4","HMT-Y"
"HO","Y",510,"Reclass","2012Q4","HO-Y"
"MoD","Y",0,"Reclass","2012Q4","MoD-Y"
"MoJ","Y",0,"Reclass","2012Q4","MoJ-Y"
"NIO","Y",0,"Reclass","2012Q4","NIO-Y"
"Scot Gov","Y",0,"Reclass","2012Q4","Scot Gov-Y"
"Welsh Gov","Y",0,"Reclass","2012Q4","Welsh Gov-Y"
"AGO","N",0,"Reclass","2012Q4","AGO-N"
"BIS","N",0,"Reclass","2012Q4","BIS-N"
"CO","N",0,"Reclass","2012Q4","CO-N"
"DCLG","N",0,"Reclass","2012Q4","DCLG-N"
"DCMS","N",0,"Reclass","2012Q4","DCMS-N"
"DECC","N",0,"Reclass","2012Q4","DECC-N"
"DEFRA","N",0,"Reclass","2012Q4","DEFRA-N"
"DfE","N",0,"Reclass","2012Q4","DfE-N"
"DfID","N",0,"Reclass","2012Q4","DfID-N"
"DfT","N",0,"Reclass","2012Q4","DfT-N"
"DH","N",0,"Reclass","2012Q4","DH-N"
"DWP","N",0,"Reclass","2012Q4","DWP-N"
"FCO","N",0,"Reclass","2012Q4","FCO-N"
"GEO","N",0,"Reclass","2012Q4","GEO-N"
"HMRC","N",0,"Reclass","2012Q4","HMRC-N"
"HMT","N",0,"Reclass","2012Q4","HMT-N"
"HO","N",-470,"Reclass","2012Q4","HO-N"
"MoD","N",0,"Reclass","2012Q4","MoD-N"
"MoJ","N",0,"Reclass","2012Q4","MoJ-N"
"NIO","N",0,"Reclass","2012Q4","NIO-N"
"Scot Gov","N",0,"Reclass","2012Q4","Scot Gov-N"
"Welsh Gov","N",0,"Reclass","2012Q4","Welsh Gov-N"
"AGO","Departmental Group",0,"Reclass","2012Q4","AGO-Departmental Group"
"BIS","Departmental Group",0,"Reclass","2012Q4","BIS-Departmental Group"
"CO","Departmental Group",0,"Reclass","2012Q4","CO-Departmental Group"
"DCLG","Departmental Group",0,"Reclass","2012Q4","DCLG-Departmental Group"
"DCMS","Departmental Group",0,"Reclass","2012Q4","DCMS-Departmental Group"
"DECC","Departmental Group",0,"Reclass","2012Q4","DECC-Departmental Group"
"DEFRA","Departmental Group",0,"Reclass","2012Q4","DEFRA-Departmental Group"
"DfE","Departmental Group",0,"Reclass","2012Q4","DfE-Departmental Group"
"DfID","Departmental Group",0,"Reclass","2012Q4","DfID-Departmental Group"
"DfT","Departmental Group",0,"Reclass","2012Q4","DfT-Departmental Group"
"DH","Departmental Group",0,"Reclass","2012Q4","DH-Departmental Group"
"DWP","Departmental Group",0,"Reclass","2012Q4","DWP-Departmental Group"
"FCO","Departmental Group",0,"Reclass","2012Q4","FCO-Departmental Group"
"GEO","Departmental Group",0,"Reclass","2012Q4","GEO-Departmental Group"
"HMRC","Departmental Group",0,"Reclass","2012Q4","HMRC-Departmental Group"
"HMT","Departmental Group",0,"Reclass","2012Q4","HMT-Departmental Group"
"HO","Departmental Group",40,"Reclass","2012Q4","HO-Departmental Group"
"MoD","Departmental Group",0,"Reclass","2012Q4","MoD-Departmental Group"
"MoJ","Departmental Group",0,"Reclass","2012Q4","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Reclass","2012Q4","NIO-Departmental Group"
"Scot Gov","Departmental Group",0,"Reclass","2012Q4","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",0,"Reclass","2012Q4","Welsh Gov-Departmental Group"
"Total","Y",510,"Reclass","2012Q4","Total-Y"
"Total","N",-470,"Reclass","2012Q4","Total-N"
"Total","Departmental Group",40,"Reclass","2012Q4","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",510,"Reclass","2012Q4","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",-470,"Reclass","2012Q4","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",40,"Reclass","2012Q4","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",0,"Reclass","2012Q4","Total employment-Total Employment ONS total"
"AGO","Y",0,"Reclass","2013Q1","AGO-Y"
"BIS","Y",0,"Reclass","2013Q1","BIS-Y"
"CO","Y",0,"Reclass","2013Q1","CO-Y"
"DCLG","Y",0,"Reclass","2013Q1","DCLG-Y"
"DCMS","Y",100,"Reclass","2013Q1","DCMS-Y"
"DECC","Y",0,"Reclass","2013Q1","DECC-Y"
"DEFRA","Y",0,"Reclass","2013Q1","DEFRA-Y"
"DfE","Y",0,"Reclass","2013Q1","DfE-Y"
"DfID","Y",0,"Reclass","2013Q1","DfID-Y"
"DfT","Y",0,"Reclass","2013Q1","DfT-Y"
"DH","Y",0,"Reclass","2013Q1","DH-Y"
"DWP","Y",0,"Reclass","2013Q1","DWP-Y"
"FCO","Y",0,"Reclass","2013Q1","FCO-Y"
"GEO","Y",0,"Reclass","2013Q1","GEO-Y"
"HMRC","Y",0,"Reclass","2013Q1","HMRC-Y"
"HMT","Y",0,"Reclass","2013Q1","HMT-Y"
"HO","Y",-100,"Reclass","2013Q1","HO-Y"
"MoD","Y",0,"Reclass","2013Q1","MoD-Y"
"MoJ","Y",0,"Reclass","2013Q1","MoJ-Y"
"NIO","Y",0,"Reclass","2013Q1","NIO-Y"
"Scot Gov","Y",0,"Reclass","2013Q1","Scot Gov-Y"
"Welsh Gov","Y",0,"Reclass","2013Q1","Welsh Gov-Y"
"AGO","N",0,"Reclass","2013Q1","AGO-N"
"BIS","N",0,"Reclass","2013Q1","BIS-N"
"CO","N",0,"Reclass","2013Q1","CO-N"
"DCLG","N",-130,"Reclass","2013Q1","DCLG-N"
"DCMS","N",0,"Reclass","2013Q1","DCMS-N"
"DECC","N",0,"Reclass","2013Q1","DECC-N"
"DEFRA","N",0,"Reclass","2013Q1","DEFRA-N"
"DfE","N",0,"Reclass","2013Q1","DfE-N"
"DfID","N",0,"Reclass","2013Q1","DfID-N"
"DfT","N",0,"Reclass","2013Q1","DfT-N"
"DH","N",0,"Reclass","2013Q1","DH-N"
"DWP","N",0,"Reclass","2013Q1","DWP-N"
"FCO","N",0,"Reclass","2013Q1","FCO-N"
"GEO","N",0,"Reclass","2013Q1","GEO-N"
"HMRC","N",0,"Reclass","2013Q1","HMRC-N"
"HMT","N",0,"Reclass","2013Q1","HMT-N"
"HO","N",0,"Reclass","2013Q1","HO-N"
"MoD","N",0,"Reclass","2013Q1","MoD-N"
"MoJ","N",0,"Reclass","2013Q1","MoJ-N"
"NIO","N",0,"Reclass","2013Q1","NIO-N"
"Scot Gov","N",0,"Reclass","2013Q1","Scot Gov-N"
"Welsh Gov","N",40,"Reclass","2013Q1","Welsh Gov-N"
"AGO","Departmental Group",0,"Reclass","2013Q1","AGO-Departmental Group"
"BIS","Departmental Group",0,"Reclass","2013Q1","BIS-Departmental Group"
"CO","Departmental Group",0,"Reclass","2013Q1","CO-Departmental Group"
"DCLG","Departmental Group",-130,"Reclass","2013Q1","DCLG-Departmental Group"
"DCMS","Departmental Group",100,"Reclass","2013Q1","DCMS-Departmental Group"
"DECC","Departmental Group",0,"Reclass","2013Q1","DECC-Departmental Group"
"DEFRA","Departmental Group",0,"Reclass","2013Q1","DEFRA-Departmental Group"
"DfE","Departmental Group",0,"Reclass","2013Q1","DfE-Departmental Group"
"DfID","Departmental Group",0,"Reclass","2013Q1","DfID-Departmental Group"
"DfT","Departmental Group",0,"Reclass","2013Q1","DfT-Departmental Group"
"DH","Departmental Group",0,"Reclass","2013Q1","DH-Departmental Group"
"DWP","Departmental Group",0,"Reclass","2013Q1","DWP-Departmental Group"
"FCO","Departmental Group",0,"Reclass","2013Q1","FCO-Departmental Group"
"GEO","Departmental Group",0,"Reclass","2013Q1","GEO-Departmental Group"
"HMRC","Departmental Group",0,"Reclass","2013Q1","HMRC-Departmental Group"
"HMT","Departmental Group",0,"Reclass","2013Q1","HMT-Departmental Group"
"HO","Departmental Group",-100,"Reclass","2013Q1","HO-Departmental Group"
"MoD","Departmental Group",0,"Reclass","2013Q1","MoD-Departmental Group"
"MoJ","Departmental Group",0,"Reclass","2013Q1","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Reclass","2013Q1","NIO-Departmental Group"
"Scot Gov","Departmental Group",0,"Reclass","2013Q1","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",40,"Reclass","2013Q1","Welsh Gov-Departmental Group"
"Total","Y",0,"Reclass","2013Q1","Total-Y"
"Total","N",-90,"Reclass","2013Q1","Total-N"
"Total","Departmental Group",-90,"Reclass","2013Q1","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",0,"Reclass","2013Q1","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",-90,"Reclass","2013Q1","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",-90,"Reclass","2013Q1","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",0,"Reclass","2013Q1","Total employment-Total Employment ONS total"
"AGO","Y",0,"Reclass","2013Q2","AGO-Y"
"BIS","Y",0,"Reclass","2013Q2","BIS-Y"
"CO","Y",0,"Reclass","2013Q2","CO-Y"
"DCLG","Y",0,"Reclass","2013Q2","DCLG-Y"
"DCMS","Y",0,"Reclass","2013Q2","DCMS-Y"
"DECC","Y",0,"Reclass","2013Q2","DECC-Y"
"DEFRA","Y",0,"Reclass","2013Q2","DEFRA-Y"
"DfE","Y",0,"Reclass","2013Q2","DfE-Y"
"DfID","Y",0,"Reclass","2013Q2","DfID-Y"
"DfT","Y",90,"Reclass","2013Q2","DfT-Y"
"DH","Y",0,"Reclass","2013Q2","DH-Y"
"DWP","Y",-70,"Reclass","2013Q2","DWP-Y"
"FCO","Y",0,"Reclass","2013Q2","FCO-Y"
"GEO","Y",0,"Reclass","2013Q2","GEO-Y"
"HMRC","Y",0,"Reclass","2013Q2","HMRC-Y"
"HMT","Y",0,"Reclass","2013Q2","HMT-Y"
"HO","Y",0,"Reclass","2013Q2","HO-Y"
"MoD","Y",0,"Reclass","2013Q2","MoD-Y"
"MoJ","Y",1600,"Reclass","2013Q2","MoJ-Y"
"NIO","Y",0,"Reclass","2013Q2","NIO-Y"
"Scot Gov","Y",0,"Reclass","2013Q2","Scot Gov-Y"
"Welsh Gov","Y",0,"Reclass","2013Q2","Welsh Gov-Y"
"AGO","N",70,"Reclass","2013Q2","AGO-N"
"BIS","N",0,"Reclass","2013Q2","BIS-N"
"CO","N",0,"Reclass","2013Q2","CO-N"
"DCLG","N",0,"Reclass","2013Q2","DCLG-N"
"DCMS","N",0,"Reclass","2013Q2","DCMS-N"
"DECC","N",0,"Reclass","2013Q2","DECC-N"
"DEFRA","N",0,"Reclass","2013Q2","DEFRA-N"
"DfE","N",0,"Reclass","2013Q2","DfE-N"
"DfID","N",0,"Reclass","2013Q2","DfID-N"
"DfT","N",-90,"Reclass","2013Q2","DfT-N"
"DH","N",4800,"Reclass","2013Q2","DH-N"
"DWP","N",0,"Reclass","2013Q2","DWP-N"
"FCO","N",0,"Reclass","2013Q2","FCO-N"
"GEO","N",0,"Reclass","2013Q2","GEO-N"
"HMRC","N",0,"Reclass","2013Q2","HMRC-N"
"HMT","N",0,"Reclass","2013Q2","HMT-N"
"HO","N",0,"Reclass","2013Q2","HO-N"
"MoD","N",0,"Reclass","2013Q2","MoD-N"
"MoJ","N",0,"Reclass","2013Q2","MoJ-N"
"NIO","N",0,"Reclass","2013Q2","NIO-N"
"Scot Gov","N",0,"Reclass","2013Q2","Scot Gov-N"
"Welsh Gov","N",0,"Reclass","2013Q2","Welsh Gov-N"
"AGO","Departmental Group",70,"Reclass","2013Q2","AGO-Departmental Group"
"BIS","Departmental Group",0,"Reclass","2013Q2","BIS-Departmental Group"
"CO","Departmental Group",0,"Reclass","2013Q2","CO-Departmental Group"
"DCLG","Departmental Group",0,"Reclass","2013Q2","DCLG-Departmental Group"
"DCMS","Departmental Group",0,"Reclass","2013Q2","DCMS-Departmental Group"
"DECC","Departmental Group",0,"Reclass","2013Q2","DECC-Departmental Group"
"DEFRA","Departmental Group",0,"Reclass","2013Q2","DEFRA-Departmental Group"
"DfE","Departmental Group",0,"Reclass","2013Q2","DfE-Departmental Group"
"DfID","Departmental Group",0,"Reclass","2013Q2","DfID-Departmental Group"
"DfT","Departmental Group",0,"Reclass","2013Q2","DfT-Departmental Group"
"DH","Departmental Group",4800,"Reclass","2013Q2","DH-Departmental Group"
"DWP","Departmental Group",-70,"Reclass","2013Q2","DWP-Departmental Group"
"FCO","Departmental Group",0,"Reclass","2013Q2","FCO-Departmental Group"
"GEO","Departmental Group",0,"Reclass","2013Q2","GEO-Departmental Group"
"HMRC","Departmental Group",0,"Reclass","2013Q2","HMRC-Departmental Group"
"HMT","Departmental Group",0,"Reclass","2013Q2","HMT-Departmental Group"
"HO","Departmental Group",0,"Reclass","2013Q2","HO-Departmental Group"
"MoD","Departmental Group",0,"Reclass","2013Q2","MoD-Departmental Group"
"MoJ","Departmental Group",1600,"Reclass","2013Q2","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Reclass","2013Q2","NIO-Departmental Group"
"Scot Gov","Departmental Group",0,"Reclass","2013Q2","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",0,"Reclass","2013Q2","Welsh Gov-Departmental Group"
"Total","Y",1620,"Reclass","2013Q2","Total-Y"
"Total","N",4780,"Reclass","2013Q2","Total-N"
"Total","Departmental Group",6400,"Reclass","2013Q2","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",1620,"Reclass","2013Q2","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",4780,"Reclass","2013Q2","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",6400,"Reclass","2013Q2","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",0,"Reclass","2013Q2","Total employment-Total Employment ONS total"
"AGO","Y",0,"Reclass","2013Q3","AGO-Y"
"BIS","Y",0,"Reclass","2013Q3","BIS-Y"
"CO","Y",0,"Reclass","2013Q3","CO-Y"
"DCLG","Y",0,"Reclass","2013Q3","DCLG-Y"
"DCMS","Y",0,"Reclass","2013Q3","DCMS-Y"
"DECC","Y",0,"Reclass","2013Q3","DECC-Y"
"DEFRA","Y",0,"Reclass","2013Q3","DEFRA-Y"
"DfE","Y",0,"Reclass","2013Q3","DfE-Y"
"DfID","Y",0,"Reclass","2013Q3","DfID-Y"
"DfT","Y",0,"Reclass","2013Q3","DfT-Y"
"DH","Y",0,"Reclass","2013Q3","DH-Y"
"DWP","Y",0,"Reclass","2013Q3","DWP-Y"
"FCO","Y",0,"Reclass","2013Q3","FCO-Y"
"GEO","Y",0,"Reclass","2013Q3","GEO-Y"
"HMRC","Y",0,"Reclass","2013Q3","HMRC-Y"
"HMT","Y",0,"Reclass","2013Q3","HMT-Y"
"HO","Y",-60,"Reclass","2013Q3","HO-Y"
"MoD","Y",0,"Reclass","2013Q3","MoD-Y"
"MoJ","Y",0,"Reclass","2013Q3","MoJ-Y"
"NIO","Y",0,"Reclass","2013Q3","NIO-Y"
"Scot Gov","Y",0,"Reclass","2013Q3","Scot Gov-Y"
"Welsh Gov","Y",0,"Reclass","2013Q3","Welsh Gov-Y"
"AGO","N",60,"Reclass","2013Q3","AGO-N"
"BIS","N",0,"Reclass","2013Q3","BIS-N"
"CO","N",0,"Reclass","2013Q3","CO-N"
"DCLG","N",0,"Reclass","2013Q3","DCLG-N"
"DCMS","N",0,"Reclass","2013Q3","DCMS-N"
"DECC","N",0,"Reclass","2013Q3","DECC-N"
"DEFRA","N",0,"Reclass","2013Q3","DEFRA-N"
"DfE","N",0,"Reclass","2013Q3","DfE-N"
"DfID","N",0,"Reclass","2013Q3","DfID-N"
"DfT","N",0,"Reclass","2013Q3","DfT-N"
"DH","N",0,"Reclass","2013Q3","DH-N"
"DWP","N",0,"Reclass","2013Q3","DWP-N"
"FCO","N",0,"Reclass","2013Q3","FCO-N"
"GEO","N",0,"Reclass","2013Q3","GEO-N"
"HMRC","N",0,"Reclass","2013Q3","HMRC-N"
"HMT","N",0,"Reclass","2013Q3","HMT-N"
"HO","N",0,"Reclass","2013Q3","HO-N"
"MoD","N",0,"Reclass","2013Q3","MoD-N"
"MoJ","N",0,"Reclass","2013Q3","MoJ-N"
"NIO","N",0,"Reclass","2013Q3","NIO-N"
"Scot Gov","N",0,"Reclass","2013Q3","Scot Gov-N"
"Welsh Gov","N",0,"Reclass","2013Q3","Welsh Gov-N"
"AGO","Departmental Group",60,"Reclass","2013Q3","AGO-Departmental Group"
"BIS","Departmental Group",0,"Reclass","2013Q3","BIS-Departmental Group"
"CO","Departmental Group",0,"Reclass","2013Q3","CO-Departmental Group"
"DCLG","Departmental Group",0,"Reclass","2013Q3","DCLG-Departmental Group"
"DCMS","Departmental Group",0,"Reclass","2013Q3","DCMS-Departmental Group"
"DECC","Departmental Group",0,"Reclass","2013Q3","DECC-Departmental Group"
"DEFRA","Departmental Group",0,"Reclass","2013Q3","DEFRA-Departmental Group"
"DfE","Departmental Group",0,"Reclass","2013Q3","DfE-Departmental Group"
"DfID","Departmental Group",0,"Reclass","2013Q3","DfID-Departmental Group"
"DfT","Departmental Group",0,"Reclass","2013Q3","DfT-Departmental Group"
"DH","Departmental Group",0,"Reclass","2013Q3","DH-Departmental Group"
"DWP","Departmental Group",0,"Reclass","2013Q3","DWP-Departmental Group"
"FCO","Departmental Group",0,"Reclass","2013Q3","FCO-Departmental Group"
"GEO","Departmental Group",0,"Reclass","2013Q3","GEO-Departmental Group"
"HMRC","Departmental Group",0,"Reclass","2013Q3","HMRC-Departmental Group"
"HMT","Departmental Group",0,"Reclass","2013Q3","HMT-Departmental Group"
"HO","Departmental Group",-60,"Reclass","2013Q3","HO-Departmental Group"
"MoD","Departmental Group",0,"Reclass","2013Q3","MoD-Departmental Group"
"MoJ","Departmental Group",0,"Reclass","2013Q3","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Reclass","2013Q3","NIO-Departmental Group"
"Scot Gov","Departmental Group",0,"Reclass","2013Q3","Scot Gov-Departmental Group"
