"puborg","puburl","saved.as","extension","url","marked.as.csv","filetitle","pubtitle","pubdescription","date_year","month","senjun","organogram","staff","workforce","annual","payments","strategy","special","recruitment","meetings","earners","hospitality","expenses","spending","ministerial","travel","business","date","abbrev","coredept","include","filename"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-archive","Cabinet Office_295","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/60741/cabinet-office-staff-template-seniordata_0.csv","TRUE","Senior Staff Posts in 2011 in CSV Format","Cabinet Office staff and salary data: archive","Archive of organograms and senior salaries for the Cabinet Office, Independent Office and Boundary Commission for England. ","2011",NA,"senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 NA","CO",TRUE,TRUE,"Cabinet Office_295.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-archive","Cabinet Office_300","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/60746/co-senior-staff-posts_0.csv","TRUE","Senior Staff Posts in CSV Format","Cabinet Office staff and salary data: archive","Archive of organograms and senior salaries for the Cabinet Office, Independent Office and Boundary Commission for England. ",NA,NA,"senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","CO",TRUE,TRUE,"Cabinet Office_300.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-as-at-30-september-2013","Cabinet Office_423","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/264126/Cabinet-Office-FINAL--30-Sept-2013-senior-data.csv","TRUE","Cabinet Office staff and salary data  senior posts as at 30 September 2013","Cabinet Office staff and salary data as at 30 September 2013","Staff and salary data for Cabinet Office, including junior and senior posts.","2013","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 September","CO",TRUE,TRUE,"Cabinet Office_423.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-as-at-30-september-2013","Cabinet Office_426","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/264634/BCE-FINAL-30-Sept-2013-senior-data.csv","TRUE","Boundary Commission for England staff and salary data  senior posts as at 30 September 2013","Cabinet Office staff and salary data as at 30 September 2013","Staff and salary data for Cabinet Office, including junior and senior posts.","2013","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 September","CO",TRUE,TRUE,"Cabinet Office_426.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-archive","Cabinet Office_293","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/60739/BCEstaffandsalarydataFINALTEMPLATEv2seniordata_.csv","TRUE","Boundary Commission for England staff and salary data  senior posts as at 30 September 2011","Cabinet Office staff and salary data: archive","Archive of organograms and senior salaries for the Cabinet Office, Independent Office and Boundary Commission for England. ","2011","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 September","CO",TRUE,TRUE,"Cabinet Office_293.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-as-at-31-march-2013","Cabinet Office_601","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/207337/CABINET-OFFICE-FINAL-TEMPLATE-MARCH-2013-senior-data.csv","TRUE","Cabinet Office staff and salary data  senior posts as at 31 March 2013","Cabinet Office staff and salary data as at 31 March 2013","Staff and salary data for Cabinet Office.","2013","March","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 March","CO",TRUE,TRUE,"Cabinet Office_601.csv"
"Cabinet Office","http://www.gov.uk/government/publications/cabinet-office-staff-and-salary-data-archive","Cabinet Office_298","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/60744/co-senior-staff-salaries_0.csv","TRUE","Senior Staff Salaries in CSV Format","Cabinet Office staff and salary data: archive","Archive of organograms and senior salaries for the Cabinet Office, Independent Office and Boundary Commission for England. ",NA,NA,"senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","CO",TRUE,TRUE,"Cabinet Office_298.csv"
"Department for Business, Innovation & Skills","http://www.gov.uk/government/publications/bis-senior-staff-posts-and-pay-30-september-2012","Department for Business, Innovation & Skills_275","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/48837/senior-grades-pay-data-2012-09-30.csv","TRUE","BIS senior staff posts and pay: 30 September 2012","BIS senior staff posts and pay: 30 September 2012","BIS senior staff posts and pay, as of 30 September 2012. ","2012","September","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 September","BIS",TRUE,TRUE,"Department for Business, Innovation & Skills_275.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/government-offices-staff-data-and-organogram-30-june-2010","Department for Communities and Local Government_176","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/6189/1751751.csv","TRUE","Government Offices Network senior posts dataset (.csv format)","Government offices staff data and organogram: 30 June 2010","Posts and salary data for staff in the government offices network.","2010","June","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010 June","DCLG",TRUE,TRUE,"Department for Communities and Local Government_176.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/government-offices-staff-data-and-organogram-31-march-2011","Department for Communities and Local Government_172","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/11578/1920409.csv","TRUE","Government Offices Network senior posts dataset (.csv format)","Government offices staff data and organogram: 31 March 2011","Posts and salary data for staff in the government offices network.","2011","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 March","DCLG",TRUE,TRUE,"Department for Communities and Local Government_172.csv"
