"","Group","Date","Civil.Service.grad","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"132","HMT",2013,"EO",2,"Male",50,1240,0.0403225806451613,"HMTMale",0.120967741935484,0.241935483870968,0.656451612903226,0.656451612903226,FALSE,0.0403225806451613
"133","HMT",2013,"EO",2,"Female",-100,1240,-0.0806451612903226,"HMTFemale",0.120967741935484,0.241935483870968,0.656451612903226,0.656451612903226,FALSE,-0.0806451612903226
"134","HMT",2013,"AO/AA",1,"Male",20,1240,0.0161290322580645,"HMTMale",0.0725806451612903,0.0725806451612903,0.656451612903226,0.656451612903226,FALSE,0.0161290322580645
"135","HMT",2013,"SCS",5,"Male",70,1240,0.0564516129032258,"HMTMale",0.0967741935483871,0.483870967741935,0.656451612903226,0.656451612903226,FALSE,0.0564516129032258
"136","HMT",2013,"AO/AA",1,"Female",-70,1240,-0.0564516129032258,"HMTFemale",0.0725806451612903,0.0725806451612903,0.656451612903226,0.656451612903226,FALSE,-0.0564516129032258
"137","HMT",2013,"SEO/HEO",3,"Male",270,1240,0.217741935483871,"HMTMale",0.387096774193548,1.16129032258065,0.656451612903226,0.656451612903226,FALSE,0.217741935483871
"138","HMT",2013,"SEO/HEO",3,"Female",-210,1240,-0.169354838709677,"HMTFemale",0.387096774193548,1.16129032258065,0.656451612903226,0.656451612903226,FALSE,-0.169354838709677
"139","HMT",2013,"G6/G7",4,"Male",250,1240,0.201612903225806,"HMTMale",0.330645161290323,1.32258064516129,0.656451612903226,0.656451612903226,FALSE,0.201612903225806
"140","HMT",2013,"SCS",5,"Female",-50,1240,-0.0403225806451613,"HMTFemale",0.0967741935483871,0.483870967741935,0.656451612903226,0.656451612903226,FALSE,-0.0403225806451613
"141","HO",2013,"SCS",5,"Female",-80,26450,-0.00302457466918715,"HOFemale",0.00831758034026465,0.0415879017013233,0.4165595463138,0.4165595463138,FALSE,-0.00302457466918715
"142","HO",2013,"SCS",5,"Male",140,26450,0.00529300567107751,"HOMale",0.00831758034026465,0.0415879017013233,0.4165595463138,0.4165595463138,FALSE,0.00529300567107751
"143","HO",2013,"SEO/HEO",3,"Female",-2900,26450,-0.109640831758034,"HOFemale",0.227599243856333,0.682797731568998,0.4165595463138,0.4165595463138,FALSE,-0.109640831758034
"144","HO",2013,"G6/G7",4,"Male",980,26450,0.0370510396975425,"HOMale",0.067296786389414,0.269187145557656,0.4165595463138,0.4165595463138,FALSE,0.0370510396975425
"145","HO",2013,"G6/G7",4,"Female",-800,26450,-0.0302457466918715,"HOFemale",0.067296786389414,0.269187145557656,0.4165595463138,0.4165595463138,FALSE,-0.0302457466918715
"146","HO",2013,"EO",2,"Female",-5190,26450,-0.196219281663516,"HOFemale",0.392060491493384,0.784120982986767,0.4165595463138,0.4165595463138,FALSE,-0.196219281663516
"147","HO",2013,"AO/AA",1,"Male",3260,26450,0.123251417769376,"HOMale",0.305103969754253,0.305103969754253,0.4165595463138,0.4165595463138,FALSE,0.123251417769376
"148","HO",2013,"AO/AA",1,"Female",-4810,26450,-0.181852551984877,"HOFemale",0.305103969754253,0.305103969754253,0.4165595463138,0.4165595463138,FALSE,-0.181852551984877
"149","HO",2013,"EO",2,"Male",5180,26450,0.195841209829868,"HOMale",0.392060491493384,0.784120982986767,0.4165595463138,0.4165595463138,FALSE,0.195841209829868
"150","HO",2013,"SEO/HEO",3,"Male",3120,26450,0.117958412098299,"HOMale",0.227599243856333,0.682797731568998,0.4165595463138,0.4165595463138,FALSE,0.117958412098299
"151","MoD",2013,"G6/G7",4,"Male",2910,58440,0.0497946611909651,"MoDMale",0.0658795345653662,0.263518138261465,0.393463381245722,0.393463381245722,FALSE,0.0497946611909651
"152","MoD",2013,"G6/G7",4,"Female",-940,58440,-0.0160848733744011,"MoDFemale",0.0658795345653662,0.263518138261465,0.393463381245722,0.393463381245722,FALSE,-0.0160848733744011
"153","MoD",2013,"AO/AA",1,"Male",14680,58440,0.25119780971937,"MoDMale",0.414271047227926,0.414271047227926,0.393463381245722,0.393463381245722,FALSE,0.25119780971937
"154","MoD",2013,"SCS",5,"Male",200,58440,0.00342231348391513,"MoDMale",0.00444900752908966,0.0222450376454483,0.393463381245722,0.393463381245722,FALSE,0.00342231348391513
"155","MoD",2013,"AO/AA",1,"Female",-9530,58440,-0.163073237508556,"MoDFemale",0.414271047227926,0.414271047227926,0.393463381245722,0.393463381245722,FALSE,-0.163073237508556
"156","MoD",2013,"EO",2,"Female",-3740,58440,-0.0639972621492129,"MoDFemale",0.179329226557153,0.358658453114305,0.393463381245722,0.393463381245722,FALSE,-0.0639972621492129
"157","MoD",2013,"EO",2,"Male",6740,58440,0.11533196440794,"MoDMale",0.179329226557153,0.358658453114305,0.393463381245722,0.393463381245722,FALSE,0.11533196440794
"158","MoD",2013,"SEO/HEO",3,"Female",-5770,58440,-0.0987337440109514,"MoDFemale",0.302874743326489,0.908624229979466,0.393463381245722,0.393463381245722,FALSE,-0.0987337440109514
"159","MoD",2013,"SEO/HEO",3,"Male",11930,58440,0.204140999315537,"MoDMale",0.302874743326489,0.908624229979466,0.393463381245722,0.393463381245722,FALSE,0.204140999315537
"160","MoD",2013,"SCS",5,"Female",-60,58440,-0.00102669404517454,"MoDFemale",0.00444900752908966,0.0222450376454483,0.393463381245722,0.393463381245722,FALSE,-0.00102669404517454
"161","MoJ",2013,"SEO/HEO",3,"Male",760,4490,0.169265033407572,"MoJMale",0.371937639198218,1.11581291759465,0.517149220489978,0.517149220489978,FALSE,0.169265033407572
"162","MoJ",2013,"SCS",5,"Male",70,4490,0.0155902004454343,"MoJMale",0.0267260579064588,0.133630289532294,0.517149220489978,0.517149220489978,FALSE,0.0155902004454343
"163","MoJ",2013,"SCS",5,"Female",-50,4490,-0.0111358574610245,"MoJFemale",0.0267260579064588,0.133630289532294,0.517149220489978,0.517149220489978,FALSE,-0.0111358574610245
"164","MoJ",2013,"G6/G7",4,"Female",-370,4490,-0.0824053452115813,"MoJFemale",0.175946547884187,0.703786191536748,0.517149220489978,0.517149220489978,FALSE,-0.0824053452115813
"165","MoJ",2013,"SEO/HEO",3,"Female",-910,4490,-0.202672605790646,"MoJFemale",0.371937639198218,1.11581291759465,0.517149220489978,0.517149220489978,FALSE,-0.202672605790646
