"","Group","Date","Civil.Service.grad","Gender","count","total","share","totalgroup","yvar"
"358","Defra",2013,"SEO/HEO","Male",1370,8680,0.157834101382488,FALSE,0.157834101382488
"359","Defra",2013,"SCS","Female",50,8680,-0.00576036866359447,FALSE,-0.00576036866359447
"360","Defra",2013,"SCS","Male",100,8680,0.0115207373271889,FALSE,0.0115207373271889
"411","DfE",2013,"AO/AA","Female",530,9310,-0.0569280343716434,FALSE,-0.0569280343716434
"412","DfE",2013,"AO/AA","Male",210,9310,0.0225563909774436,FALSE,0.0225563909774436
"413","DfE",2013,"EO","Female",1050,9310,-0.112781954887218,FALSE,-0.112781954887218
"414","DfE",2013,"EO","Male",470,9310,0.0504833512352309,FALSE,0.0504833512352309
"415","DfE",2013,"G6/G7","Female",1540,9310,-0.165413533834586,FALSE,-0.165413533834586
"416","DfE",2013,"G6/G7","Male",1360,9310,0.146079484425349,FALSE,0.146079484425349
"417","DfE",2013,"SEO/HEO","Female",2280,9310,-0.244897959183673,FALSE,-0.244897959183673
"418","DfE",2013,"SEO/HEO","Male",1550,9310,0.166487647690655,FALSE,0.166487647690655
"419","DfE",2013,"SCS","Female",170,9310,-0.0182599355531686,FALSE,-0.0182599355531686
"420","DfE",2013,"SCS","Male",210,9310,0.0225563909774436,FALSE,0.0225563909774436
"471","DfID",2013,"AO/AA","Female",60,1810,-0.0331491712707182,FALSE,-0.0331491712707182
"472","DfID",2013,"AO/AA","Male",40,1810,0.0220994475138122,FALSE,0.0220994475138122
"473","DfID",2013,"EO","Female",100,1810,-0.0552486187845304,FALSE,-0.0552486187845304
"474","DfID",2013,"EO","Male",80,1810,0.0441988950276243,FALSE,0.0441988950276243
"475","DfID",2013,"G6/G7","Female",480,1810,-0.265193370165746,FALSE,-0.265193370165746
"476","DfID",2013,"G6/G7","Male",480,1810,0.265193370165746,FALSE,0.265193370165746
"477","DfID",2013,"SEO/HEO","Female",250,1810,-0.138121546961326,FALSE,-0.138121546961326
"478","DfID",2013,"SEO/HEO","Male",240,1810,0.132596685082873,FALSE,0.132596685082873
"479","DfID",2013,"SCS","Female",30,1810,-0.0165745856353591,FALSE,-0.0165745856353591
"480","DfID",2013,"SCS","Male",50,1810,0.0276243093922652,FALSE,0.0276243093922652
"531","DfT",2013,"AO/AA","Female",4290,17880,-0.23993288590604,FALSE,-0.23993288590604
"532","DfT",2013,"AO/AA","Male",3770,17880,0.210850111856823,FALSE,0.210850111856823
"533","DfT",2013,"EO","Female",1500,17880,-0.0838926174496644,FALSE,-0.0838926174496644
"534","DfT",2013,"EO","Male",3000,17880,0.167785234899329,FALSE,0.167785234899329
"535","DfT",2013,"G6/G7","Female",400,17880,-0.0223713646532438,FALSE,-0.0223713646532438
"536","DfT",2013,"G6/G7","Male",980,17880,0.0548098434004474,FALSE,0.0548098434004474
"537","DfT",2013,"SEO/HEO","Female",1340,17880,-0.0749440715883669,FALSE,-0.0749440715883669
"538","DfT",2013,"SEO/HEO","Male",2390,17880,0.133668903803132,FALSE,0.133668903803132
"539","DfT",2013,"SCS","Female",50,17880,-0.00279642058165548,FALSE,-0.00279642058165548
"540","DfT",2013,"SCS","Male",140,17880,0.00782997762863535,FALSE,0.00782997762863535
"591","DH",2013,"AO/AA","Female",150,4510,-0.0332594235033259,FALSE,-0.0332594235033259
"592","DH",2013,"AO/AA","Male",90,4510,0.0199556541019956,FALSE,0.0199556541019956
"593","DH",2013,"EO","Female",500,4510,-0.110864745011086,FALSE,-0.110864745011086
"594","DH",2013,"EO","Male",750,4510,0.16629711751663,FALSE,0.16629711751663
"595","DH",2013,"G6/G7","Female",600,4510,-0.133037694013304,FALSE,-0.133037694013304
"596","DH",2013,"G6/G7","Male",570,4510,0.126385809312639,FALSE,0.126385809312639
"597","DH",2013,"SEO/HEO","Female",820,4510,-0.181818181818182,FALSE,-0.181818181818182
"598","DH",2013,"SEO/HEO","Male",680,4510,0.150776053215078,FALSE,0.150776053215078
"599","DH",2013,"SCS","Female",150,4510,-0.0332594235033259,FALSE,-0.0332594235033259
"600","DH",2013,"SCS","Male",220,4510,0.0487804878048781,FALSE,0.0487804878048781
"651","DWP",2013,"AO/AA","Female",36000,108280,-0.332471370520872,FALSE,-0.332471370520872
"652","DWP",2013,"AO/AA","Male",14900,108280,0.13760620613225,FALSE,0.13760620613225
"653","DWP",2013,"EO","Female",28850,108280,-0.266438862209088,FALSE,-0.266438862209088
"654","DWP",2013,"EO","Male",13320,108280,0.123014407092723,FALSE,0.123014407092723
"655","DWP",2013,"G6/G7","Female",1240,108280,-0.0114517916512745,FALSE,-0.0114517916512745
"656","DWP",2013,"G6/G7","Male",1600,108280,0.0147765053564832,FALSE,0.0147765053564832
"657","DWP",2013,"SEO/HEO","Female",7000,108280,-0.064647210934614,FALSE,-0.064647210934614
"658","DWP",2013,"SEO/HEO","Male",5090,108280,0.0470077576653122,FALSE,0.0470077576653122
"659","DWP",2013,"SCS","Female",100,108280,-0.0009235315847802,FALSE,-0.0009235315847802
"660","DWP",2013,"SCS","Male",170,108280,0.00157000369412634,FALSE,0.00157000369412634
"711","FCO",2013,"AO/AA","Female",890,11250,-0.0791111111111111,FALSE,-0.0791111111111111
"712","FCO",2013,"AO/AA","Male",700,11250,0.0622222222222222,FALSE,0.0622222222222222
"713","FCO",2013,"EO","Female",1260,11250,-0.112,FALSE,-0.112
"714","FCO",2013,"EO","Male",1730,11250,0.153777777777778,FALSE,0.153777777777778
"715","FCO",2013,"G6/G7","Female",550,11250,-0.0488888888888889,FALSE,-0.0488888888888889
"716","FCO",2013,"G6/G7","Male",1160,11250,0.103111111111111,FALSE,0.103111111111111
"717","FCO",2013,"SEO/HEO","Female",1400,11250,-0.124444444444444,FALSE,-0.124444444444444
"718","FCO",2013,"SEO/HEO","Male",3050,11250,0.271111111111111,FALSE,0.271111111111111
"719","FCO",2013,"SCS","Female",110,11250,-0.00977777777777778,FALSE,-0.00977777777777778
"720","FCO",2013,"SCS","Male",360,11250,0.032,FALSE,0.032
"771","HMRC",2013,"AO/AA","Female",26160,76700,-0.341069100391134,FALSE,-0.341069100391134
"772","HMRC",2013,"AO/AA","Male",13930,76700,0.181616688396349,FALSE,0.181616688396349
"773","HMRC",2013,"EO","Female",9970,76700,-0.129986962190352,FALSE,-0.129986962190352
"774","HMRC",2013,"EO","Male",7060,76700,0.0920469361147327,FALSE,0.0920469361147327
"775","HMRC",2013,"G6/G7","Female",1620,76700,-0.0211212516297262,FALSE,-0.0211212516297262
"776","HMRC",2013,"G6/G7","Male",2660,76700,0.0346805736636245,FALSE,0.0346805736636245
"777","HMRC",2013,"SEO/HEO","Female",6460,76700,-0.0842242503259452,FALSE,-0.0842242503259452
"778","HMRC",2013,"SEO/HEO","Male",8030,76700,0.104693611473272,FALSE,0.104693611473272
"779","HMRC",2013,"SCS","Female",120,76700,-0.0015645371577575,FALSE,-0.0015645371577575
"780","HMRC",2013,"SCS","Male",210,76700,0.00273794002607562,FALSE,0.00273794002607562
"831","HMT",2013,"AO/AA","Female",1020,5300,-0.192452830188679,FALSE,-0.192452830188679
"832","HMT",2013,"AO/AA","Male",720,5300,0.135849056603774,FALSE,0.135849056603774
"833","HMT",2013,"EO","Female",500,5300,-0.0943396226415094,FALSE,-0.0943396226415094
"834","HMT",2013,"EO","Male",280,5300,0.0528301886792453,FALSE,0.0528301886792453
"835","HMT",2013,"G6/G7","Female",320,5300,-0.060377358490566,FALSE,-0.060377358490566
"836","HMT",2013,"G6/G7","Male",530,5300,0.1,FALSE,0.1
"837","HMT",2013,"SEO/HEO","Female",860,5300,-0.162264150943396,FALSE,-0.162264150943396
"838","HMT",2013,"SEO/HEO","Male",860,5300,0.162264150943396,FALSE,0.162264150943396
"839","HMT",2013,"SCS","Female",80,5300,-0.0150943396226415,FALSE,-0.0150943396226415
"840","HMT",2013,"SCS","Male",120,5300,0.0226415094339623,FALSE,0.0226415094339623
"891","HO",2013,"AO/AA","Female",4810,26450,-0.181852551984877,FALSE,-0.181852551984877
"892","HO",2013,"AO/AA","Male",3260,26450,0.123251417769376,FALSE,0.123251417769376
"893","HO",2013,"EO","Female",5190,26450,-0.196219281663516,FALSE,-0.196219281663516
"894","HO",2013,"EO","Male",5180,26450,0.195841209829868,FALSE,0.195841209829868
"895","HO",2013,"G6/G7","Female",800,26450,-0.0302457466918715,FALSE,-0.0302457466918715
"896","HO",2013,"G6/G7","Male",980,26450,0.0370510396975425,FALSE,0.0370510396975425
"897","HO",2013,"SEO/HEO","Female",2900,26450,-0.109640831758034,FALSE,-0.109640831758034
"898","HO",2013,"SEO/HEO","Male",3120,26450,0.117958412098299,FALSE,0.117958412098299
"899","HO",2013,"SCS","Female",80,26450,-0.00302457466918715,FALSE,-0.00302457466918715
"900","HO",2013,"SCS","Male",140,26450,0.00529300567107751,FALSE,0.00529300567107751
"951","MoD",2013,"AO/AA","Female",9530,58440,-0.163073237508556,FALSE,-0.163073237508556
"952","MoD",2013,"AO/AA","Male",14680,58440,0.25119780971937,FALSE,0.25119780971937
"953","MoD",2013,"EO","Female",3740,58440,-0.0639972621492129,FALSE,-0.0639972621492129
"954","MoD",2013,"EO","Male",6740,58440,0.11533196440794,FALSE,0.11533196440794
"955","MoD",2013,"G6/G7","Female",940,58440,-0.0160848733744011,FALSE,-0.0160848733744011
"956","MoD",2013,"G6/G7","Male",2910,58440,0.0497946611909651,FALSE,0.0497946611909651
"957","MoD",2013,"SEO/HEO","Female",5770,58440,-0.0987337440109514,FALSE,-0.0987337440109514
"958","MoD",2013,"SEO/HEO","Male",11930,58440,0.204140999315537,FALSE,0.204140999315537
"959","MoD",2013,"SCS","Female",60,58440,-0.00102669404517454,FALSE,-0.00102669404517454
"960","MoD",2013,"SCS","Male",200,58440,0.00342231348391513,FALSE,0.00342231348391513
