"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"158","HMT",2011,"All grades","Disabled",230,4600,0.05,0.054421768707483,FALSE,"HMTAll grades",0.05
"159","HMT",2010,"All grades","Disabled",190,4180,0.0454545454545455,0.054421768707483,FALSE,"HMTAll grades",0.0454545454545455
"160","HMT",2008,"SCS","Disabled",0,120,0,0.054421768707483,FALSE,"HMTSCS",0
"161","HMT",2009,"All grades","Disabled",190,4970,0.0382293762575453,0.054421768707483,FALSE,"HMTAll grades",0.0382293762575453
"162","HMT",2011,"SCS","Disabled",0,150,0,0.054421768707483,FALSE,"HMTSCS",0
"163","HMT",2013,"SCS","Disabled",0,170,0,0.054421768707483,FALSE,"HMTSCS",0
"164","HMT",2013,"All grades","Disabled",240,4410,0.054421768707483,0.054421768707483,FALSE,"HMTAll grades",0.054421768707483
"165","HMT",2008,"All grades","Disabled",100,2390,0.0418410041841004,0.054421768707483,FALSE,"HMTAll grades",0.0418410041841004
"166","HMT",2010,"SCS","Disabled",0,190,0,0.054421768707483,FALSE,"HMTSCS",0
"167","HMT",2012,"SCS","Disabled",0,170,0,0.054421768707483,FALSE,"HMTSCS",0
"168","HMT",2009,"SCS","Disabled",0,160,0,0.054421768707483,FALSE,"HMTSCS",0
"169","HO",2011,"SCS","Disabled",10,190,0.0526315789473684,0.0897703549060543,FALSE,"HOSCS",0.0526315789473684
"170","HO",2013,"All grades","Disabled",2150,23950,0.0897703549060543,0.0897703549060543,FALSE,"HOAll grades",0.0897703549060543
"171","HO",2012,"All grades","Disabled",1630,24430,0.0667212443716742,0.0897703549060543,FALSE,"HOAll grades",0.0667212443716742
"172","HO",2013,"SCS","Disabled",10,190,0.0526315789473684,0.0897703549060543,FALSE,"HOSCS",0.0526315789473684
"173","HO",2011,"All grades","Disabled",1830,27380,0.0668371073776479,0.0897703549060543,FALSE,"HOAll grades",0.0668371073776479
"174","HO",2012,"SCS","Disabled",10,190,0.0526315789473684,0.0897703549060543,FALSE,"HOSCS",0.0526315789473684
"175","HO",2008,"SCS","Disabled",0,150,0,0.0897703549060543,FALSE,"HOSCS",0
"176","HO",2009,"All grades","Disabled",1280,20380,0.0628066732090285,0.0897703549060543,FALSE,"HOAll grades",0.0628066732090285
