"","Group","Date","Civil.Service.grad","gradeval","share","Gender","count","total","grp","gradescore","meangradescore","sorter","totalgroup","yvar"
"35","DCMS",2010,"EO",2,-0.209302325581395,"Total",-180,860,"DCMS2010",0.418604651162791,0.616279069767442,0.616279069767442,FALSE,-0.209302325581395
"36","DCMS",2013,"SCS",5,0.0784313725490196,"Total",40,510,"DCMS2013",0.392156862745098,0.627450980392157,0.627450980392157,FALSE,0.0784313725490196
"37","DCMS",2013,"G6/G7",4,0.313725490196078,"Total",160,510,"DCMS2013",1.25490196078431,0.627450980392157,0.627450980392157,FALSE,0.313725490196078
"38","DCMS",2013,"AO/AA",1,0.0980392156862745,"Total",50,510,"DCMS2013",0.0980392156862745,0.627450980392157,0.627450980392157,FALSE,0.0980392156862745
"39","DCMS",2013,"EO",2,0.196078431372549,"Total",100,510,"DCMS2013",0.392156862745098,0.627450980392157,0.627450980392157,FALSE,0.196078431372549
"40","DCMS",2013,"SEO/HEO",3,0.333333333333333,"Total",170,510,"DCMS2013",1,0.627450980392157,0.627450980392157,FALSE,0.333333333333333
"41","DECC",2010,"G6/G7",4,-0.380952380952381,"Total",-400,1050,"DECC2010",1.52380952380952,0.659047619047619,0.659047619047619,FALSE,-0.380952380952381
"42","DECC",2010,"SEO/HEO",3,-0.371428571428571,"Total",-390,1050,"DECC2010",1.11428571428571,0.659047619047619,0.659047619047619,FALSE,-0.371428571428571
"43","DECC",2010,"EO",2,-0.104761904761905,"Total",-110,1050,"DECC2010",0.20952380952381,0.659047619047619,0.659047619047619,FALSE,-0.104761904761905
"44","DECC",2010,"SCS",5,-0.0761904761904762,"Total",-80,1050,"DECC2010",0.380952380952381,0.659047619047619,0.659047619047619,FALSE,-0.0761904761904762
"45","DECC",2010,"AO/AA",1,-0.0666666666666667,"Total",-70,1050,"DECC2010",0.0666666666666667,0.659047619047619,0.659047619047619,FALSE,-0.0666666666666667
"46","DECC",2013,"EO",2,0.0958904109589041,"Total",140,1460,"DECC2013",0.191780821917808,0.667123287671233,0.667123287671233,FALSE,0.0958904109589041
"47","DECC",2013,"AO/AA",1,0.0547945205479452,"Total",80,1460,"DECC2013",0.0547945205479452,0.667123287671233,0.667123287671233,FALSE,0.0547945205479452
"48","DECC",2013,"SEO/HEO",3,0.36986301369863,"Total",540,1460,"DECC2013",1.10958904109589,0.667123287671233,0.667123287671233,FALSE,0.36986301369863
"49","DECC",2013,"SCS",5,0.0616438356164384,"Total",90,1460,"DECC2013",0.308219178082192,0.667123287671233,0.667123287671233,FALSE,0.0616438356164384
"50","DECC",2013,"G6/G7",4,0.417808219178082,"Total",610,1460,"DECC2013",1.67123287671233,0.667123287671233,0.667123287671233,FALSE,0.417808219178082
"51","Defra",2010,"SEO/HEO",3,-0.26775956284153,"Total",-2940,10980,"Defra2010",0.80327868852459,0.445719489981785,0.445719489981785,FALSE,-0.26775956284153
"52","Defra",2010,"EO",2,-0.231329690346084,"Total",-2540,10980,"Defra2010",0.462659380692168,0.445719489981785,0.445719489981785,FALSE,-0.231329690346084
"53","Defra",2010,"SCS",5,-0.017304189435337,"Total",-190,10980,"Defra2010",0.0865209471766849,0.445719489981785,0.445719489981785,FALSE,-0.017304189435337
"54","Defra",2010,"AO/AA",1,-0.355191256830601,"Total",-3900,10980,"Defra2010",0.355191256830601,0.445719489981785,0.445719489981785,FALSE,-0.355191256830601
"55","Defra",2010,"G6/G7",4,-0.13023679417122,"Total",-1430,10980,"Defra2010",0.520947176684882,0.445719489981785,0.445719489981785,FALSE,-0.13023679417122
"56","Defra",2013,"SEO/HEO",3,0.305555555555556,"Total",2640,8640,"Defra2013",0.916666666666667,0.471990740740741,0.471990740740741,FALSE,0.305555555555556
"57","Defra",2013,"G6/G7",4,0.146990740740741,"Total",1270,8640,"Defra2013",0.587962962962963,0.471990740740741,0.471990740740741,FALSE,0.146990740740741
"58","Defra",2013,"SCS",5,0.0173611111111111,"Total",150,8640,"Defra2013",0.0868055555555556,0.471990740740741,0.471990740740741,FALSE,0.0173611111111111
"59","Defra",2013,"AO/AA",1,0.298611111111111,"Total",2580,8640,"Defra2013",0.298611111111111,0.471990740740741,0.471990740740741,FALSE,0.298611111111111
"60","Defra",2013,"EO",2,0.234953703703704,"Total",2030,8640,"Defra2013",0.469907407407407,0.471990740740741,0.471990740740741,FALSE,0.234953703703704
"61","DfE",2010,"G6/G7",4,-0.253333333333333,"Total",-1330,5250,"DfE2010",1.01333333333333,0.592,0.592,FALSE,-0.253333333333333
"62","DfE",2010,"SEO/HEO",3,-0.455238095238095,"Total",-2390,5250,"DfE2010",1.36571428571429,0.592,0.592,FALSE,-0.455238095238095
"63","DfE",2010,"SCS",5,-0.0361904761904762,"Total",-190,5250,"DfE2010",0.180952380952381,0.592,0.592,FALSE,-0.0361904761904762
"64","DfE",2010,"EO",2,-0.140952380952381,"Total",-740,5250,"DfE2010",0.281904761904762,0.592,0.592,FALSE,-0.140952380952381
"65","DfE",2010,"AO/AA",1,-0.118095238095238,"Total",-620,5250,"DfE2010",0.118095238095238,0.592,0.592,FALSE,-0.118095238095238
"66","DfE",2013,"EO",2,0.161843515541265,"Total",1510,9330,"DfE2013",0.323687031082529,0.616720257234727,0.616720257234727,FALSE,0.161843515541265
"67","DfE",2013,"SEO/HEO",3,0.411575562700965,"Total",3840,9330,"DfE2013",1.23472668810289,0.616720257234727,0.616720257234727,FALSE,0.411575562700965
"68","DfE",2013,"G6/G7",4,0.310825294748124,"Total",2900,9330,"DfE2013",1.2433011789925,0.616720257234727,0.616720257234727,FALSE,0.310825294748124
"69","DfE",2013,"AO/AA",1,0.0782422293676313,"Total",730,9330,"DfE2013",0.0782422293676313,0.616720257234727,0.616720257234727,FALSE,0.0782422293676313
"70","DfE",2013,"SCS",5,0.0407288317256163,"Total",380,9330,"DfE2013",0.203644158628081,0.616720257234727,0.616720257234727,FALSE,0.0407288317256163
