"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"381","MoD",2013,"SCS","Female",60,260,0.230769230769231,"MoDSCS",0.345140314852841,1,FALSE,0.230769230769231
"383","MoD",2013,"All grades","Female",20170,58440,0.345140314852841,"MoDAll grades",0.345140314852841,1,FALSE,0.345140314852841
"386","MoJ",2008,"SCS","Female",120,330,0.363636363636364,"MoJSCS",0.473080317740512,1,FALSE,0.363636363636364
"388","MoJ",2008,"All grades","Female",42990,88590,0.485269217744666,"MoJAll grades",0.473080317740512,1,FALSE,0.485269217744666
"390","MoJ",2009,"SCS","Female",110,300,0.366666666666667,"MoJSCS",0.473080317740512,1,FALSE,0.366666666666667
"392","MoJ",2009,"All grades","Female",43210,89070,0.485124059728304,"MoJAll grades",0.473080317740512,1,FALSE,0.485124059728304
"394","MoJ",2010,"SCS","Female",110,310,0.354838709677419,"MoJSCS",0.473080317740512,1,FALSE,0.354838709677419
"396","MoJ",2010,"All grades","Female",41100,85550,0.48042080654588,"MoJAll grades",0.473080317740512,1,FALSE,0.48042080654588
"398","MoJ",2011,"SCS","Female",90,270,0.333333333333333,"MoJSCS",0.473080317740512,1,FALSE,0.333333333333333
"399","MoJ",2011,"All grades","Female",40050,83440,0.479985618408437,"MoJAll grades",0.473080317740512,1,FALSE,0.479985618408437
"402","MoJ",2012,"SCS","Female",70,200,0.35,"MoJSCS",0.473080317740512,1,FALSE,0.35
"404","MoJ",2012,"All grades","Female",33960,71840,0.47271714922049,"MoJAll grades",0.473080317740512,1,FALSE,0.47271714922049
"405","MoJ",2013,"SCS","Female",70,210,0.333333333333333,"MoJSCS",0.473080317740512,1,FALSE,0.333333333333333
"407","MoJ",2013,"All grades","Female",32160,67980,0.473080317740512,"MoJAll grades",0.473080317740512,1,FALSE,0.473080317740512
"410","Whole Civil Service",2008,"SCS","Female",1520,4790,0.317327766179541,"Whole Civil ServiceSCS",0.531448432591404,1,TRUE,0.317327766179541
"412","Whole Civil Service",2008,"All grades","Female",277830,525160,0.529038769137025,"Whole Civil ServiceAll grades",0.531448432591404,1,TRUE,0.529038769137025
