"","Group","Date","Age.band","gradeval","Gender","count","total","share","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"1","BIS",2013,"< 29",1,"Female",800,17500,-0.0457142857142857,0.0868571428571429,0.0868571428571429,0.49847619047619,0.49847619047619,FALSE,-0.0457142857142857
"2","BIS",2013,"< 29",1,"Male",720,17500,0.0411428571428571,0.0868571428571429,0.0868571428571429,0.49847619047619,0.49847619047619,FALSE,0.0411428571428571
"3","BIS",2013,"50-59",4,"Female",2200,17500,-0.125714285714286,0.265142857142857,1.06057142857143,0.49847619047619,0.49847619047619,FALSE,-0.125714285714286
"4","BIS",2013,"50-59",4,"Male",2440,17500,0.139428571428571,0.265142857142857,1.06057142857143,0.49847619047619,0.49847619047619,FALSE,0.139428571428571
"5","BIS",2013,"65 +",6,"Female",70,17500,-0.004,0.0102857142857143,0.0617142857142857,0.49847619047619,0.49847619047619,FALSE,-0.004
"6","BIS",2013,"40-49",3,"Female",3340,17500,-0.190857142857143,0.362285714285714,1.08685714285714,0.49847619047619,0.49847619047619,FALSE,-0.190857142857143
"7","BIS",2013,"65 +",6,"Male",110,17500,0.00628571428571429,0.0102857142857143,0.0617142857142857,0.49847619047619,0.49847619047619,FALSE,0.00628571428571429
"8","BIS",2013,"60-64",5,"Male",530,17500,0.0302857142857143,0.0457142857142857,0.228571428571429,0.49847619047619,0.49847619047619,FALSE,0.0302857142857143
"9","BIS",2013,"30-39",2,"Female",2160,17500,-0.123428571428571,0.233142857142857,0.466285714285714,0.49847619047619,0.49847619047619,FALSE,-0.123428571428571
"10","BIS",2013,"60-64",5,"Female",270,17500,-0.0154285714285714,0.0457142857142857,0.228571428571429,0.49847619047619,0.49847619047619,FALSE,-0.0154285714285714
"11","BIS",2013,"40-49",3,"Male",3000,17500,0.171428571428571,0.362285714285714,1.08685714285714,0.49847619047619,0.49847619047619,FALSE,0.171428571428571
"12","BIS",2013,"30-39",2,"Male",1920,17500,0.109714285714286,0.233142857142857,0.466285714285714,0.49847619047619,0.49847619047619,FALSE,0.109714285714286
"13","CO",2013,"50-59",4,"Male",270,2650,0.10188679245283,0.188679245283019,0.754716981132076,0.423899371069182,0.423899371069182,FALSE,0.10188679245283
"14","CO",2013,"65 +",6,"Female",0,2650,0,0.00377358490566038,0.0226415094339623,0.423899371069182,0.423899371069182,FALSE,0
"15","CO",2013,"60-64",5,"Female",10,2650,-0.00377358490566038,0.0188679245283019,0.0943396226415094,0.423899371069182,0.423899371069182,FALSE,-0.00377358490566038
"16","CO",2013,"60-64",5,"Male",40,2650,0.0150943396226415,0.0188679245283019,0.0943396226415094,0.423899371069182,0.423899371069182,FALSE,0.0150943396226415
"17","CO",2013,"< 29",1,"Male",230,2650,0.0867924528301887,0.177358490566038,0.177358490566038,0.423899371069182,0.423899371069182,FALSE,0.0867924528301887
"18","CO",2013,"40-49",3,"Female",360,2650,-0.135849056603774,0.271698113207547,0.815094339622642,0.423899371069182,0.423899371069182,FALSE,-0.135849056603774
"19","CO",2013,"40-49",3,"Male",360,2650,0.135849056603774,0.271698113207547,0.815094339622642,0.423899371069182,0.423899371069182,FALSE,0.135849056603774
"20","CO",2013,"65 +",6,"Male",10,2650,0.00377358490566038,0.00377358490566038,0.0226415094339623,0.423899371069182,0.423899371069182,FALSE,0.00377358490566038
"21","CO",2013,"50-59",4,"Female",230,2650,-0.0867924528301887,0.188679245283019,0.754716981132076,0.423899371069182,0.423899371069182,FALSE,-0.0867924528301887
"22","CO",2013,"30-39",2,"Female",470,2650,-0.177358490566038,0.339622641509434,0.679245283018868,0.423899371069182,0.423899371069182,FALSE,-0.177358490566038
"23","CO",2013,"30-39",2,"Male",430,2650,0.162264150943396,0.339622641509434,0.679245283018868,0.423899371069182,0.423899371069182,FALSE,0.162264150943396
"24","CO",2013,"< 29",1,"Female",240,2650,-0.0905660377358491,0.177358490566038,0.177358490566038,0.423899371069182,0.423899371069182,FALSE,-0.0905660377358491
"25","DCLG",2013,"30-39",2,"Female",360,2510,-0.143426294820717,0.278884462151394,0.557768924302789,0.49601593625498,0.49601593625498,FALSE,-0.143426294820717
"26","DCLG",2013,"< 29",1,"Male",90,2510,0.0358565737051793,0.0916334661354582,0.0916334661354582,0.49601593625498,0.49601593625498,FALSE,0.0358565737051793
"27","DCLG",2013,"< 29",1,"Female",140,2510,-0.0557768924302789,0.0916334661354582,0.0916334661354582,0.49601593625498,0.49601593625498,FALSE,-0.0557768924302789
"28","DCLG",2013,"65 +",6,"Male",60,2510,0.0239043824701195,0.0239043824701195,0.143426294820717,0.49601593625498,0.49601593625498,FALSE,0.0239043824701195
"29","DCLG",2013,"30-39",2,"Male",340,2510,0.135458167330677,0.278884462151394,0.557768924302789,0.49601593625498,0.49601593625498,FALSE,0.135458167330677
"30","DCLG",2013,"60-64",5,"Female",50,2510,-0.0199203187250996,0.0597609561752988,0.298804780876494,0.49601593625498,0.49601593625498,FALSE,-0.0199203187250996
"31","DCLG",2013,"60-64",5,"Male",100,2510,0.0398406374501992,0.0597609561752988,0.298804780876494,0.49601593625498,0.49601593625498,FALSE,0.0398406374501992
"32","DCLG",2013,"40-49",3,"Male",390,2510,0.155378486055777,0.314741035856574,0.944223107569721,0.49601593625498,0.49601593625498,FALSE,0.155378486055777
"33","DCLG",2013,"50-59",4,"Female",250,2510,-0.099601593625498,0.235059760956175,0.940239043824701,0.49601593625498,0.49601593625498,FALSE,-0.099601593625498
