Dept,Delivery,Work through others,Bids and contracts
BIS,0.000,8.000,2.000
DCMS,0.000,8.000,2.000
Defra,0.000,9.000,1.000
DCLG,0.000,10.000,0.000
DfE,0.000,10.000,0.000
DH,0.000,10.000,0.000
DfT,0.000,8.000,2.000
DECC,0.000,5.000,5.000
DfID,0.000,5.000,5.000
MoJ,4.000,4.000,2.000
FCO,3.000,5.000,2.000
DWP,8.000,1.000,1.000
HMRC,8.000,2.000,0.000
MoD,7.000,3.000,0.000
HO,4.667,5.333,0.000
