Dept,Whitehall?,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,Change from baseline 2010 Q3 FTE,Change from baseline 2010 Q4 FTE,Change from baseline 2011 Q1 FTE,Change from baseline 2011 Q2 FTE,Change from baseline 2011 Q3 FTE,Change from baseline 2011 Q4 FTE,Change from baseline 2012 Q1 FTE,Change from baseline 2012 Q2 FTE,Change from baseline 2012 Q3 FTE,Change from baseline 2012 Q4 FTE,% Change from baseline 2010 Q3,% Change from baseline 2010 Q4,% Change from baseline 2011 Q1,% Change from baseline 2011 Q2,% Change from baseline 2011 Q3,% Change from baseline 2011 Q4,% Change from baseline 2012 Q1,% Change from baseline 2012 Q2,% Change from baseline 2012 Q3,% Change from baseline 2012 Q4,Product,Change Rate,FTE start,FTE end,FTE end calc,Diff,Dept group,Dept group 2,Stdev of rate
DH,Total,0,-20,-70,-170,-240,-70,-70,-20,0,-30,-0.003913894,-0.013752456,-0.033864542,-0.049484536,-0.015184382,-0.015418502,-0.004474273,0,-0.006741573,0,-20,-90,-260,-500,-570,-640,-660,-660,-690,0,-0.003913894,-0.017612524,-0.050880626,-0.097847358,-0.111545988,-0.125244618,-0.129158513,-0.129158513,-0.135029354,0.864970646,-0.01598855,5110,4420,4420,0,Policy,Policy,0.016073638
DWP,Total,0,-3110,-2730,-3890,-3320,-1280,-1300,-1590,240,-1160,-0.026942736,-0.024305556,-0.035495939,-0.03140965,-0.012502442,-0.012858556,-0.015931864,0.002443743,-0.011782631,0,-3110,-5840,-9730,-13050,-14330,-15630,-17220,-16980,-18140,0,-0.026942736,-0.050593433,-0.084293511,-0.113055531,-0.124144503,-0.13540674,-0.149181322,-0.14710214,-0.15715152,0.84284848,-0.018817157,115430,97290,97290,0,Delivery,Delivery,0.011822014
FCO,Total,0,260,540,-120,-150,300,10,-1240,890,180,0.025415445,0.051477598,-0.01087942,-0.013748854,0.027881041,0.000904159,-0.112014453,0.090539166,0.016791045,0,260,800,680,530,830,840,-400,490,670,0,0.025415445,0.078201369,0.066471163,0.051808407,0.08113392,0.082111437,-0.039100684,0.047898338,0.065493646,1.065493646,0.00707359,10230,10900,10900,0,Foreign facing,Foreign facing,0.055632723
GEO,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110,110,110,0,Other,Other,0
HMRC,Total,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Delivery,Delivery,
HMT,Total,0,-910,5980,-5580,-780,-210,-460,-830,-970,-340,-0.011895425,0.079110994,-0.068407503,-0.010264508,-0.002792182,-0.006133333,-0.011134961,-0.01315968,-0.004674182,0,-910,5070,-510,-1290,-1500,-1960,-2790,-3760,-4100,0,-0.011895425,0.06627451,-0.006666667,-0.016862745,-0.019607843,-0.025620915,-0.036470588,-0.049150327,-0.053594771,0.946405229,-0.006101801,76500,72400,72400,0,Centre,Centre,0.03754799
HO,Total,0,-1160,-530,-1220,-730,-730,-210,-120,-90,200,-0.039903681,-0.018989609,-0.044558072,-0.027905199,-0.028706252,-0.008502024,-0.004899959,-0.003693065,0.008237232,0,-1160,-1690,-2910,-3640,-4370,-4580,-4700,-4790,-4590,0,-0.039903681,-0.058135535,-0.100103199,-0.125214998,-0.150326797,-0.15755074,-0.161678707,-0.164774682,-0.157894737,0.842105263,-0.018913328,29070,24480,24480,0,Delivery,Delivery,0.01784797
MoD,Total,0,-460,-1050,-1400,-920,-3410,-3260,-1690,-880,-1410,-0.006250849,-0.014357993,-0.019422863,-0.013016412,-0.048881881,-0.049133384,-0.026787129,-0.014332248,-0.023298083,0,-460,-1510,-2910,-3830,-7240,-10500,-12190,-13070,-14480,0,-0.006250849,-0.020519092,-0.039543416,-0.052045115,-0.098382932,-0.14268243,-0.165647506,-0.177605653,-0.196765865,0.803234135,-0.024051488,73590,59110,59110,0,Delivery,Delivery,0.015419473
MoJ,Total,0,-440,-580,-2160,-860,-2110,-1260,-1200,-1080,-610,-0.005553452,-0.00736134,-0.027617952,-0.01130835,-0.028062242,-0.017241379,-0.016708438,-0.015293118,-0.00877193,0,-440,-1020,-3180,-4040,-6150,-7410,-8610,-9690,-10300,0,-0.005553452,-0.012873911,-0.040136312,-0.050990786,-0.077622113,-0.09352518,-0.108670958,-0.122302158,-0.130001262,0.869998738,-0.015354621,79230,68930,68930,0,Delivery,Delivery,0.00819238
NIO,Total,0,0,-10,-50,0,0,10,30,0,0,0,-0.090909091,-0.5,0,0,0.2,0.5,0,0,0,0,-10,-60,-60,-60,-50,-20,-20,-20,0,0,-0.090909091,-0.545454545,-0.545454545,-0.545454545,-0.454545455,-0.181818182,-0.181818182,-0.181818182,0.818181818,-0.022050009,110,90,90,0,Other,Other,0.261472309
Scot Gov,Total,0,-130,1200,-1590,-220,-280,-80,50,-80,-30,-0.007728894,0.071899341,-0.088876467,-0.013496933,-0.017412935,-0.005063291,0.003180662,-0.005072923,-0.001912046,0,-130,1070,-520,-740,-1020,-1100,-1050,-1130,-1160,0,-0.007728894,0.063614744,-0.030915577,-0.043995244,-0.060642093,-0.065398335,-0.062425684,-0.067181926,-0.068965517,0.931034483,-0.007908447,16820,15660,15660,0,Other,Devolved,0.040646011
Welsh Gov,Total,0,-60,-100,-150,-190,-10,70,60,80,0,-0.010695187,-0.018018018,-0.027522936,-0.035849057,-0.001956947,0.01372549,0.011605416,0.015296367,0,0,-60,-160,-310,-500,-510,-440,-380,-300,-300,0,-0.010695187,-0.028520499,-0.055258467,-0.08912656,-0.090909091,-0.078431373,-0.067736185,-0.053475936,-0.053475936,0.946524064,-0.006087936,5610,5310,5310,0,Other,Devolved,0.018457958
Total,Total,0,-7800,1420,-18420,-8960,-8490,-6940,-5880,-2250,-3320,-0.016160109,0.002990292,-0.038673917,-0.019568873,-0.018912477,-0.015757686,-0.01356464,-0.005261927,-0.007805337,0,-7800,-6380,-24800,-33760,-42250,-49190,-55070,-57320,-60640,0,-0.016160109,-0.013218141,-0.051380861,-0.069944268,-0.087533926,-0.10191228,-0.114094516,-0.118756086,-0.125634491,0.874365509,-0.014806707,482670,422030,422030,0,N/A,N/A,0.011566548
Total,Core Whitehall Depts.,0,-409,290,-1540,-720,80,70,-1002,760,155,-0.013427446,0.009650261,-0.050756402,-0.024999132,0.002848901,0.002485707,-0.035492898,0.027911418,0.00553789,0,-409,-119,-1659,-2379,-2299,-2229,-3231,-2471,-2316,0,-0.013427446,-0.003906763,-0.054464872,-0.078102429,-0.075476034,-0.073177938,-0.106073539,-0.081122784,-0.076034143,0.923965857,-0.008748194,30460,28144,28144,0,N/A,N/A,0.024780241
Total,Non-Whitehall Civil Service,0,-7331,1230,-16730,-8050,-8560,-7080,-4938,-3090,-3475,-0.016415137,0.002800107,-0.037979655,-0.018996198,-0.020590832,-0.017388784,-0.012342562,-0.007819993,-0.008863643,0,-7331,-6101,-22831,-30881,-39441,-46521,-51459,-54549,-58024,0,-0.016415137,-0.013660994,-0.051121809,-0.069146888,-0.088313927,-0.10416704,-0.115223914,-0.122142857,-0.129923869,0.870076131,-0.015344889,446600,388576,388576,0,N/A,N/A,0.011154396
Total excl. FCO,Total,0,-8060,880,-18300,-8810,-8790,-6950,-4640,-3140,-3500,-0.017060367,0.001895,-0.039332846,-0.019710936,-0.020061623,-0.016186883,-0.010984588,-0.007516097,-0.008441261,0,-8060,-7180,-25480,-34290,-43080,-50030,-54670,-57810,-61310,0,-0.017060367,-0.015197697,-0.053932775,-0.072580645,-0.091186182,-0.105897045,-0.115718398,-0.122364745,-0.129773093,0.870226907,-0.015325932,472440,411130,411130,0,N/A,N/A,0.011431889
Total excl. FCO,Core Whitehall Depts.,0,-699,-510,-1440,-610,-240,60,208,-120,5,-0.026998841,-0.020245326,-0.058344476,-0.026246719,-0.010604922,0.002679648,0.009264621,-0.005295909,0.000221838,0,-699,-1209,-2649,-3259,-3499,-3439,-3231,-3351,-3346,0,-0.026998841,-0.046697567,-0.102317497,-0.125878718,-0.135148706,-0.132831209,-0.124797219,-0.129432213,-0.129239088,0.870760912,-0.015258813,25890,22544,22544,0,N/A,N/A,0.020685786
Total excl. FCO,Non-Whitehall Civil Service,0,-7331,1230,-16730,-8050,-8560,-7080,-4938,-3090,-3475,-0.016415137,0.002800107,-0.037979655,-0.018996198,-0.020590832,-0.017388784,-0.012342562,-0.007819993,-0.008863643,0,-7331,-6101,-22831,-30881,-39441,-46521,-51459,-54549,-58024,0,-0.016415137,-0.013660994,-0.051121809,-0.069146888,-0.088313927,-0.10416704,-0.115223914,-0.122142857,-0.129923869,0.870076131,-0.015344889,446600,388576,388576,0,N/A,N/A,0.011154396
