Dept,Whitehall?,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,Change from baseline 2010 Q3 FTE,Change from baseline 2010 Q4 FTE,Change from baseline 2011 Q1 FTE,Change from baseline 2011 Q2 FTE,Change from baseline 2011 Q3 FTE,Change from baseline 2011 Q4 FTE,Change from baseline 2012 Q1 FTE,Change from baseline 2012 Q2 FTE,Change from baseline 2012 Q3 FTE,Change from baseline 2012 Q4 FTE,% Change from baseline 2010 Q3,% Change from baseline 2010 Q4,% Change from baseline 2011 Q1,% Change from baseline 2011 Q2,% Change from baseline 2011 Q3,% Change from baseline 2011 Q4,% Change from baseline 2012 Q1,% Change from baseline 2012 Q2,% Change from baseline 2012 Q3,% Change from baseline 2012 Q4,Product,Change Rate,FTE start,FTE end,FTE end calc,Diff,Dept group,Dept group 2,Stdev of rate
FCO,Core Whitehall Depts.,0,290,800,-100,-110,320,10,-1210,880,150,0.06345733,0.164609053,-0.017667845,-0.019784173,0.058715596,0.001733102,-0.209342561,0.192560175,0.027522936,0,290,1090,990,880,1200,1210,0,880,1030,0,0.06345733,0.238512035,0.216630197,0.192560175,0.262582057,0.264770241,0,0.192560175,0.225382932,1.225382932,0.022840653,4570,5600,5600,0,Foreign facing,Foreign facing,0.116898794
GEO,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110,110,110,0,Other,Other,0
HMRC,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Delivery,Delivery,
HMT,Core Whitehall Depts.,0,-60,-60,-70,-20,-20,70,-10,0,-10,-0.044117647,-0.046153846,-0.056451613,-0.017094017,-0.017391304,0.061946903,-0.008333333,0,-0.008403361,0,-60,-120,-190,-210,-230,-160,-170,-170,-180,0,-0.044117647,-0.088235294,-0.139705882,-0.154411765,-0.169117647,-0.117647059,-0.125,-0.125,-0.132352941,0.867647059,-0.015650708,1360,1180,1180,0,Centre,Centre,0.034965008
HO,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Delivery,Delivery,
MoD,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Delivery,Delivery,
MoJ,Core Whitehall Depts.,0,-99,40,-210,-50,-90,-100,0,-70,25,-0.03,0.012496095,-0.064794816,-0.016496206,-0.030191211,-0.034590107,0,-0.025080616,0.009187799,0,-99,-59,-269,-319,-409,-509,-509,-579,-554,0,-0.03,-0.017878788,-0.081515152,-0.096666667,-0.123939394,-0.154242424,-0.154242424,-0.175454545,-0.167878788,0.832121212,-0.020212615,3300,2746,2746,0,Delivery,Delivery,0.024416412
NIO,Core Whitehall Depts.,0,0,-10,-50,0,0,10,30,0,0,0,-0.090909091,-0.5,0,0,0.2,0.5,0,0,0,0,-10,-60,-60,-60,-50,-20,-20,-20,0,0,-0.090909091,-0.545454545,-0.545454545,-0.545454545,-0.454545455,-0.181818182,-0.181818182,-0.181818182,0.818181818,-0.022050009,110,90,90,0,Other,Other,0.261472309
Scot Gov,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Other,Devolved,
Welsh Gov,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Other,Devolved,
AGO,Non-Whitehall Civil Service,0,-120,-80,-190,-210,-120,0,-60,-100,-100,-0.013186813,-0.008908686,-0.021348315,-0.024110218,-0.014117647,0,-0.007159905,-0.012019231,-0.01216545,0,-120,-200,-390,-600,-720,-720,-780,-880,-980,0,-0.013186813,-0.021978022,-0.042857143,-0.065934066,-0.079120879,-0.079120879,-0.085714286,-0.096703297,-0.107692308,0.892307692,-0.012580667,9100,8120,8120,0,Other,Other,0.007195102
BIS,Non-Whitehall Civil Service,0,-260,-80,-490,-40,-310,-350,0,-50,110,-0.030732861,-0.009756098,-0.060344828,-0.005242464,-0.040843215,-0.048076923,0,-0.007215007,0.015988372,0,-260,-340,-830,-870,-1180,-1530,-1530,-1580,-1470,0,-0.030732861,-0.040189125,-0.098108747,-0.102836879,-0.139479905,-0.180851064,-0.180851064,-0.186761229,-0.173758865,0.826241135,-0.020984324,8460,6990,6990,0,Policy,Policy,0.025354218
CO,Non-Whitehall Civil Service,0,-320,-50,-50,-100,-30,-100,-448,30,30,-0.164102564,-0.030674847,-0.03164557,-0.065359477,-0.020979021,-0.071428571,-0.344615385,0.035211268,0.034013605,0,-320,-370,-420,-520,-550,-650,-1098,-1068,-1038,0,-0.164102564,-0.18974359,-0.215384615,-0.266666667,-0.282051282,-0.333333333,-0.563076923,-0.547692308,-0.532307692,0.467692308,-0.080971638,1950,912,912,0,Centre,Centre,0.11805935
DCLG,Non-Whitehall Civil Service,0,-40,-100,-40,-10,0,-20,20,-20,10,-0.019138756,-0.048780488,-0.020512821,-0.005235602,0,-0.010526316,0.010638298,-0.010526316,0.005319149,0,-40,-140,-180,-190,-190,-210,-190,-210,-200,0,-0.019138756,-0.066985646,-0.086124402,-0.090909091,-0.090909091,-0.100478469,-0.090909091,-0.100478469,-0.09569378,0.90430622,-0.011114136,2090,1890,1890,0,Policy,Policy,0.017583016
DCMS,Non-Whitehall Civil Service,0,10,0,0,-10,0,10,10,0,-20,0.090909091,0,0,-0.083333333,0,0.090909091,0.083333333,0,-0.153846154,0,10,10,10,0,0,10,20,20,0,0,0.090909091,0.090909091,0.090909091,0,0,0.090909091,0.181818182,0.181818182,0,1,0,110,110,110,0,Policy,Policy,0.082158016
DECC,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Policy,Policy,
DEFRA,Non-Whitehall Civil Service,0,-160,-30,-10,-310,-120,-40,-110,-80,-40,-0.022630835,-0.004341534,-0.001453488,-0.045123726,-0.018292683,-0.00621118,-0.0171875,-0.012718601,-0.006441224,0,-160,-190,-200,-510,-630,-670,-780,-860,-900,0,-0.022630835,-0.026874116,-0.028288543,-0.072135785,-0.089108911,-0.09476662,-0.110325318,-0.121640736,-0.127298444,0.872701556,-0.015015202,7070,6170,6170,0,Policy,Policy,0.013388742
DfE,Non-Whitehall Civil Service,0,-40,-10,-10,-20,80,0,1080,-90,-80,-0.023952096,-0.006134969,-0.00617284,-0.01242236,0.050314465,0,0.646706587,-0.032727273,-0.030075188,0,-40,-50,-60,-80,0,0,1080,990,910,0,-0.023952096,-0.02994012,-0.035928144,-0.047904192,0,0,0.646706587,0.592814371,0.54491018,1.54491018,0.049516446,1670,2580,2580,0,Policy,Policy,0.219501011
DfID,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Foreign facing,Foreign facing,
DfT,Non-Whitehall Civil Service,0,-210,-310,-210,-140,-90,-80,-90,-90,-40,-0.012859767,-0.019230769,-0.013282732,-0.008974359,-0.005821475,-0.005204945,-0.0058862,-0.005921053,-0.002647253,0,-210,-520,-730,-870,-960,-1040,-1130,-1220,-1260,0,-0.012859767,-0.031843233,-0.044703001,-0.053276179,-0.058787508,-0.063686467,-0.069197795,-0.074709124,-0.077158604,0.922841396,-0.008882305,16330,15070,15070,0,Policy,Policy,0.005265393
DH,Non-Whitehall Civil Service,0,-50,-60,0,-220,-30,-30,0,10,-10,-0.019455253,-0.023809524,0,-0.089430894,-0.013392857,-0.013574661,0,0.004587156,-0.00456621,0,-50,-110,-110,-330,-360,-390,-390,-380,-390,0,-0.019455253,-0.042801556,-0.042801556,-0.128404669,-0.140077821,-0.151750973,-0.151750973,-0.147859922,-0.151750973,0.848249027,-0.018120592,2570,2180,2180,0,Policy,Policy,0.028541809
DWP,Non-Whitehall Civil Service,0,-3110,-2730,-3890,-3320,-1280,-1300,-1590,240,-1160,-0.026942736,-0.024305556,-0.035495939,-0.03140965,-0.012502442,-0.012858556,-0.015931864,0.002443743,-0.011782631,0,-3110,-5840,-9730,-13050,-14330,-15630,-17220,-16980,-18140,0,-0.026942736,-0.050593433,-0.084293511,-0.113055531,-0.124144503,-0.13540674,-0.149181322,-0.14710214,-0.15715152,0.84284848,-0.018817157,115430,97290,97290,0,Delivery,Delivery,0.011822014
