Organisation,Whitehall,Group,Managed,Include
Office of the Public Guardian,NWH,MoJ,,Yes
Public Sector Prison Service (until 2008),NWH,MoJ,,Yes
Scotland Office,NWH,MoJ,,Yes
Scotland Office (from 2013),NWH,MoJ,,Yes
Scotland Office (including Advocate General for Scotland) (from 2013),NWH,MoJ,,Yes
Scotland Office (until 2012),NWH,MoJ,,Yes
Tribunals Service (until 2011),NWH,MoJ,,Yes
UK Supreme Court (from 2010),NWH,MoJ,,Yes
Wales Office,NWH,MoJ,,Yes
Wales Office (from 2013),NWH,MoJ,,Yes
Wales Office (until 2012),NWH,MoJ,,Yes
Army Base Repair Organisation (MOD) (until 2008),NWH,MoD,,Yes
DARA (MOD) : until 2008,NWH,MoD,,Yes
Defence (incl agencies),Whole,MoD,,No
Defence Science and Technology Laboratory (MOD),NWH,MoD,,Yes
Defence Support Group (from 2009),NWH,MoD,,Yes
Meteorological Office (MOD) (until 2011),NWH,MoD,,Yes
Ministry of Defence (excl agencies),NWH,MoD,,Yes
Royal Fleet Auxilliary,NWH,MoD,,Yes
UK Hydrographic Office (MOD),NWH,MoD,,Yes
Assets Recovery Agency (until 2008),NWH,HO,,Yes
Criminal Records Bureau,NWH,HO,,Yes
Criminal Records Bureau (until 2012),NWH,HO,,Yes
Home Office (excl agencies),NWH,HO,,Yes
Home Office (incl agencies),Whole,HO,,No
Identity and Passport Service,NWH,HO,,Yes
National Fraud Authority (from 2012),NWH,HO,,Yes
Office for Security and Counter-Terrorism (until 2008),NWH,HO,,Yes
UK Border Agency,NWH,HO,,Yes
Asset Protection Agency (2012 only),NWH,HMT,,Yes
Asset Protection Agency (from 2012),NWH,HMT,,Yes
Debt Management Office,NWH,HMT,,Yes
HM Treasury,WH,HMT,,Yes
National Savings and Investments,NWH,HMT,,Yes
Office for Budget Responsibility (from 2011),NWH,HMT,,Yes
Office for National Statistics (2008 only : from 2009 became UK Statistics Authority),NWH,HMT,,Yes
Office of Government Commerce (until 2010),NWH,HMT,,Yes
Royal Mint (until 2009),NWH,HMT,,Yes
UK Export Finance (prior to 2012 named Export Credits Guarantee Department),NWH,HMT,,Yes
United Kingdom Statistics Authority (from 2009),NWH,HMT,,Yes
Government Actuary's Department,NWH,HMRC,,Yes
HM Revenue and Customs (excl agencies),NWH,HMRC,,Yes
HM Revenue and Customs (incl agencies),Whole,HMRC,,No
Valuation Office,NWH,HMRC,,Yes
FCO Services (from 2013),NWH,FCO,,Yes
Foreign and Commonwealth Office (excl agencies),WH,FCO,,Yes
Foreign and Commonwealth Office (incl agencies),Whole,FCO,,No
Security and Intelligence Services,NWH,FCO,,Yes
Wilton Park Executive Agency,NWH,FCO,,Yes
Child Maintenance & Enforcement Commission (from 2009 to 2012),NWH,DWP,,Yes
Child Support Agency (until 2008),NWH,DWP,,Yes
Department for Work and Pensions (excl agencies) (from 2012),NWH,DWP,,Yes
Disability and Carers Service (until 2008),NWH,DWP,,Yes
DWP Corporate and Shared Services (until 2011),NWH,DWP,,Yes
DWP Shared Services (until 2009),NWH,DWP,,Yes
Health and Safety Executive,NWH,DWP,,Yes
Jobcentre Plus (until 2011),NWH,DWP,,Yes
Pension Services (until 2008),NWH,DWP,,Yes
"Pensions, Disability and Carer's Service (from 2009 until 2011)",NWH,DWP,,Yes
Rent Service (until 2009),NWH,DWP,,Yes
"Work and Pensions, Department for (incl agencies)",Whole,DWP,,No
Food Standards Agency (from 2012),NWH,DH,,Yes
Food Standards Agency (until 2011),NWH,DH,,Yes
"Health, Department of (excl agencies)",WH,DH,,Yes
"Health, Department of (incl agencies)",Whole,DH,,No
Meat Hygiene Service (until 2010),NWH,DH,,Yes
Medicines and Healthcare Products Regulatory Agency,NWH,DH,,Yes
NHS Business Services Authority (Civil Service only) (until 2011),NWH,DH,,Yes
NHS Purchasing and Supply Agency (until 2010),NWH,DH,,Yes
Driver and Vehicle Licensing Agency,NWH,DfT,,Yes
Driving Standards Agency,NWH,DfT,,Yes
Government Car and Despatch Agency,NWH,DfT,,Yes
Government Car Service,NWH,DfT,,Yes
Highways Agency,NWH,DfT,,Yes
Maritime and Coastguard Agency,NWH,DfT,,Yes
Office of Rail Regulator,NWH,DfT,,Yes
"Transport, Department for (excl agencies)",WH,DfT,,Yes
"Transport, Department for (incl agencies)",Whole,DfT,,No
Vehicle and Operator Services Agency,NWH,DfT,,Yes
Vehicle Certification Agency,NWH,DfT,,Yes
"International Development, Department for",WH,DfID,,Yes
Education Funding Agency (from 2013),NWH,DfE,,Yes
"Education, Department for",WH,DfE,,Yes
"Education, Department for (excluding agencies)",WH,DfE,,Yes
Office for Standards in Education,NWH,DfE,,Yes
Office of Qualifications and Examinations Regulation (from 2011),NWH,DfE,,Yes
Ofqual (from 2011),NWH,DfE,,Yes
Standards and Testing Agency (from 2013),NWH,DfE,,Yes
The National College (from 2013),NWH,DfE,,Yes
The Teaching Agency (from 2013),NWH,DfE,,Yes
Animal Health (until 2011),NWH,Defra,,Yes
Animal Health and Veterinary Laboratories Agency (from 2012),NWH,Defra,,Yes
"Centre for Environment, Fisheries and Aquaculture Science",NWH,Defra,,Yes
"Environment, Food and Rural Affairs, Department for (excl agencies)",WH,Defra,,Yes
"Environment, Food and Rural Affairs, Department for (incl agencies)",Whole,Defra,,No
Food and Environment Research Agency,NWH,Defra,,Yes
Government Decontamination Services (until 2009),NWH,Defra,,Yes
Marine and Fisheries Agency (until 2010),NWH,Defra,,Yes
OFWAT (formerly Office of Water Services),NWH,Defra,,Yes
Pesticides Safety Directorate (until 2008),NWH,Defra,,Yes
Rural Payments Agency,NWH,Defra,,Yes
Veterinary Laboratories Agency (until 2011),NWH,Defra,,Yes
Veterinary Medicines Directorate,NWH,Defra,,Yes
"Energy & Climate Change, Department for (from 2009)",Whole,DECC,,No
"Energy and Climate Change, Department for (from 2009)",WH,DECC,,Yes
"Culture Media and Sport, Department for (incl agencies)",Whole,DCMS,,No
"Department for Culture, Media & Sport, Department for (excl agencies)",WH,DCMS,,Yes
Government Equalities Office (until 2011),NWH,DCMS,,Yes
Government Equalities Office (Until 2011),NWH,DCMS,,Yes
Royal Parks Agency,NWH,DCMS,,Yes
"Communities and Local Government, Department for (excl agencies)",WH,DCLG,,Yes
"Communities and Local Government, Department for (incl agencies)",Whole,DCLG,,No
Fire Service College,NWH,DCLG,,Yes
Fire Service College (until 2012),NWH,DCLG,,Yes
Ordnance Survey (until 2011),NWH,DCLG,,Yes
Planning Inspectorate,NWH,DCLG,,Yes
Queen Elizabeth II Conference Centre,NWH,DCLG,,Yes
Cabinet Office (excl agencies),WH,CO,,Yes
Cabinet Office (incl agencies),Whole,CO,,No
Central Office of Information,NWH,CO,,Yes
Central Office of Information (until 2012),NWH,CO,,Yes
Charity Commission,NWH,CO,,Yes
Government Procurement Service (from 2011),NWH,CO,,Yes
National School of Government (until 2011),NWH,CO,,Yes
Office of the Parliamentary Counsel,NWH,CO,,Yes
OGC Buying Solutions (until 2010 : responsibility moved to Cabinet Office in 2011 survey),NWH,CO,,Yes
Chancellor's Departments including HM Treasury,Whole,CD,,No
"Advisory, Conciliation and Arbitration Service",NWH,BIS,,Yes
"Business, Innovation and Skills (incl agencies)",Whole,BIS,,No
"Business, Innovations and Skills (excl agencies)",WH,BIS,,Yes
Companies House,NWH,BIS,,Yes
"Innovation, Universities and Skills, Department for (excl agencies) (until 2009)",WH,BIS,,Yes
"Innovation, Universities and Skills, Department for (incl agencies) (until 2009)",Whole,BIS,,No
Insolvency Service,NWH,BIS,,Yes
Land Registry (from 2012),NWH,BIS,,Yes
Met Office (from 2012),NWH,BIS,,Yes
National Measurement Office (from 2010),NWH,BIS,,Yes
National Weights and Measures Laboratory (until 2009),NWH,BIS,,Yes
Office of Fair Trading,NWH,BIS,,Yes
Office of Gas and Electricity Market,NWH,BIS,,Yes
Ordnance Survey (from 2012),NWH,BIS,,Yes
