Month,Short Form,IfG classification,Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,IFG notes,IfG analysis - Non-consultant total,Non payroll,Non payroll component total
01/07/2011,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,,,,,,,,,,,104,98.3,104,98,,,,,13,13,,,13,13,117,111,368551.75,71.5,209384.9,7897.99,78079.35,84297.02,748282.51,194530.66,,194530.66,942813.17,[recorded in the 'not for publication' notes section] DMO cost figures are Accrual based - ,,13,,
01/07/2011,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,129,121.12,158,149.42,396,391.53,357,348.93,102,98.52,30,27.86,1172,1137,10,8.5,0,0,23,19.6,0,0,33,28.1,1205,1165,3370783.68,74926.38,455607.3,28341.49,738223.79,377528.07,5045410.71,46892.29,,46892.29,5092303,"[recorded in the 'not for publication' notes section] Other = IUK Specialists, A/O included Students.  All cost figures are Accrual based - not including Secondees Out",,28.1,,
01/07/2011,HMT,Non CS,Office for Budget Responsbility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,7,7,6,6,1,1,0,0,16,16,,,,,,,,,0,0,16,16,75800,821.51,0,0,12467.61,9028.3,98117.42,,,0,98117.42,[recorded in the 'not for publication' notes section] OBR All cost figures are Accrual based ,,0,,
01/08/2011,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,3,2.6,10,9.6,14,13.2,17,16.6,0,0,44,42,,,1,1,,,,,1,1,45,43,390531.76,2561.25,0,200.21,11521.69,36204.11,441019.02,9021.6,,9021.6,450040.62,APA recharge all costs - cost figures are Accrual based ,,1,,
01/08/2011,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,,,,,,,,,1,1,99,96.26,100,97,,,,,14,14,,,14,14,114,111,371011.25,0,35997.26,2661.87,77843.69,36123.94,523638.01,181873.01,,181873.01,705511.02,DMO cost figures are Accrual based ,,14,,
01/08/2011,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,124,116.87,152,143.09,408,401.97,361,352.92,102,98.52,32,29.91,1179,1143,12,8.8,0,0,28,25.2,,,40,34,1219,1177,3515593.28,29638.63,538809,18934.39,721188.4,392100.59,5216264.29,64873.93,,64873.93,5281138.22,"Other = IUK Specialists, A/O included Students.  All cost figures are Accrual based - not including Secondees Out",,34,,
01/08/2011,HMT,Non CS,Office for Budget Responsbility,Crown Non Departmental Public Body,HM Treasury,0,0,0,0,7,7,6,6,,,0,0,13,13,0,0,0,0,0,0,0,0,0,0,13,13,71690.93,1120.04,0,6004.03,12667.56,8527.84,100010.4,,,0,100010.4,OBR All cost figures are Accrual based ,,0,,
01/09/2011,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,3,2.6,9,8.6,14,13.2,16,15.6,0,0,42,40,0,0,1,1,0,0,0,0,1,1,43,41,433650.57,2764.71,95000,145.59,11303.36,37760.19,580624.42,,,0,580624.42,APA recharge all costs - cost figures are Accrual based ,,1,,
01/09/2011,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,107,100.06,108,101,0,0,0,0,15,15,0,0,15,15,123,116,365324.31,0,48559.36,2820.76,76444.45,35928.32,529077.2,,,0,529077.2,,,15,,
01/09/2011,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,114,107.16,149,139.77,406,401.29,370,360.17,102,98.55,32,30.46,1173,1137,5,5,0,0,30,26.5,13,11,48,42.5,1221,1180,4051175.55,60137.87,0,14051.87,715097.69,339966.41,5180429.39,,,0,5180429.39,,,31.5,,
01/09/2011,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,8,8,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,74089.05,853.68,0,817.27,12719.51,7580.93,96060.44,,,0,96060.44,,,0,,
01/10/2011,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,3,2.6,9,8.6,12,11.2,15,14.6,0,0,39,37,0,0,1,1,0,0,0,0,1,1,40,38,445385.4,3064,,292.6,8503.95,32839.93,490085.88,,,0,490085.88,APA recharge all costs - cost figures are Accrual based ,,1,,
01/10/2011,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,105,99.06,106,100,0,0,0,0,15,15,0,0,15,15,121,115,376027.56,,,2119.54,78282.88,36559.27,492989.25,,,0,492989.25,,,15,,
01/10/2011,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,110,103.96,146,137.79,410,403.86,375,363.58,100,96.35,30,28.46,1171,1134,4,3.02,2,2,24,23.6,18,13,48,41.62,1219,1176,3901496.59,63749.11,11476,12843,710849.31,333991.98,5034405.99,,,0,5034405.99,,,28.62,,
01/10/2011,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,8,8,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,82971.84,1014.05,,595.56,14456.01,8450.41,107487.87,,,0,107487.87,,,0,,
01/11/2011,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,3,2.6,9,8.6,12,11.2,15,14.6,0,0,39,37,0,0,1,1,0,0,0,0,1,1,40,38,275237.51,3064,0,0,8189.1,36343.77,322834.38,,,0,322834.38,APA recharge all costs - cost figures are Accrual based ,,1,,
01/11/2011,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,106,100.06,107,101,0,0,0,0,15,15,0,0,15,15,122,116,375564.4,24.28,31147.54,8475.73,78630.74,37211.19,531053.88,,,0,531053.88,,,15,,
01/11/2011,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,108,101.6,146,136.94,412,407.06,372,358.86,103,99.33,30,28.46,1171,1132,7,6.2,0,0,33,29.4,11,7,51,42.6,1222,1175,3729343.51,58288.13,-1800,11562.77,730369.47,336801.54,4864565.42,,,0,4864565.42,,,35.6,,
01/11/2011,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,8,8,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,78625.27,821.51,0,0,13858.15,7974.52,101279.45,,,0,101279.45,,,0,,
01/12/2011,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,8,7.5,12,11.2,14,13.6,0,0,35,33,0,0,1,1,0,0,0,0,1,1,36,34,267060.03,3259,,,8601.39,31782.38,310702.8,,,0,310702.8,,,1,,
01/12/2011,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,108,105.26,109,106,0,0,0,0,0,0,0,0,0,0,109,106,375735.1,60.74,32185.8,4867.77,79207.79,36786.42,528843.62,,,0,528843.62,,,0,,
01/12/2011,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,107,100.97,144,137.69,407,396.66,366,356.81,101,96.32,29,28.38,1154,1117,12,11.2,0,0,33,30.2,5,2,50,43.4,1204,1160,3940502,66417.08,0,99440.17,730813.39,364776.36,5201949,,,0,5201949,,,41.4,,
01/12/2011,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,8,8,6,6,1,1,0,0,17,17,0,0,0,0,17,17,0,0,17,17,34,34,73814.87,1764.08,,17390.49,34390.3,10170.36,137530.1,,,0,137530.1,,,17,,
01/01/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,8,7.5,12,11.2,14,13.6,0,0,35,33,1,1,0,0,0,0,0,0,1,1,36,34,377250.62,3258,0,0,8379.81,36394.22,425282.65,,,0,425282.65,,,1,,
01/01/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,109,105.26,110,106,0,0,0,0,0,0,0,0,0,0,110,106,379414.06,141.61,32185.79,2343.19,78980.56,45277,538342.21,,,0,538342.21,,,0,,
01/01/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,107,100.97,148,139.23,453,448.86,366,352.16,100,95.46,30,28.38,1204,1165,9,9,0,0,35,30.68,5,2,49,41.68,1253,1207,3771905.55,65904.46,0,29007.41,748842.91,358180.7,4973841.03,,,0,4973841.03,,,39.68,,
01/01/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,8,8,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,76747.85,912.33,0,3974.55,13476.9,8292.46,103404.09,,,0,103404.09,,,0,,
01/02/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,8,7.5,12,11.2,14,13.6,0,0,35,33,1,1,0,0,0,0,0,0,1,1,36,34,349624.58,3259,0,0,8455.36,33889.69,395228.63,,,0,395228.63,,,1,,
01/02/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,109,105.26,110,106,21,21,0,0,0,0,0,0,21,21,131,127,382373.97,57,42609.29,7379.92,80933.6,39753.34,553107.12,,,0,553107.12,,,21,,
01/02/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,105,99.36,150,144.69,459,445.01,373,360.75,101,94.42,29,28.18,1217,1172,14,13.2,0,0,38,32.2,0,0,52,45.4,1269,1218,3949557.05,83371.2,9193,19256.83,752524.6,369047.14,5182949.82,,,0,5182949.82,,,45.4,,
01/02/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,8,8,6,6,1,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,76849.96,821.51,0,0,13284.82,7729.19,98685.48,,,0,98685.48,,,0,,
01/03/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,7,6.6,10,9.2,14,13,0,0,32,30,1,1,0,0,0,0,0,0,1,1,33,31,183914.15,3553.94,0,0,8397.7,19740.79,215606.58,6027,,6027,221633.58,,,1,,
01/03/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,108,103.26,109,104,22,22,0,0,0,0,0,0,22,22,131,126,313285.45,53.25,18385.79,6903.64,66737.83,24961.93,430327.89,209851,,209851,640178.89,,,22,,
01/03/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,102,95.79,155,146.14,461,455.97,371,355.07,102,96.5,30,28.09,1221,1178,16,15.2,0,0,30,28.8,11,2.9,57,46.9,1278,1224,4445457.13,71303.96,300,108382.14,764721.54,435130.72,5825295.49,95485,,95485,5920780.49,,,44,,
01/03/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,8,8,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,81249.48,690.02,25000,19427.6,12466.76,8478.39,147312.25,0,,0,147312.25,,,0,,
01/04/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,97,90.99,156,147.33,447,441.37,352,335.78,97,92.2,30,28.09,1179,1136,15,15,0,0,36,32.8,1,0.4,52,48.2,1231,1184,3886660.34,68685.48,0,0,731290.8,352370.79,5039007.41,223517,404379,627896,5666903.41,,,47.8,,
01/04/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,108,103.26,109,104,21,21,0,0,0,0,0,0,21,21,130,125,459829.49,-0.99,0,2356.23,93576.1,46300.94,602061.77,176735,14640,191375,793436.77,,,21,,
01/04/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,2,2,7,6.6,8,7.2,9,8.8,0,0,26,25,0,0,0,0,0,0,0,0,0,0,26,25,203896.38,1801.09,18052.89,291.18,6308.66,26323.33,256673.53,2900,0,2900,259573.53,,,0,,
01/04/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,7,7,6,6,1,1,0,0,16,16,0,0,0,0,0,0,0,0,0,0,16,16,60354.38,1390.55,0,0,14344.69,9046.54,85136.16,0,0,0,85136.16,,,0,,
01/04/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,91682.62,-243,9192,0,5869.26,11413.04,117913.92,,,0,117913.92,UK Financial Investments Ltd,,0,,
01/05/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,99,92.19,158,149.61,445,439.56,353,335.58,94,89.16,30,28.09,1179,1134,15,14.2,0,0,28,26.4,1,0.4,44,41,1223,1175,3719778.4,62549.61,6583.5,6607.33,721120.76,349364.34,4866003.94,121450,260561,382011,5248014.94,,,40.6,,
01/05/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,108,103.26,109,104,21,21,0,0,0,0,0,0,21,21,130,125,450441.39,31.74,0,2283.56,96403.53,44550.48,593710.7,307123,0,307123,900833.7,Waiting Approval,,21,,
01/05/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,2,2,6,5.6,8,7.2,9,8.8,0,0,25,24,0,0,0,0,0,0,0,0,0,0,25,24,153478.53,893.56,18160.25,0,2941.92,18350.34,193824.6,0,69122,69122,262946.6,Waiting Approval,,0,,
01/05/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,7,7,6,6,1,1,0,0,16,16,0,0,0,0,0,0,0,0,0,0,16,16,72332.93,821.51,0,0,12769.34,7374.45,93298.23,0,0,0,93298.23,,,0,,
01/05/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,117693.81,-243,20439.5,0,13672.04,16988.73,168551.08,,,0,168551.08,UK Financial Investments Ltd,,0,,
01/06/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,104,97.44,158,149.61,445,439.16,355,336.78,91,86.79,29,27.09,1182,1137,17,16.2,0,0,33,31.4,2,0.6,52,48.2,1234,1185,3835014.72,72960.37,1250,13467.01,733775.4,355250.69,5011718.19,147673,242093,389766,5401484.19,,,47.6,,
01/06/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,,,,,,,,,1,1,107,103.3,108,104,0,0,0,0,22,22,,,22,22,130,126,462725.66,4.61,100,5213.79,98344.96,46097.15,612486.17,131894,0,131894,744380.17,,,22,,
01/06/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,,,1,1,5,4.6,8,7.2,5,5,3,2.8,22,21,0,0,,,0,0,0,0,0,0,22,21,158070.31,672.25,12499.69,0,13481.01,11712.09,196435.35,0,0,0,196435.35,,,0,,
01/06/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,7,7,6,6,1,1,0,0,16,16,0,0,0,0,0,0,0,0,0,0,16,16,67874.1,1664.12,0,-572.4,12163.63,6637.25,87766.7,0,0,0,87766.7,,,0,,
01/06/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,101929.66,-243,13384.76,0,9147.44,14383.08,138601.94,0,0,0,138601.94,UK Financial Investments Ltd,,0,,
01/07/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,114,107.89,154,145.61,430,425.36,369,351.12,88,83.89,28,26.09,1183,1140,12,11.2,0,0,30,28.3,2,0.8,44,40.3,1227,1180,3857161.23,68734.69,602077.7,17084.24,817452.81,434983.3,5797493.97,209794,351259,561053,6358546.97,,,39.5,,
01/07/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,106,102.26,107,103,0,0,0,0,19,19,0,0,19,19,126,122,452718.46,-1,128745.16,2661.4,94831.05,96757.89,775712.96,214675,0,214675,990387.96,,,19,,
01/07/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,5,4.6,4,3.2,5,5,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,118352.9,672.25,-26523.48,0,7323.26,14251.77,114076.7,0,50902,50902,164978.7,,,0,,
01/07/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,3,3,0,0,8,8,6,6,1,1,0,0,18,18,0,0,0,0,0,0,0,0,0,0,18,18,71644.33,1308.56,10250,0,12716.02,8770.26,104689.17,0,0,0,104689.17,,,0,,
01/07/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,97203.83,0,13119.43,0,8792.48,13156.02,132271.76,0,0,0,132271.76,UK Financial Investments Ltd,,0,,
01/08/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,113,106.89,153,144.61,437,431.45,360,346.29,87,82.74,27,25.09,1177,1137,11,10.2,0,0,30,27.9,2,0.8,43,38.9,1220,1176,3594046.8,67057.98,267125,14451.97,702303.14,354166.62,4999151.51,141160,333856,475016,5474167.51,,,38.1,,
01/08/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,10,10,6,6,1,1,0,0,19,19,0,0,0,0,0,0,0,0,0,0,19,19,71723.35,1484.48,14500,0,12633.31,9163.09,109504.23,,0,0,109504.23,,,0,,
01/08/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,4,3.6,3,2.2,5,5,0,0,13,12,0,0,0,0,0,0,0,0,0,0,13,12,83412.6,460.22,6244.97,0,6903.53,16802.94,113824.26,216392,0,216392,330216.26,,,0,,
01/08/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,104,100.26,105,101,0,0,0,0,16,16,0,0,16,16,121,117,453899.72,-1,250467.84,4389.71,93911.8,45366.84,848034.91,,0,0,848034.91,,,16,,
01/08/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,89976.05,-243,11303.06,0,7872.14,11417.64,120325.89,,0,0,120325.89,,,0,,
01/09/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,109,103.47,156,147.04,440,434.25,354,340.13,93,88.91,27,25.29,1179,1139,10,9.2,0,0,37,35.9,2,0.8,49,45.9,1228,1185,3656215.6,74761.36,1700,13133.7,747954.26,350890.37,4844655.29,104881.82,175514.33,175514.33,5020169.62,,,45.1,,
01/09/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,9,8.91,5,5,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,80407.22,1484.48,0,0,14295.39,8070.2,104257.29,0,0,0,104257.29,,,0,,
01/09/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,2,1.6,3,2.2,5,5,0,0,11,10,0,0,0,0,0,0,0,0,0,0,11,10,83930.58,674.8,-26140.21,0,6418.31,6709.73,71593.21,0,0,0,71593.21,,,0,,
01/09/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,107,101.26,108,102,0,0,0,0,16,16,0,0,16,16,124,118,443736.86,7.43,0,2891.82,93236.03,44418.65,584290.79,102998.13,9284.76,112282.89,696573.68,,,16,,
01/09/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,65382.75,0,8406.4,0,5703.21,10014.44,89506.8,,,0,89506.8,UK Financial Investments Ltd,,0,,
01/10/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,107,100.47,155,146.43,444,439.05,359,345.6,93,88.55,28,26.34,1186,1146,7,6.2,0,0,38,35.9,2,0.8,47,42.9,1233,1189,4012960.57,86152.32,5555.4,13630.09,764870.32,352830.62,5235999.32,115557.5,288451.02,404008.52,5640007.84,,,42.1,,
01/10/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,108,102.26,109,103,0,0,0,0,13,13,0,0,13,13,122,116,453726.72,-1,0,5382.54,95161.53,45220.93,599490.72,182958.37,0,182958.37,782449.09,"[recorded in not for publication section] ""nil return for approval of numbers""",,13,,
01/10/2012,HMT,Non-Whitehall CS,Asset Protection Agency,Executive Agency,HM Treasury,0,0,1,1,2,1.6,3,2.2,5,5,0,0,11,10,0,0,0,0,0,0,0,0,0,0,11,10,169377.94,674.8,-24342.96,0,7462.15,30468.7,183640.63,0,0,0,183640.63,,Last entry for the Asset Protection Agency,0,,
01/10/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,1,1,1,1,9,8.91,6,6,1,1,0,0,18,18,0,0,0,0,0,0,0,0,0,0,18,18,72187.57,1107.55,0,0,11768.34,7463.92,92527.38,0,0,0,92527.38,,,0,,
01/10/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,67918.74,0,8141.24,112.39,10260.2,9631.11,96063.68,0,0,0,96063.68,UK Financial Investments Ltd,,0,,
01/11/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,110,104.47,150,140.82,441,436.14,353,338.58,94,90.96,28,26.34,1176,1137,8,7.2,0,0,33,30.6,2,0.8,43,38.6,1219,1176,3757828.31,94835.33,12082.68,22568.82,746330.43,336034.17,4969679.74,148635.3,190097.68,338732.98,5308412.72,,,37.8,,
01/11/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,1,1,1,0.61,9,8.91,6,6,1,1,0,0,18,18,0,0,0,0,0,0,0,0,0,0,18,18,84703.9,1531.55,1250,0,14838.02,8728.26,111051.73,0,0,0,111051.73,,,0,,
01/11/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,108,102.26,109,103,0,0,0,0,12,12,0,0,12,12,121,115,447793.54,75.24,0,5091.69,94995.58,44664.58,592620.63,121553.34,0,121553.34,714173.97,"[recorded in not for publication section] ""nil return for approval of numbers""",,12,,
01/11/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,69470.67,0,8141.24,0,7127.36,9161.12,93900.39,,,0,93900.39,UK Financial Investments Ltd,,0,,
01/12/2012,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,111,105.47,149,139.82,438,433.14,352,336.98,95,91.21,30,28.34,1175,1135,4,3.2,0,0,32,29.9,2,0.8,38,33.9,1213,1169,3566639.03,87211.1,18844.07,36080.14,791904.66,346115.08,4846794.08,45255.27,75605.02,120860.29,4967654.37,,,33.1,,
01/12/2012,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,1,1,0,0,9,8.91,6,6,1,1,,,17,17,0,0,0,0,0,0,0,0,0,0,17,17,81563.61,1192.72,0,1121.57,14214.4,8365.29,106457.59,0,0,0,106457.59,,,0,,
01/12/2012,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,108,103.26,109,104,0,0,0,0,12,12,0,0,12,12,121,116,438626.18,3.22,1750,4943.93,92445.04,38240.09,576008.46,100227.79,0,100227.79,676236.25,"[recorded in not for publication section] ""nil return for approval of numbers""",,12,,
01/12/2012,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,70553.33,0,8141.24,0,7226.46,8706.62,94627.65,2014.78,0,2014.78,96642.43,UK Financial Investments Ltd,,0,,
01/01/2013,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,111,107.47,146,137.27,437,430.34,351,336.44,97,91.71,29,27.34,1171,1131,6,5.2,0,0,30,29.2,2,0.8,38,35.2,1209,1166,3833961.36,85637.24,26282.72,159633.79,761950.65,361095.25,5228561.01,133266.49,327624.34,460890.83,5689451.84,,,34.4,,
01/01/2013,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,1,1,0,0,9,8.91,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,87921.9,1683.67,0,14176.68,16200.08,10670.85,130653.18,0,0,0,130653.18,,,0,,
01/01/2013,HMT,Non-Whitehall CS,Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,110,105.26,111,106,0,0,0,0,15,15,0,0,15,15,126,121,451873.84,-12.71,1250,1206.56,90948.25,44414.48,589680.42,104682.81,15490.8,120173.61,709854.03,,,15,,
01/01/2013,HMT,Non CS,OTHER,OTHER,HM Treasury,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,70401.79,0,8141.24,1049.91,5890.67,9689.41,95173.02,2486.22,4991.67,7477.89,102650.91,UKFI,Row label added in - missed out in original data,0,,
01/02/2013,HMT,Whitehall,HM Treasury,Ministerial Department,HM Treasury,110,106.47,149,140.31,431,424.24,351,336.04,99,93.71,32,29.94,1172,1131,7,6.2,0,0,25,24.2,1,0.4,33,30.8,1205,1162,3696515.26,79633.06,5045.17,7813.12,843428.23,332855.84,4965290.68,103916.4,212528.9,316445.3,5281735.98,,,30.4,,
01/02/2013,HMT,Non CS,Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,1,1,0,0,9,8.91,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,81563.61,1107.55,0,186.23,14168.35,8266.55,105292.29,0,0,0,105292.29,,,0,,
