Organisation,Whitehall,Group,Managed,Include
Foreign and Commonwealth Office (incl agencies),Whole,FCO,,No
Security and Intelligence Services,NWH,FCO,FALSE,Yes
Wilton Park Executive Agency,NWH,FCO,FALSE,Yes
Child Maintenance & Enforcement Commission (from 2009 to 2012),NWH,DWP,TRUE,Yes
Child Support Agency (until 2008),NWH,DWP,?,Yes
Department for Work and Pensions (excl agencies) (from 2012),NWH,DWP,TRUE,Yes
Disability and Carers Service (until 2008),NWH,DWP,TRUE,Yes
DWP Corporate and Shared Services (until 2011),NWH,DWP,TRUE,Yes
DWP Shared Services (until 2009),NWH,DWP,TRUE,Yes
Health and Safety Executive,NWH,DWP,?,Yes
Jobcentre Plus (until 2011),NWH,DWP,TRUE,Yes
Pension Services (until 2008),NWH,DWP,?,Yes
"Pensions, Disability and Carer's Service (from 2009 until 2011)",NWH,DWP,?,Yes
Rent Service (until 2009),NWH,DWP,?,Yes
"Work and Pensions, Department for (incl agencies)",Whole,DWP,TRUE,No
Food Standards Agency (from 2012),NWH,DH,?,Yes
Food Standards Agency (until 2011),NWH,DH,?,Yes
"Health, Department of (excl agencies)",WH,DH,TRUE,Yes
"Health, Department of (incl agencies)",Whole,DH,?,No
Meat Hygiene Service (until 2010),NWH,DH,?,Yes
Medicines and Healthcare Products Regulatory Agency,NWH,DH,?,Yes
NHS Business Services Authority (Civil Service only) (until 2011),NWH,DH,?,Yes
NHS Purchasing and Supply Agency (until 2010),NWH,DH,?,Yes
Driver and Vehicle Licensing Agency,NWH,DfT,FALSE,Yes
Driving Standards Agency,NWH,DfT,FALSE,Yes
Government Car and Despatch Agency,NWH,DfT,TRUE,Yes
Government Car Service,NWH,DfT,TRUE,Yes
Highways Agency,NWH,DfT,[FALSE],Yes
Maritime and Coastguard Agency,NWH,DfT,[FALSE],Yes
Office of Rail Regulator,NWH,DfT,[FALSE],Yes
"Transport, Department for (excl agencies)",WH,DfT,TRUE,Yes
"Transport, Department for (incl agencies)",Whole,DfT,?,No
Vehicle and Operator Services Agency,NWH,DfT,?,Yes
Vehicle Certification Agency,NWH,DfT,?,Yes
"International Development, Department for",WH,DfID,TRUE,Yes
Education Funding Agency (from 2013),NWH,DfE,TRUE,Yes
"Education, Department for",WH,DfE,TRUE,Yes
"Education, Department for (excluding agencies)",WH,DfE,TRUE,Yes
Office for Standards in Education,NWH,DfE,FALSE,Yes
Office of Qualifications and Examinations Regulation (from 2011),NWH,DfE,FALSE,Yes
Ofqual (from 2011),NWH,DfE,FALSE,Yes
Standards and Testing Agency (from 2013),NWH,DfE,TRUE,Yes
The National College (from 2013),NWH,DfE,?,Yes
The Teaching Agency (from 2013),NWH,DfE,?,Yes
Animal Health (until 2011),NWH,Defra,?,Yes
Animal Health and Veterinary Laboratories Agency (from 2012),NWH,Defra,?,Yes
"Centre for Environment, Fisheries and Aquaculture Science",NWH,Defra,?,Yes
"Environment, Food and Rural Affairs, Department for (excl agencies)",WH,Defra,TRUE,Yes
"Environment, Food and Rural Affairs, Department for (incl agencies)",Whole,Defra,TRUE,No
Food and Environment Research Agency,NWH,Defra,?,Yes
Government Decontamination Services (until 2009),NWH,Defra,?,Yes
Marine and Fisheries Agency (until 2010),NWH,Defra,?,Yes
OFWAT (formerly Office of Water Services),NWH,Defra,FALSE,Yes
Pesticides Safety Directorate (until 2008),NWH,Defra,?,Yes
Rural Payments Agency,NWH,Defra,TRUE,Yes
Veterinary Laboratories Agency (until 2011),NWH,Defra,?,Yes
Veterinary Medicines Directorate,NWH,Defra,?,Yes
"Energy & Climate Change, Department for (from 2009)",Whole,DECC,TRUE,No
"Energy and Climate Change, Department for (from 2009)",WH,DECC,TRUE,Yes
"Culture Media and Sport, Department for (incl agencies)",Whole,DCMS,TRUE,No
"Department for Culture, Media & Sport, Department for (excl agencies)",WH,DCMS,TRUE,Yes
Government Equalities Office (until 2011),NWH,DCMS,TRUE,Yes
Government Equalities Office (Until 2011),NWH,DCMS,TRUE,Yes
Royal Parks Agency,NWH,DCMS,?,Yes
"Communities and Local Government, Department for (excl agencies)",WH,DCLG,TRUE,Yes
"Communities and Local Government, Department for (incl agencies)",Whole,DCLG,?,No
Fire Service College,NWH,DCLG,?,Yes
Fire Service College (until 2012),NWH,DCLG,?,Yes
Ordnance Survey (until 2011),NWH,DCLG,FALSE,Yes
Planning Inspectorate,NWH,DCLG,TRUE,Yes
Queen Elizabeth II Conference Centre,NWH,DCLG,?,Yes
Cabinet Office (excl agencies),WH,CO,TRUE,Yes
Cabinet Office (incl agencies),Whole,CO,?,No
Central Office of Information,NWH,CO,TRUE,Yes
Central Office of Information (until 2012),NWH,CO,TRUE,Yes
Charity Commission,NWH,CO,FALSE,Yes
Government Procurement Service (from 2011),NWH,CO,TRUE,Yes
National School of Government (until 2011),NWH,CO,TRUE,Yes
Office of the Parliamentary Counsel,NWH,CO,TRUE,Yes
OGC Buying Solutions (until 2010 : responsibility moved to Cabinet Office in 2011 survey),NWH,CO,TRUE,Yes
Chancellor's Departments including HM Treasury,Whole,CD,FALSE,No
"Advisory, Conciliation and Arbitration Service",NWH,BIS,,Yes
"Business, Innovation and Skills (incl agencies)",Whole,BIS,,No
"Business, Innovations and Skills (excl agencies)",WH,BIS,,Yes
Companies House,NWH,BIS,,Yes
"Innovation, Universities and Skills, Department for (excl agencies) (until 2009)",WH,BIS,,Yes
"Innovation, Universities and Skills, Department for (incl agencies) (until 2009)",Whole,BIS,,No
Insolvency Service,NWH,BIS,,Yes
Land Registry (from 2012),NWH,BIS,,Yes
Met Office (from 2012),NWH,BIS,,Yes
National Measurement Office (from 2010),NWH,BIS,,Yes
National Weights and Measures Laboratory (until 2009),NWH,BIS,,Yes
Office of Fair Trading,NWH,BIS,,Yes
Office of Gas and Electricity Market,NWH,BIS,,Yes
Ordnance Survey (from 2012),NWH,BIS,,Yes
Postal Services Commission (until 2011),NWH,BIS,,Yes
Skills Funding Agency (from 2011),NWH,BIS,,Yes
UK Intellectual Property Office (from 2010),NWH,BIS,,Yes
UK Intellectual Property Office (until 2009),NWH,BIS,,Yes
UK Space Agency (from 2012),NWH,BIS,,Yes
Attorney General's Departments,WH,AGO,,No
Attorney General's Office,WH,AGO,,No
Crown Prosecution Service,NWH,AGO,,No
Crown Prosecution Service Inspectorate,NWH,AGO,,No
National Fraud Authority (from 2010 to 2011),NWH,AGO,,No
Revenue and Customs Prosecutions Office (until 2009),NWH,AGO,,No
Serious Fraud Office,NWH,AGO,,No
Treasury Solicitor,NWH,AGO,,No
