"","country","crimeindex","crimeindex100","educindex","educindex100","civiljindex","civiljindex100","genindex","genindex100","taxindex","taxindex100","delivery_overallindex","delivery_overallindex100","legitimacyindex","legitimacyindex100","impar_noCBindex","impar_noCBindex100","imparindex","imparindex100","regqualindex","regqualindex100","priceindex","priceindex100","shadowindex","shadowindex100","inflationindex","inflationindex100","enviroindex","enviroindex100","aggregate_reg_outindex","aggregate_reg_outindex100","regulatoryindex","regulatoryindex100","coordoutindex","coordoutindex100","coordexpindex","coordexpindex100","selfmonindex","selfmonindex100","aggregatecoordindex","aggregatecoordindex100","intelligenceindex","intelligenceindex100","efficacyplusindex","efficacyplusindex100","intelligenceaggregateindex","intelligenceaggregateindex100","aggregate_deli_index","aggregate_deli_index100","deli_pure","reg_pure","coord_pure","legit_pure","intel_pure"
"1","Afghanistan",-1.51223768614493,19.7552462771013,-1.96993246438681,10.6013507122638,-0.43885099210563,41.2229801578874,-1.15616922933692,26.8766154132616,-1.21643515459802,25.6712969080396,-1.65483191098708,16.9033617802585,NA,NA,NA,NA,NA,NA,-1.22979037597837,25.4041924804326,NA,NA,NA,NA,-0.454073811905196,40.9185237618961,NA,NA,NA,NA,NA,NA,0.430372620136855,58.6074524027371,-0.430490858869743,41.3901828226051,0.162459834802474,53.2491966960495,0.305685565124634,56.1137113024927,-0.892084615097349,32.158307698053,-0.467521549308728,40.6495690138254,-1.01789645075447,29.6420709849107,-0.69634084035882,36.0731831928236,-0.770704247044114,NA,0.864016211464102,NA,-0.26730539606801
"2","Albania",-0.19788893074968,46.0422213850064,0.0533784593081242,51.0675691861625,-0.0645962815849322,48.7080743683014,0.384907221541574,57.6981444308315,-0.470131311605476,40.5973737678905,-0.123519824109279,47.5296035178144,NA,NA,-0.768269533714906,34.6346093257019,-0.22249762031387,45.5500475937226,-0.0622148971968949,48.7557020560621,-0.268876637066682,44.6224672586664,-0.151952146941395,46.9609570611721,0.533110233986909,60.6622046797382,0.416356061385858,58.3271212277172,0.132173570968192,52.6434714193638,-0.0508463155141908,48.9830736897162,0.623371897162403,62.4674379432481,0.892546736631816,67.8509347326363,-0.320576332510317,43.5884733497937,0.507102160455697,60.142043209114,-0.0418608072521493,49.162783854957,-0.271298645862441,44.5740270827512,-0.249491132482708,45.0101773503458,NA,NA,-0.221251037450123,-0.151130188482022,0.383802881472813,NA,-0.454814988871701
"3","Algeria",NA,NA,0.0148445002730973,50.2968900054619,-0.706759526909067,35.8648094618187,0.424303050462157,58.4860610092431,0.147157605625291,52.9431521125058,-0.216149312055186,45.6770137588963,-0.175820956757972,46.4835808648406,0.0661555826524127,51.3231116530483,-0.011341323674943,49.7731735265011,-0.453495029406247,40.9300994118751,0.190868790210767,53.8173758042153,-0.021127036473135,49.5774592705373,-0.0230872692885868,49.5382546142283,-0.321691972817681,43.5661605436464,-0.0863094162765754,48.2738116744685,-0.183715256452588,46.3256948709482,-1.25023972446889,24.9952055106223,-0.977050204431886,30.4589959113623,NA,NA,-1.60989215232504,17.8021569534991,-0.307163324591569,43.8567335081686,-0.46324651385793,40.7350697228414,-0.574444871117363,38.5111025776527,-0.0904939619469226,48.1901207610616,-0.268953469651127,-0.255752086830596,-1.70200199425047,-0.207166529869203,-0.73602879349866
"4","Angola",NA,NA,-1.03181098280913,29.3637803438174,-0.701165577801353,35.9766884439729,-0.993205855241547,30.1358828951691,-1.6861216024725,16.2775679505499,-1.40570640371634,21.8858719256732,NA,NA,-0.976588174288969,30.4682365142206,-0.588902240696344,38.2219551860731,-0.719998358379071,35.6000328324186,-0.806740460100785,33.8651907979843,-0.859946862416684,32.8010627516663,-1.65018399530038,16.9963200939924,0.253441566365907,55.0688313273181,-0.611655841250453,37.7668831749909,-0.640185480108623,37.1962903978275,-0.390073407286652,42.198531854267,0.0810270398618664,51.6205407972373,NA,NA,-0.217913549975575,45.6417290004885,0.359720011792906,57.1944002358581,-0.467428870550173,40.6514225889965,-0.0747562200228888,48.5048755995422,NA,NA,-1.27485807014959,-0.596754255578763,-0.182527438324871,NA,-0.0575403588301789
"5","Antigua and Barbuda",NA,NA,0.377574680636411,57.5514936127282,0.177416004292074,53.5483200858415,NA,NA,NA,NA,0.39993030651985,57.998606130397,NA,NA,NA,NA,NA,NA,0.250932372754305,55.0186474550861,-0.361563717612623,42.7687256477475,NA,NA,0.528928688184783,60.5785737636957,NA,NA,NA,NA,NA,NA,0.298102907574536,55.9620581514907,NA,NA,NA,NA,NA,NA,NA,NA,-0.29630479557935,44.073904088413,NA,NA,NA,NA,-0.102208935062091,NA,NA,NA,NA
"6","Argentina",-0.369734065241676,42.6053186951665,0.188022215792517,53.7604443158503,0.394506425140716,57.8901285028143,-0.178771058885512,46.4245788222898,0.429185518862407,58.5837103772481,0.284334785101842,55.6866957020368,-1.11316209298725,27.7367581402551,-0.0734470367308487,48.531059265383,0.21315402530636,54.2630805061272,-0.509016940592995,39.8196611881401,NA,NA,0.609911731667883,62.1982346333577,-1.1381921573126,27.236156853748,-0.331991368939617,43.3601726212077,NA,NA,-0.147931457643318,47.0413708471336,-1.20454453020441,25.9091093959118,-0.165530507661936,46.6893898467613,-0.00335211131986324,49.9329577736027,-0.571404148338707,38.5719170332259,-0.302861873488825,43.9427625302235,0.64531847797927,62.9063695595854,0.151182315457016,53.0236463091403,-0.102500341988682,47.9499931602264,NA,NA,NA,NA,NA
"7","Armenia",NA,NA,0.249247279500357,54.9849455900071,-0.230402717585485,45.3919456482903,-0.158774577100664,46.8245084579867,-0.694071172199556,36.1185765560089,-0.245112970781063,45.0977405843787,NA,NA,-0.202999197886721,45.9400160422656,0.171433848629245,53.4286769725849,0.333764009218037,56.6752801843607,0.607677761575795,62.1535552315159,-0.782990915082413,34.3401816983517,-0.24379538646386,45.1240922707228,0.0529480687424662,51.0589613748493,-0.182700552927993,46.3459889414401,0.107499101639763,52.1499820327953,0.180119162137174,53.6023832427435,-0.377046608355205,42.4590678328959,NA,NA,-0.107561283490444,47.8487743301911,0.384367431659201,57.687348633184,-0.20154614030992,45.9690771938016,0.117072690349005,52.3414538069801,NA,NA,-0.140757329655794,0.134273543317817,-0.0905670328171844,NA,0.108495883852643
"8","Aruba",NA,NA,0.65955208556575,63.191041711315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793020570628228,65.8604114125646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.333773380910451,43.324532381791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Australia",0.522581797864771,60.4516359572954,0.854137082484138,67.0827416496828,1.37825310244168,77.5650620488336,0.844264751112755,66.8852950222551,1.40923142339118,78.1846284678235,1.49964295261128,79.9928590522256,0.45539938483232,59.1079876966464,1.87900422358781,87.5800844717562,0.948840455576365,68.9768091115273,1.13579322627709,72.7158645255417,-1.02707745236965,29.4584509526071,1.34099323134345,76.8198646268691,0.675922888724154,63.5184577744831,-0.176548702026626,46.4690259594675,0.329622415831361,56.5924483166272,0.804752032561604,66.0950406512321,0.857539493638055,67.1507898727611,1.21587810622222,74.3175621244445,0.0599385907691891,51.1987718153838,1.18103960192361,73.6207920384722,1.10370061319608,72.0740122639216,2.16842192303221,93.3684384606441,2.20336993777393,94.0673987554786,1.77465429585766,85.4930859171532,0.628224091312588,0.218026580444183,0.520627845881684,0.14729229177827,1.24480182570968
"10","Austria",0.729566358646071,64.5913271729214,0.900089410432597,68.0017882086519,1.50601513690388,80.1203027380776,1.23617191915034,74.7234383830067,1.391196204718,77.82392409436,1.63713744978608,82.7427489957216,NA,NA,1.68244775792079,83.6489551584158,1.3043790864642,76.087581729284,1.09684804414941,71.9369608829882,-0.162916664287018,46.7416667142596,1.80272891534908,86.0545783069815,0.655040880243186,63.1008176048637,-0.0560549887473367,48.8789002250533,0.664245344859941,63.2849068971988,1.02182415849118,70.4364831698236,-0.00921990724252978,49.8156018551494,0.645989189108014,62.9197837821603,-0.890918576904994,32.1816284619001,-0.533844502269692,39.3231099546062,0.816286785544674,66.3257357108935,0.960921652512215,69.2184330502443,1.19998231962195,73.999646392439,NA,NA,0.754223792656984,0.427871569362458,-1.20223622061043,NA,0.230223142336143
