Dept group,Organisation,Dept IfG,Whitehall,Managed,Year,Communications and Marketing,Economics,Engineering,Finance,Human Resources,Information Technology,Inspector of Education and Training,Internal Audit,Knowledge and Information Management,Law,Medicine,Operational Delivery,Operational Research,Planning,Policy Delivery,Procurement and Contract Management,Programme and Project Management,Property Asset Management,Psychology,Science,Social and Market Research,Statistics,Tax Professionals,Veterinarian,Other,Not Reported,Total
Transport,Office of Rail Regulation,DfT,Non-Whitehall,No,2010,20,0,0,10,10,10,0,0,10,10,0,130,0,0,110,0,0,0,0,0,0,0,0,0,0,0,300
Transport,Vehicle and Operator Services Agency,DfT,Non-Whitehall,No,2010,10,0,10,40,100,30,0,10,0,0,0,2130,0,0,30,..,0,0,0,0,0,0,0,0,90,0,2440
Transport,Vehicle Certification Agency,DfT,Non-Whitehall,No,2010,10,0,50,10,10,..,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
Health,Department of Health (excl agencies),DH,Whitehall,Yes,2010,140,60,0,140,70,110,0,10,30,0,..,200,40,0,1500,90,40,0,0,10,10,60,0,0,100,10,2630
Health,Food Standards Agency,DH,Non-Whitehall,No,2010,40,0,0,40,20,10,0,..,0,10,0,..,0,..,450,0,10,0,0,50,0,30,0,20,0,0,710
Health,Meat Hygiene Service,DH,Non-Whitehall,No,2010,..,0,0,30,30,20,0,10,0,0,0,690,0,0,0,..,0,0,0,0,0,0,0,20,60,0,870
Health,Medicines and Healthcare Products Regulatory Agency,DH,Non-Whitehall,No,2010,30,0,0,20,20,20,0,0,0,0,80,80,0,0,40,0,0,0,0,460,0,10,0,0,220,0,970
Health,National Healthcare Purchasing and Supplies,DH,Non-Whitehall,No,2010,..,0,0,10,..,10,0,0,0,0,0,0,0,0,0,20,..,0,0,0,0,0,0,0,0,0,50
Health,NHS Business Services Authority,DH,Non-Whitehall,No,2010,..,0,0,0,0,..,0,0,0,0,0,180,0,0,20,..,0,0,0,0,0,0,0,0,0,0,200
Health,Public Health England,DH,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Work and Pensions,Department for Work and Pensions,DWP,Non-Whitehall,Yes,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Work and Pensions,Child Maintenance Enforcement Commission,DWP,Non-Whitehall,Yes,2010,10,0,0,10,50,10,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8470
Work and Pensions,DWP Corporate and Shared Services  ,DWP,Non-Whitehall,Yes,2010,360,0,0,5460,550,2250,0,0,0,190,0,130,0,0,2790,470,70,0,0,0,0,0,0,0,0,0,12260
