#,Columns that need attention when updating,"Raw ONS figures as collated, summed by department and Whitehall/non-Whitehall",,,,,,,,,,,,,,Reclassifications in each period,,,,,,,,,,,,,,"Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,"% Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,Calculated rates,,,,,,"Cumulative change to each period, accounting for reclassifications",,,,,,,,,,,,,,"Cumulative % change to each period, accounting for reclassifications",,,,,,,,,,,,,,,Latest and previous period figures. Relies on information entered on SETUP sheet being correct and up to date.,,,,,,,,,
#,,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK: Latest quarter: 2013 Q4,,,,CHECK: Previous quarter: 2013 Q3,,,,,
Dept,Whitehall?,ONS 2010 Q3 FTE,ONS 2010 Q4 FTE,ONS 2011 Q1 FTE,ONS 2011 Q2 FTE,ONS 2011 Q3 FTE,ONS 2011 Q4 FTE,ONS 2012 Q1 FTE,ONS 2012 Q2 FTE,ONS 2012 Q3 FTE,ONS 2012 Q4 FTE,ONS 2013 Q1 FTE,ONS 2013 Q2 FTE,ONS 2013 Q3 FTE,ONS 2013 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Reclass 2013 Q1,Reclass 2013 Q2,Reclass 2013 Q3,Reclass 2013 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,Change 2013 Q1 FTE,Change 2013 Q2 FTE,Change 2013 Q3 FTE,Change 2013 Q4 FTE,% Change 2010 Q3 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,% Change 2013 Q1 FTE,% Change 2013 Q2 FTE,% Change 2013 Q3 FTE,% Change 2013 Q4 FTE,Product,Number of periods,Change Rate,Cumulative net change,Cumulative % change,Check total change,Cumulative net change to 2010 Q3,Cumulative net change to 2010 Q4,Cumulative net change to 2011 Q1,Cumulative net change to 2011 Q2,Cumulative net change to 2011 Q3,Cumulative net change to 2011 Q4,Cumulative net change to 2012 Q1,Cumulative net change to 2012 Q2,Cumulative net change to 2012 Q3,Cumulative net change to 2012 Q4,Cumulative net change to 2013 Q1,Cumulative net change to 2013 Q2,Cumulative net change to 2013 Q3,Cumulative net change to 2013 Q4,Cumulative % net change to 2010 Q3,Cumulative % net change to 2010 Q4,Cumulative % net change to 2011 Q1,Cumulative % net change to 2011 Q2,Cumulative % net change to 2011 Q3,Cumulative % net change to 2011 Q4,Cumulative % net change to 2012 Q1,Cumulative % net change to 2012 Q2,Cumulative % net change to 2012 Q3,Cumulative % net change to 2012 Q4,Cumulative % net change to 2013 Q1,Cumulative % net change to 2013 Q2,Cumulative % net change to 2013 Q3,Cumulative % net change to 2013 Q4,Check cumulative change,Cumulative % net change to Previous Quarter,Cumulative % net change to Latest Quarter,Cumulative net change to Previous Quarter,Cumulative net change to Latest Quarter,Net change in Previous Quarter,Net change in Latest Quarter,% net change in Previous Quarter,% net change in Latest Quarter,ONS total in previous quarter,ONS total in latest quarter
AGO,Non-Whitehall,9100,8980,8900,8670,8460,8340,8340,8280,8180,8080,8030,7770,7790,7620,0,0,0,-40,0,0,0,0,0,0,0,70,60,80,0,-120,-80,-190,-210,-120,0,-60,-100,-100,-50,-330,-40,-250,0,-0.013186813,-0.008908686,-0.021348315,-0.024221453,-0.014184397,0,-0.007194245,-0.012077295,-0.012224939,-0.006188119,-0.04109589,-0.005148005,-0.032092426,0.818541596,13,-0.015284379,-1400,-0.181458404,OK,0,-120,-200,-390,-600,-720,-720,-780,-880,-980,-1030,-1360,-1400,-1650,0,-0.013186813,-0.021978022,-0.042857143,-0.066040534,-0.079288186,-0.079288186,-0.085912012,-0.096951722,-0.107991432,-0.113511287,-0.14994233,-0.154318431,-0.181458404,OK,-0.154318431,-0.181458404,-1400,-1650,-40,-250,-0.005148005,-0.032092426,7790,7620
BIS,Non-Whitehall,8050,7770,7680,7170,14360,14040,13670,13650,13550,13630,13620,13550,13460,13630,0,0,0,0,7290,0,0,0,0,0,0,0,0,0,0,-280,-90,-510,-100,-320,-370,-20,-100,80,-10,-70,-90,170,0,-0.034782609,-0.011583012,-0.06640625,-0.013947001,-0.022284123,-0.026353276,-0.001463058,-0.007326007,0.005904059,-0.000733676,-0.005139501,-0.006642066,0.012630015,0.833613903,13,-0.013901313,-1880,-0.166386097,OK,0,-280,-370,-880,-980,-1300,-1670,-1690,-1790,-1710,-1720,-1790,-1880,-1710,0,-0.034782609,-0.045962733,-0.10931677,-0.12173913,-0.141310403,-0.163939688,-0.165162892,-0.171278915,-0.166386097,-0.166997699,-0.171278915,-0.176783335,-0.166386097,OK,-0.176783335,-0.166386097,-1880,-1710,-90,170,-0.006642066,0.012630015,13460,13630
CO,Non-Whitehall,5220,4830,4830,4500,4310,4220,4090,3680,3720,3700,3720,3690,3740,3750,0,0,0,-200,0,0,0,-68,0,0,0,0,0,0,0,-390,0,-130,-190,-90,-130,-342,40,-20,20,-30,50,10,0,-0.074712644,0,-0.026915114,-0.042222222,-0.020881671,-0.030805687,-0.083618582,0.010869565,-0.005376344,0.005405405,-0.008064516,0.013550136,0.002673797,0.76418388,13,-0.020475685,-1212,-0.23581612,OK,0,-390,-390,-520,-710,-800,-930,-1272,-1232,-1252,-1232,-1262,-1212,-1202,0,-0.074712644,-0.074712644,-0.099616858,-0.137633035,-0.155640698,-0.181651767,-0.250080885,-0.241929591,-0.246005238,-0.241929591,-0.248043062,-0.237853943,-0.23581612,OK,-0.237853943,-0.23581612,-1212,-1202,50,10,0.013550136,0.002673797,3740,3750
DCLG,Non-Whitehall,2090,2050,1950,1910,840,840,820,840,820,830,710,710,740,760,0,0,0,0,-1060,0,0,0,0,0,-130,0,0,0,0,-40,-100,-40,-10,0,-20,20,-20,10,10,0,30,20,0,-0.019138756,-0.048780488,-0.020512821,-0.005235602,0,-0.023809524,0.024390244,-0.023809524,0.012195122,0.012048193,0,0.042253521,0.027027027,0.973111396,13,-0.002094474,-160,-0.026888604,OK,0,-40,-140,-180,-190,-190,-210,-190,-210,-200,-190,-190,-160,-140,0,-0.019138756,-0.066985646,-0.086124402,-0.090909091,-0.090909091,-0.112554113,-0.090909091,-0.112554113,-0.101731602,-0.090909091,-0.090909091,-0.052496799,-0.026888604,OK,-0.052496799,-0.026888604,-160,-140,30,20,0.042253521,0.027027027,740,760
DCMS,Non-Whitehall,110,120,120,120,110,110,120,130,130,110,120,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,-10,0,10,10,0,-20,10,-10,0,0,0,0.090909091,0,0,-0.083333333,0,0.090909091,0.083333333,0,-0.153846154,0.090909091,-0.083333333,0,0,1,13,0,0,0,OK,0,10,10,10,0,0,10,20,20,0,10,0,0,0,0,0.090909091,0.090909091,0.090909091,-1.11022E-16,-1.11022E-16,0.090909091,0.181818182,0.181818182,-3.33067E-16,0.090909091,-5.55112E-16,-5.55112E-16,-5.55112E-16,OK,-5.55112E-16,-5.55112E-16,0,0,0,0,0,0,110,110
DECC,Non-Whitehall,410,430,440,460,520,530,550,570,620,650,690,730,760,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,60,10,20,20,50,30,40,40,30,20,0,0.048780488,0.023255814,0.045454545,0.130434783,0.019230769,0.037735849,0.036363636,0.087719298,0.048387097,0.061538462,0.057971014,0.04109589,0.026315789,1.902439024,13,0.050716233,350,0.902439024,OK,0,20,30,50,110,120,140,160,210,240,280,320,350,370,0,0.048780488,0.073170732,0.12195122,0.268292683,0.292682927,0.341463415,0.390243902,0.512195122,0.585365854,0.682926829,0.780487805,0.853658537,0.902439024,OK,0.853658537,0.902439024,350,370,30,20,0.04109589,0.026315789,760,780
DEFRA,Non-Whitehall,7070,6910,6880,6870,6560,6440,6400,6290,6210,6170,6000,5930,5750,5790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-160,-30,-10,-310,-120,-40,-110,-80,-40,-170,-70,-180,40,0,-0.022630835,-0.004341534,-0.001453488,-0.045123726,-0.018292683,-0.00621118,-0.0171875,-0.012718601,-0.006441224,-0.027552674,-0.011666667,-0.030354132,0.006956522,0.818953324,13,-0.015246287,-1320,-0.181046676,OK,0,-160,-190,-200,-510,-630,-670,-780,-860,-900,-1070,-1140,-1320,-1280,0,-0.022630835,-0.026874116,-0.028288543,-0.072135785,-0.089108911,-0.09476662,-0.110325318,-0.121640736,-0.127298444,-0.151343706,-0.161244696,-0.186704385,-0.181046676,OK,-0.186704385,-0.181046676,-1320,-1280,-180,40,-0.030354132,0.006956522,5750,5790
DfE,Non-Whitehall,1670,1630,1620,1610,1590,1670,1670,2750,2660,2580,2590,2600,2560,2540,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,-40,-10,-10,-20,80,0,-40,-90,-80,10,10,-40,-20,0,-0.023952096,-0.006134969,-0.00617284,-0.01242236,0.050314465,0,-0.023952096,-0.032727273,-0.030075188,0.003875969,0.003861004,-0.015384615,-0.0078125,0.901513337,13,-0.007943699,-230,-0.098486663,OK,0,-40,-50,-60,-80,0,0,-40,-130,-210,-200,-190,-230,-250,0,-0.023952096,-0.02994012,-0.035928144,-0.047904192,0,0,-0.023952096,-0.055895482,-0.084289603,-0.080740338,-0.077191072,-0.091388133,-0.098486663,OK,-0.091388133,-0.098486663,-230,-250,-40,-20,-0.015384615,-0.0078125,2560,2540
DfID,Non-Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
DfT,Non-Whitehall,16330,16120,15810,15600,15460,15370,15290,15200,15110,15070,15080,14700,14700,14290,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,-210,-310,-210,-140,-90,-80,-90,-90,-40,10,-290,0,-410,0,-0.012859767,-0.019230769,-0.013282732,-0.008974359,-0.005821475,-0.005204945,-0.0058862,-0.005921053,-0.002647253,0.00066357,-0.019230769,0,-0.027891156,0.880434158,13,-0.009747576,-1540,-0.119565842,OK,0,-210,-520,-730,-870,-960,-1040,-1130,-1220,-1260,-1250,-1540,-1540,-1950,0,-0.012859767,-0.031843233,-0.044703001,-0.053276179,-0.058787508,-0.063686467,-0.069197795,-0.074709124,-0.077158604,-0.076546234,-0.09430496,-0.09430496,-0.119565842,OK,-0.09430496,-0.119565842,-1540,-1950,0,-410,0,-0.027891156,14700,14290
DH,Non-Whitehall,2570,2520,2460,2460,2240,2210,2180,2180,2190,2180,2190,7260,7270,7410,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,-50,-60,0,-220,-30,-30,0,10,-10,10,270,10,140,0,-0.019455253,-0.023809524,0,-0.089430894,-0.013392857,-0.013574661,0,0.004587156,-0.00456621,0.004587156,0.123287671,0.00137741,0.019257221,0.976975271,13,-0.001790237,-100,-0.023024729,OK,0,-50,-110,-110,-330,-360,-390,-390,-380,-390,-380,-110,-100,40,0,-0.019455253,-0.042801556,-0.042801556,-0.128404669,-0.140077821,-0.151750973,-0.151750973,-0.147859922,-0.151750973,-0.147859922,-0.042801556,-0.041483101,-0.023024729,OK,-0.041483101,-0.023024729,-100,40,10,140,0.00137741,0.019257221,7270,7410
DWP,Non-Whitehall,115430,112320,109590,105700,102380,101100,99800,98210,98450,97290,95710,93780,92230,90180,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,-3110,-2730,-3890,-3320,-1280,-1300,-1590,240,-1160,-1580,-1860,-1550,-2050,0,-0.026942736,-0.024305556,-0.035495939,-0.03140965,-0.012502442,-0.012858556,-0.015931864,0.002443743,-0.011782631,-0.016240107,-0.019433706,-0.016528044,-0.022227041,0.781835856,13,-0.018753497,-23130,-0.218164144,OK,0,-3110,-5840,-9730,-13050,-14330,-15630,-17220,-16980,-18140,-19720,-21580,-23130,-25180,0,-0.026942736,-0.050593433,-0.084293511,-0.113055531,-0.124144503,-0.13540674,-0.149181322,-0.14710214,-0.15715152,-0.17083947,-0.186953132,-0.200391206,-0.218164144,OK,-0.200391206,-0.218164144,-23130,-25180,-1550,-2050,-0.016528044,-0.022227041,92230,90180
FCO,Non-Whitehall,5660,5630,5370,5350,5310,5290,5290,5260,6100,6140,6150,6190,6370,6380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-260,-20,-40,-20,0,-30,840,40,10,40,180,10,0,-0.005300353,-0.046181172,-0.003724395,-0.007476636,-0.003766478,0,-0.005671078,0.159695817,0.006557377,0.001628664,0.006504065,0.02907916,0.001569859,1.127208481,13,0.009253645,710,0.127208481,OK,0,-30,-290,-310,-350,-370,-370,-400,440,480,490,530,710,720,0,-0.005300353,-0.051236749,-0.054770318,-0.061837456,-0.065371025,-0.065371025,-0.070671378,0.077738516,0.084805654,0.086572438,0.093639576,0.125441696,0.127208481,OK,0.125441696,0.127208481,710,720,180,10,0.02907916,0.001569859,6370,6380
GEO,Non-Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
HMRC,Non-Whitehall,71320,70540,70610,71180,70570,70440,69940,69160,68170,67880,68020,67380,66570,65960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-780,70,570,-610,-130,-500,-780,-990,-290,140,-640,-810,-610,0,-0.010936624,0.000992345,0.008072511,-0.008569823,-0.001842143,-0.00709824,-0.011152416,-0.014314633,-0.004254071,0.002062463,-0.009408997,-0.012021371,-0.009163287,0.924845766,13,-0.005991846,-4750,-0.075154234,OK,0,-780,-710,-140,-750,-880,-1380,-2160,-3150,-3440,-3300,-3940,-4750,-5360,0,-0.010936624,-0.009955132,-0.001962984,-0.010515984,-0.012338755,-0.019349411,-0.030286035,-0.044167134,-0.048233315,-0.046270331,-0.055243971,-0.066601234,-0.075154234,OK,-0.066601234,-0.075154234,-4750,-5360,-810,-610,-0.012021371,-0.009163287,66570,65960
HMT,Non-Whitehall,370,370,370,380,430,430,430,420,430,440,440,430,450,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,0,0,-10,10,10,0,-10,20,20,0,0,0,0.027027027,0.131578947,0,0,-0.023255814,0.023809524,0.023255814,0,-0.022727273,0.046511628,0.044444444,1.27027027,13,0.018572649,80,0.27027027,OK,0,0,0,10,60,60,60,50,60,70,70,60,80,100,0,0,0,0.027027027,0.162162162,0.162162162,0.162162162,0.135135135,0.162162162,0.189189189,0.189189189,0.162162162,0.216216216,0.27027027,OK,0.216216216,0.27027027,80,100,20,20,0.046511628,0.044444444,450,470
HO,Non-Whitehall,29070,27910,27380,26310,25580,24850,24640,24520,24430,24630,24810,24840,25320,25330,0,0,0,150,0,0,0,0,0,40,-100,0,-60,-80,0,-1160,-530,-1220,-730,-730,-210,-120,-90,160,280,30,540,90,0,-0.039903681,-0.018989609,-0.044558072,-0.027746104,-0.02853792,-0.008450704,-0.00487013,-0.003670473,0.006549325,0.01136825,0.00120919,0.02173913,0.003554502,0.873263929,13,-0.010370273,-3780,-0.126736071,OK,0,-1160,-1690,-2910,-3640,-4370,-4580,-4700,-4790,-4630,-4350,-4320,-3780,-3690,0,-0.039903681,-0.058135535,-0.100103199,-0.12507183,-0.15004046,-0.157223217,-0.161327649,-0.164405973,-0.158933397,-0.149371941,-0.14834337,-0.129829096,-0.126736071,OK,-0.129829096,-0.126736071,-3780,-3690,540,90,0.02173913,0.003554502,25320,25330
MoD,Non-Whitehall,73590,73130,72080,70680,68000,64590,61330,59640,58760,57350,56710,56390,56230,55760,0,0,0,0,-1760,0,0,0,0,0,0,0,0,0,0,-460,-1050,-1400,-920,-3410,-3260,-1690,-880,-1410,-640,-320,-160,-470,0,-0.006250849,-0.014357993,-0.019422863,-0.013016412,-0.050147059,-0.050472209,-0.027555845,-0.014755198,-0.023995916,-0.011159547,-0.005642744,-0.002837383,-0.008358527,0.777323006,13,-0.019190345,-15600,-0.222676994,OK,0,-460,-1510,-2910,-3830,-7240,-10500,-12190,-13070,-14480,-15120,-15440,-15600,-16070,0,-0.006250849,-0.020519092,-0.039543416,-0.052045115,-0.099582264,-0.145028337,-0.168587804,-0.180855455,-0.200511578,-0.209433507,-0.213894471,-0.216124953,-0.222676994,OK,-0.216124953,-0.222676994,-15600,-16070,-160,-470,-0.002837383,-0.008358527,56230,55760
MoJ,Non-Whitehall,75930,74320,73700,71750,66470,64450,63290,61890,60780,60120,59210,59430,58330,56140,0,-1269,0,0,-4470,0,0,-200,-100,-25,0,1600,0,0,0,-341,-620,-1950,-810,-2020,-1160,-1200,-1010,-635,-910,-1380,-1100,-2190,0,-0.004490979,-0.008342304,-0.026458616,-0.011289199,-0.030389649,-0.017998448,-0.018960341,-0.016319276,-0.010447516,-0.015136394,-0.023306874,-0.01850917,-0.037545003,0.78509201,13,-0.018439742,-13136,-0.21490799,OK,0,-341,-961,-2911,-3721,-5741,-6901,-8101,-9111,-9746,-10656,-12036,-13136,-15326,0,-0.004490979,-0.012795817,-0.038915873,-0.049765743,-0.078643029,-0.095226025,-0.112380848,-0.12686615,-0.13598823,-0.149066252,-0.168898858,-0.18428185,-0.21490799,OK,-0.18428185,-0.21490799,-13136,-15326,-1100,-2190,-0.01850917,-0.037545003,58330,56140
NIO,Non-Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
Scot Gov,Non-Whitehall,16750,16620,16370,16190,16080,15800,15720,15770,15690,15660,15820,15880,15950,15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130,-250,-180,-110,-280,-80,50,-80,-30,160,60,70,-50,0,-0.007761194,-0.015042118,-0.010995724,-0.006794317,-0.017412935,-0.005063291,0.003180662,-0.005072923,-0.001912046,0.010217114,0.003792668,0.00440806,-0.003134796,0.949253731,13,-0.003998075,-800,-0.050746269,OK,0,-130,-380,-560,-670,-950,-1030,-980,-1060,-1090,-930,-870,-800,-850,0,-0.007761194,-0.022686567,-0.033432836,-0.04,-0.056716418,-0.061492537,-0.058507463,-0.063283582,-0.065074627,-0.055522388,-0.051940299,-0.047761194,-0.050746269,OK,-0.047761194,-0.050746269,-800,-850,70,-50,0.00440806,-0.003134796,15950,15900
Welsh Gov,Non-Whitehall,5610,5550,5450,5300,5110,5100,5170,5230,5310,5310,5390,5490,5530,5500,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,-60,-100,-150,-190,-10,70,60,80,0,40,100,40,-30,0,-0.010695187,-0.018018018,-0.027522936,-0.035849057,-0.001956947,0.01372549,0.011605416,0.015296367,0,0.007532957,0.018552876,0.007285974,-0.005424955,0.973116519,13,-0.00209407,-120,-0.026883481,OK,0,-60,-160,-310,-500,-510,-440,-380,-300,-300,-260,-160,-120,-150,0,-0.010695187,-0.028520499,-0.055258467,-0.08912656,-0.090909091,-0.078431373,-0.067736185,-0.053475936,-0.053475936,-0.046345811,-0.028652783,-0.021575572,-0.026883481,OK,-0.021575572,-0.026883481,-120,-150,40,-30,0.007285974,-0.005424955,5530,5500
AGO,Departmental Group,9150,9020,8940,8710,8500,8380,8380,8320,8220,8120,8070,7810,7830,7660,0,0,0,-40,0,0,0,0,0,0,0,70,60,80,0,-130,-80,-190,-210,-120,0,-60,-100,-100,-50,-330,-330,-250,0,-0.01420765,-0.00886918,-0.021252796,-0.024110218,-0.014117647,0,-0.007159905,-0.012019231,-0.01216545,-0.006157635,-0.040892193,-0.042253521,-0.03192848,0.787893962,13,-0.018170713,-1700,-0.212106038,OK,0,-130,-210,-400,-610,-730,-730,-790,-890,-990,-1040,-1370,-1700,-1950,0,-0.01420765,-0.02295082,-0.043715847,-0.066772067,-0.079947049,-0.079947049,-0.08653454,-0.097513693,-0.108492845,-0.113982421,-0.150213623,-0.18612009,-0.212106038,OK,-0.18612009,-0.212106038,-1700,-1950,-330,-250,-0.042253521,-0.03192848,7830,7660
BIS,Departmental Group,11810,11190,11080,10340,17240,16950,16600,16690,16560,16650,16680,16550,16460,16630,0,0,0,0,7290,0,-50,30,0,0,0,0,0,0,0,-620,-110,-740,-390,-290,-300,60,-130,90,30,-130,-90,170,0,-0.052497883,-0.009830206,-0.066787004,-0.037717602,-0.016821346,-0.017699115,0.003614458,-0.007789095,0.005434783,0.001801802,-0.007793765,-0.005438066,0.010328068,0.813678763,13,-0.015735622,-2620,-0.186321237,OK,0,-620,-730,-1470,-1860,-2150,-2450,-2390,-2520,-2430,-2400,-2530,-2620,-2450,0,-0.052497883,-0.061812024,-0.124470787,-0.157493649,-0.17166574,-0.186326523,-0.183385535,-0.189746223,-0.18534267,-0.183874819,-0.190235506,-0.19463906,-0.186321237,OK,-0.19463906,-0.186321237,-2620,-2450,-90,170,-0.005438066,0.010328068,16460,16630
CO,Departmental Group,6720,6290,6350,6130,5940,5860,5800,5480,5490,5500,5530,5570,5660,5730,0,0,0,0,0,0,50,30,0,0,0,0,0,0,0,-430,60,-220,-190,-80,-110,-350,10,10,30,40,90,70,0,-0.063988095,0.009538951,-0.034645669,-0.030995106,-0.013468013,-0.018771331,-0.060344828,0.001824818,0.001821494,0.005454545,0.007233273,0.016157989,0.012367491,0.840700187,13,-0.01325902,-1140,-0.159299813,OK,0,-430,-370,-590,-780,-860,-970,-1320,-1310,-1300,-1270,-1230,-1140,-1070,0,-0.063988095,-0.055059524,-0.087797619,-0.116071429,-0.12797619,-0.144345238,-0.195979577,-0.194512387,-0.193045196,-0.188643624,-0.182774862,-0.169570147,-0.159299813,OK,-0.169570147,-0.159299813,-1140,-1070,90,70,0.016157989,0.012367491,5660,5730
DCLG,Departmental Group,4610,4520,4200,3930,2950,2700,2640,2540,2500,2490,2390,2310,2390,2420,0,0,0,0,-1060,0,0,0,0,0,-130,0,0,0,0,-90,-320,-270,80,-250,-60,-100,-40,-10,30,-80,80,30,0,-0.019522777,-0.07079646,-0.064285714,0.020356234,-0.084745763,-0.022222222,-0.037878788,-0.015748031,-0.004,0.012048193,-0.033472803,0.034632035,0.012552301,0.752383802,13,-0.02164754,-1030,-0.247616198,OK,0,-90,-410,-680,-600,-850,-910,-1010,-1050,-1060,-1030,-1110,-1030,-1000,0,-0.019522777,-0.088937093,-0.147505423,-0.130151844,-0.203867789,-0.221559616,-0.251045994,-0.262840546,-0.265789183,-0.25694327,-0.281815462,-0.25694327,-0.247616198,OK,-0.25694327,-0.247616198,-1030,-1000,80,30,0.034632035,0.012552301,2390,2420
DCMS,Departmental Group,570,580,570,610,570,570,570,580,650,510,510,580,590,490,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10,-10,40,-40,0,0,10,70,-140,-100,70,10,-100,0,0.01754386,-0.017241379,0.070175439,-0.06557377,0,0,0.01754386,0.120689655,-0.215384615,-0.196078431,0.137254902,0.017241379,-0.169491525,0.691090471,13,-0.028021785,-80,-0.308909529,OK,0,10,0,40,0,0,0,10,80,-60,-160,-90,-80,-180,0,0.01754386,0,0.070175439,0,0,0,0.01754386,0.140350877,-0.105263158,-0.280701754,-0.181974544,-0.167870657,-0.308909529,OK,-0.167870657,-0.308909529,-80,-180,10,-100,0.017241379,-0.169491525,590,490
DECC,Departmental Group,1530,1560,1590,1630,1710,1760,1840,1890,1990,2040,2120,2210,2260,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,40,80,50,80,50,100,50,80,90,50,90,0,0.019607843,0.019230769,0.025157233,0.049079755,0.029239766,0.045454545,0.027173913,0.052910053,0.025125628,0.039215686,0.04245283,0.022624434,0.039823009,1.535947712,13,0.033562274,730,0.535947712,OK,0,30,60,100,180,230,310,360,460,510,590,680,730,820,0,0.019607843,0.039215686,0.065359477,0.117647059,0.150326797,0.202614379,0.235294118,0.300653595,0.333333333,0.385620915,0.444444444,0.477124183,0.535947712,OK,0.477124183,0.535947712,730,820,50,90,0.022624434,0.039823009,2260,2350
DEFRA,Departmental Group,9660,9480,9410,9210,8660,8520,8490,8350,8230,8210,8090,8070,7930,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180,-70,-200,-550,-140,-30,-140,-120,-20,-120,-20,-140,20,0,-0.01863354,-0.007383966,-0.021253985,-0.059717698,-0.016166282,-0.003521127,-0.016489988,-0.014371257,-0.002430134,-0.014616322,-0.002472188,-0.017348203,0.002522068,0.822981366,13,-0.014874551,-1730,-0.177018634,OK,0,-180,-250,-450,-1000,-1140,-1170,-1310,-1430,-1450,-1570,-1590,-1730,-1710,0,-0.01863354,-0.025879917,-0.046583851,-0.103519669,-0.118012422,-0.121118012,-0.135610766,-0.148033126,-0.15010352,-0.16252588,-0.164596273,-0.179089027,-0.177018634,OK,-0.179089027,-0.177018634,-1730,-1710,-140,20,-0.017348203,0.002522068,7930,7950
DfE,Departmental Group,4470,4370,4280,4100,4080,4250,4260,5380,5210,5140,5110,4960,4740,4760,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,-100,-90,-180,-20,170,10,0,-170,-70,-30,-150,-220,20,0,-0.022371365,-0.020594966,-0.042056075,-0.004878049,0.041666667,0.002352941,0,-0.031598513,-0.013435701,-0.005836576,-0.029354207,-0.044354839,0.004219409,0.843192535,13,-0.013034304,-850,-0.156807465,OK,0,-100,-190,-370,-390,-220,-210,-210,-380,-450,-480,-630,-850,-830,0,-0.022371365,-0.042505593,-0.082774049,-0.087248322,-0.049217002,-0.046979866,-0.046979866,-0.077093885,-0.089493775,-0.094808014,-0.121379207,-0.160350291,-0.156807465,OK,-0.160350291,-0.156807465,-850,-830,-220,20,-0.044354839,0.004219409,4740,4760
