Dept,Whitehall?,Raw 2010 Q3 FTE,Raw 2010 Q4 FTE,Raw 2011 Q1 FTE,Raw 2011 Q2 FTE,Raw 2011 Q3 FTE,Raw 2011 Q4 FTE,Raw 2012 Q1 FTE,Raw 2012 Q2 FTE,Raw 2012 Q3 FTE,Raw 2012 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,perc Change 2010 Q3 FTE,perc Change 2010 Q4 FTE,perc Change 2011 Q1 FTE,perc Change 2011 Q2 FTE,perc Change 2011 Q3 FTE,perc Change 2011 Q4 FTE,perc Change 2012 Q1 FTE,perc Change 2012 Q2 FTE,perc Change 2012 Q3 FTE,perc Change 2012 Q4 FTE,Product,Number of periods,Change Rate,Cumulative endogenous change,Cumulative perc cut,Check total change,Dept group,Dept group alt,Cumulative abs endog change to 2010 Q3,Cumulative abs endog change to 2010 Q4,Cumulative abs endog change to 2011 Q1,Cumulative abs endog change to 2011 Q2,Cumulative abs endog change to 2011 Q3,Cumulative abs endog change to 2011 Q4,Cumulative abs endog change to 2012 Q1,Cumulative abs endog change to 2012 Q2,Cumulative abs endog change to 2012 Q3,Cumulative abs endog change to 2012 Q4,Cumulative perc endog change to 2010 Q3,Cumulative perc endog change to 2010 Q4,Cumulative perc endog change to 2011 Q1,Cumulative perc endog change to 2011 Q2,Cumulative perc endog change to 2011 Q3,Cumulative perc endog change to 2011 Q4,Cumulative perc endog change to 2012 Q1,Cumulative perc endog change to 2012 Q2,Cumulative perc endog change to 2012 Q3,Cumulative perc endog change to 2012 Q4,Check cumulative change
MoJ,Non-Whitehall Civil Service,75930,74320,73700,71750,66470,64450,63290,61890,60780,60120,0,-1269,0,0,-4470,0,0,-200,-100,-25,0,-341,-620,-1950,-810,-2020,-1160,-1200,-1010,-635,0,-0.004490979,-0.008342304,-0.026458616,-0.011289199,-0.030389649,-0.017998448,-0.018960341,-0.016319276,-0.010447516,0.86401177,9,-0.016109814,-9746,-0.13598823,OK,Delivery,Delivery,0,-341,-961,-2911,-3721,-5741,-6901,-8101,-9111,-9746,0,-0.004490979,-0.012795817,-0.038915873,-0.049765743,-0.078643029,-0.095226025,-0.112380848,-0.12686615,-0.13598823,OK
NIO,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,0,,,Other,Other,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Scot Gov,Non-Whitehall Civil Service,16750,16620,16370,16190,16080,15800,15720,15770,15690,15660,0,0,0,0,0,0,0,0,0,0,0,-130,-250,-180,-110,-280,-80,50,-80,-30,0,-0.007761194,-0.015042118,-0.010995724,-0.006794317,-0.017412935,-0.005063291,0.003180662,-0.005072923,-0.001912046,0.934925373,9,-0.007448628,-1090,-0.065074627,OK,Other,Devolved,0,-130,-380,-560,-670,-950,-1030,-980,-1060,-1090,0,-0.007761194,-0.022686567,-0.033432836,-0.04,-0.056716418,-0.061492537,-0.058507463,-0.063283582,-0.065074627,OK
Welsh Gov,Non-Whitehall Civil Service,5610,5550,5450,5300,5110,5100,5170,5230,5310,5310,0,0,0,0,0,0,0,0,0,0,0,-60,-100,-150,-190,-10,70,60,80,0,0,-0.010695187,-0.018018018,-0.027522936,-0.035849057,-0.001956947,0.01372549,0.011605416,0.015296367,0,0.946524064,9,-0.006087936,-300,-0.053475936,OK,Other,Devolved,0,-60,-160,-310,-500,-510,-440,-380,-300,-300,0,-0.010695187,-0.028520499,-0.055258467,-0.08912656,-0.090909091,-0.078431373,-0.067736185,-0.053475936,-0.053475936,OK
AGO,Total,9150,9020,8940,8710,8500,8380,8380,8320,8220,8120,0,0,0,-40,0,0,0,0,0,0,0,-130,-80,-190,-210,-120,0,-60,-100,-100,0,-0.01420765,-0.00886918,-0.021252796,-0.024110218,-0.014117647,0,-0.007159905,-0.012019231,-0.01216545,0.891507155,9,-0.012679136,-990,-0.108492845,OK,Other,Other,0,-130,-210,-400,-610,-730,-730,-790,-890,-990,0,-0.01420765,-0.02295082,-0.043715847,-0.066772067,-0.079947049,-0.079947049,-0.08653454,-0.097513693,-0.108492845,OK
BIS,Total,12220,11620,11520,10800,17760,17480,17150,17260,17180,17300,0,0,0,0,7290,0,-50,30,0,0,0,-600,-100,-720,-330,-280,-280,80,-80,120,0,-0.049099836,-0.008605852,-0.0625,-0.030555556,-0.015765766,-0.016018307,0.004664723,-0.004634994,0.006984866,0.835578826,9,-0.019761093,-2190,-0.164421174,OK,Policy,Policy,0,-600,-700,-1420,-1750,-2030,-2310,-2230,-2310,-2190,0,-0.049099836,-0.057283142,-0.116202946,-0.143207856,-0.15671584,-0.170223824,-0.166353148,-0.170217097,-0.164421174,OK
CO,Total,3450,3090,3100,2960,2860,2840,2810,2520,2520,2580,0,0,0,0,0,0,50,30,0,0,0,-360,10,-140,-100,-20,-80,-320,0,60,0,-0.104347826,0.003236246,-0.04516129,-0.033783784,-0.006993007,-0.028169014,-0.113879004,0,0.023809524,0.725775292,9,-0.034986085,-950,-0.274224708,OK,Centre,Centre,0,-360,-350,-490,-590,-610,-690,-1010,-1010,-950,0,-0.104347826,-0.101449275,-0.142028986,-0.171014493,-0.176811594,-0.2,-0.291103203,-0.291103203,-0.274224708,OK
DCLG,Total,4610,4520,4200,3930,2950,2700,2640,2540,2500,2490,0,0,0,0,-1060,0,0,0,0,0,0,-90,-320,-270,80,-250,-60,-100,-40,-10,0,-0.019522777,-0.07079646,-0.064285714,0.020356234,-0.084745763,-0.022222222,-0.037878788,-0.015748031,-0.004,0.734210817,9,-0.033746238,-1060,-0.265789183,OK,Policy,Policy,0,-90,-410,-680,-600,-850,-910,-1010,-1050,-1060,0,-0.019522777,-0.088937093,-0.147505423,-0.130151844,-0.203867789,-0.221559616,-0.251045994,-0.262840546,-0.265789183,OK
DCMS,Total,570,580,570,610,570,570,570,580,650,510,0,0,0,0,0,0,0,0,0,0,0,10,-10,40,-40,0,0,10,70,-140,0,0.01754386,-0.017241379,0.070175439,-0.06557377,0,0,0.01754386,0.120689655,-0.215384615,0.894736842,9,-0.012282352,-60,-0.105263158,OK,Policy,Policy,0,10,0,40,0,0,0,10,80,-60,0,0.01754386,0,0.070175439,0,0,0,0.01754386,0.140350877,-0.105263158,OK
DECC,Total,1120,1130,1150,1170,1190,1230,1290,1320,1370,1390,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,40,60,30,50,20,0,0.008928571,0.017699115,0.017391304,0.017094017,0.033613445,0.048780488,0.023255814,0.037878788,0.01459854,1.241071429,9,0.02428748,270,0.241071429,OK,Policy,Policy,0,10,30,50,70,110,170,200,250,270,0,0.008928571,0.026785714,0.044642857,0.0625,0.098214286,0.151785714,0.178571429,0.223214286,0.241071429,OK
DEFRA,Total,9660,9480,9410,9210,8660,8520,8490,8350,8230,8210,0,0,0,0,0,0,0,0,0,0,0,-180,-70,-200,-550,-140,-30,-140,-120,-20,0,-0.01863354,-0.007383966,-0.021253985,-0.059717698,-0.016166282,-0.003521127,-0.016489988,-0.014371257,-0.002430134,0.84989648,9,-0.017908887,-1450,-0.15010352,OK,Policy,Policy,0,-180,-250,-450,-1000,-1140,-1170,-1310,-1430,-1450,0,-0.01863354,-0.025879917,-0.046583851,-0.103519669,-0.118012422,-0.121118012,-0.135610766,-0.148033126,-0.15010352,OK
DfE,Total,4470,4370,4280,4100,4080,4250,4260,5380,5210,5140,0,0,0,0,0,0,0,1120,0,0,0,-100,-90,-180,-20,170,10,0,-170,-70,0,-0.022371365,-0.020594966,-0.042056075,-0.004878049,0.041666667,0.002352941,0,-0.031598513,-0.013435701,0.910506225,9,-0.010363101,-450,-0.089493775,OK,Policy,Policy,0,-100,-190,-370,-390,-220,-210,-210,-380,-450,0,-0.022371365,-0.042505593,-0.082774049,-0.087248322,-0.049217002,-0.046979866,-0.046979866,-0.077093885,-0.089493775,OK
DfID,Total,1600,1580,1570,1560,1560,1620,1650,1690,1710,1730,0,0,0,0,0,0,0,0,0,0,0,-20,-10,-10,0,60,30,40,20,20,0,-0.0125,-0.006329114,-0.006369427,0,0.038461538,0.018518519,0.024242424,0.01183432,0.011695906,1.08125,9,0.008717532,130,0.08125,OK,Foreign facing,Foreign facing,0,-20,-30,-40,-40,20,50,90,110,130,0,-0.0125,-0.01875,-0.025,-0.025,0.0125,0.03125,0.05625,0.06875,0.08125,OK
DfT,Total,18400,18150,17670,17380,17170,17030,16920,16840,16770,16770,0,0,0,0,0,0,0,0,0,0,0,-250,-480,-290,-210,-140,-110,-80,-70,0,0,-0.013586957,-0.026446281,-0.016411998,-0.012082854,-0.008153757,-0.00645919,-0.004728132,-0.00415677,0,0.911413043,9,-0.010253635,-1630,-0.088586957,OK,Policy,Policy,0,-250,-730,-1020,-1230,-1370,-1480,-1560,-1630,-1630,0,-0.013586957,-0.039673913,-0.055434783,-0.066847826,-0.074456522,-0.080434783,-0.084782609,-0.088586957,-0.088586957,OK
DH,Total,5110,5090,5020,4850,4610,4540,4470,4450,4450,4420,0,0,0,0,0,0,0,0,0,0,0,-20,-70,-170,-240,-70,-70,-20,0,-30,0,-0.003913894,-0.013752456,-0.033864542,-0.049484536,-0.015184382,-0.015418502,-0.004474273,0,-0.006741573,0.864970646,9,-0.01598855,-690,-0.135029354,OK,Policy,Policy,0,-20,-90,-260,-500,-570,-640,-660,-660,-690,0,-0.003913894,-0.017612524,-0.050880626,-0.097847358,-0.111545988,-0.125244618,-0.129158513,-0.129158513,-0.135029354,OK
DWP,Total,115430,112320,109590,105700,102380,101100,99800,98210,98450,97290,0,0,0,0,0,0,0,0,0,0,0,-3110,-2730,-3890,-3320,-1280,-1300,-1590,240,-1160,0,-0.026942736,-0.024305556,-0.035495939,-0.03140965,-0.012502442,-0.012858556,-0.015931864,0.002443743,-0.011782631,0.84284848,9,-0.018817157,-18140,-0.15715152,OK,Delivery,Delivery,0,-3110,-5840,-9730,-13050,-14330,-15630,-17220,-16980,-18140,0,-0.026942736,-0.050593433,-0.084293511,-0.113055531,-0.124144503,-0.13540674,-0.149181322,-0.14710214,-0.15715152,OK
FCO,Total,11560,11400,11030,10910,10760,11060,11070,11680,10720,10900,0,0,0,0,0,0,0,0,0,0,0,-160,-370,-120,-150,300,10,610,-960,180,0,-0.01384083,-0.03245614,-0.01087942,-0.013748854,0.027881041,0.000904159,0.055103884,-0.082191781,0.016791045,0.942906574,9,-0.006510721,-660,-0.057093426,OK,Foreign facing,Foreign facing,0,-160,-530,-650,-800,-500,-490,120,-840,-660,0,-0.01384083,-0.045847751,-0.056228374,-0.069204152,-0.043252595,-0.042387543,0.010380623,-0.07266436,-0.057093426,OK
GEO,Total,110,110,110,0,0,0,0,0,0,0,0,0,0,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,,0,,,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
HMRC,Total,71320,70540,70610,71180,70570,70440,69940,69160,68170,67880,0,0,0,0,0,0,0,0,0,0,0,-780,70,570,-610,-130,-500,-780,-990,-290,0,-0.010936624,0.000992345,0.008072511,-0.008569823,-0.001842143,-0.00709824,-0.011152416,-0.014314633,-0.004254071,0.951766685,9,-0.005477759,-3440,-0.048233315,OK,Delivery,Delivery,0,-780,-710,-140,-750,-880,-1380,-2160,-3150,-3440,0,-0.010936624,-0.009955132,-0.001962984,-0.010515984,-0.012338755,-0.019349411,-0.030286035,-0.044167134,-0.048233315,OK
HMT,Total,5000,4870,4860,4700,4640,4560,4600,4520,4540,4490,0,0,0,0,0,0,0,-30,0,0,0,-130,-10,-160,-60,-80,40,-50,20,-50,0,-0.026,-0.002053388,-0.032921811,-0.012765957,-0.017241379,0.00877193,-0.010869565,0.004424779,-0.011013216,0.903960177,9,-0.011156189,-480,-0.096039823,OK,Centre,Centre,0,-130,-140,-300,-360,-440,-400,-450,-430,-480,0,-0.026,-0.028,-0.06,-0.072,-0.088,-0.08,-0.09,-0.085973451,-0.096039823,OK
HO,Total,29070,27910,27380,26310,25580,24850,24640,24520,24430,24630,0,0,0,150,0,0,0,0,0,40,0,-1160,-530,-1220,-730,-730,-210,-120,-90,160,0,-0.039903681,-0.018989609,-0.044558072,-0.027746104,-0.02853792,-0.008450704,-0.00487013,-0.003670473,0.006549325,0.841066603,9,-0.019047856,-4630,-0.158933397,OK,Delivery,Delivery,0,-1160,-1690,-2910,-3640,-4370,-4580,-4700,-4790,-4630,0,-0.039903681,-0.058135535,-0.100103199,-0.12507183,-0.15004046,-0.157223217,-0.161327649,-0.164405973,-0.158933397,OK
MoD,Total,73590,73130,72080,70680,68000,64590,61330,59640,58760,57350,0,0,0,0,-1760,0,0,0,0,0,0,-460,-1050,-1400,-920,-3410,-3260,-1690,-880,-1410,0,-0.006250849,-0.014357993,-0.019422863,-0.013016412,-0.050147059,-0.050472209,-0.027555845,-0.014755198,-0.023995916,0.799488422,9,-0.02455822,-14480,-0.200511578,OK,Delivery,Delivery,0,-460,-1510,-2910,-3830,-7240,-10500,-12190,-13070,-14480,0,-0.006250849,-0.020519092,-0.039543416,-0.052045115,-0.099582264,-0.145028337,-0.168587804,-0.180855455,-0.200511578,OK
MoJ,Total,79230,78790,78210,76050,70720,68610,67350,66150,65070,64460,0,0,0,0,-4470,0,0,0,0,0,0,-440,-580,-2160,-860,-2110,-1260,-1200,-1080,-610,0,-0.005553452,-0.00736134,-0.027617952,-0.01130835,-0.029835973,-0.01836467,-0.017817372,-0.016326531,-0.00937452,0.865004722,9,-0.015984242,-10300,-0.134995278,OK,Delivery,Delivery,0,-440,-1020,-3180,-4040,-6150,-7410,-8610,-9690,-10300,0,-0.005553452,-0.012873911,-0.040136312,-0.050990786,-0.079305399,-0.096213652,-0.112316749,-0.126809537,-0.134995278,OK
NIO,Total,110,110,100,50,50,50,60,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,-10,-50,0,0,10,30,0,0,0,0,-0.090909091,-0.5,0,0,0.2,0.5,0,0,0.818181818,9,-0.022050009,-20,-0.181818182,OK,Other,Other,0,0,-10,-60,-60,-60,-50,-20,-20,-20,0,0,-0.090909091,-0.545454545,-0.545454545,-0.545454545,-0.454545455,-0.181818182,-0.181818182,-0.181818182,OK
Scot Gov,Total,16750,16620,16370,16190,16080,15800,15720,15770,15690,15660,0,0,0,0,0,0,0,0,0,0,0,-130,-250,-180,-110,-280,-80,50,-80,-30,0,-0.007761194,-0.015042118,-0.010995724,-0.006794317,-0.017412935,-0.005063291,0.003180662,-0.005072923,-0.001912046,0.934925373,9,-0.007448628,-1090,-0.065074627,OK,Other,Devolved,0,-130,-380,-560,-670,-950,-1030,-980,-1060,-1090,0,-0.007761194,-0.022686567,-0.033432836,-0.04,-0.056716418,-0.061492537,-0.058507463,-0.063283582,-0.065074627,OK
Welsh Gov,Total,5610,5550,5450,5300,5110,5100,5170,5230,5310,5310,0,0,0,0,0,0,0,0,0,0,0,-60,-100,-150,-190,-10,70,60,80,0,0,-0.010695187,-0.018018018,-0.027522936,-0.035849057,-0.001956947,0.01372549,0.011605416,0.015296367,0,0.946524064,9,-0.006087936,-300,-0.053475936,OK,Other,Devolved,0,-60,-160,-310,-500,-510,-440,-380,-300,-300,0,-0.010695187,-0.028520499,-0.055258467,-0.08912656,-0.090909091,-0.078431373,-0.067736185,-0.053475936,-0.053475936,OK
Total,Core Whitehall Depts.,31790,32230,31610,30160,29440,29520,29590,30570,29580,29760,0,1269,0,90,0,0,0,298,100,25,0,-829,-620,-1540,-720,80,70,682,-1090,155,0,-0.026077383,-0.019236736,-0.04871876,-0.023872679,0.002717391,0.002371274,0.023048327,-0.035655872,0.005240027,0.884115827,9,-0.013592027,-3812,-0.115884173,OK,N/A,N/A,0,-829,-1449,-2989,-3709,-3629,-3559,-2877,-3967,-3812,0,-0.026077383,-0.044812475,-0.091348027,-0.113039984,-0.110629766,-0.108520826,-0.087973722,-0.120492814,-0.115884173,OK
Total,Non-Whitehall Civil Service,446350,437750,431610,422190,414360,405800,398720,393650,390460,386960,0,-1269,0,-90,0,0,0,852,-100,15,0,-7331,-6140,-9330,-7830,-8560,-7080,-5922,-3090,-3515,0,-0.016424331,-0.014026271,-0.021616737,-0.018546152,-0.020658365,-0.017447018,-0.014852528,-0.007849613,-0.009002203,0.867947899,9,-0.015612791,-58798,-0.132052101,OK,N/A,N/A,0,-7331,-13471,-22801,-30631,-39191,-46271,-52193,-55283,-58798,0,-0.016424331,-0.030220229,-0.051183704,-0.068780595,-0.088018065,-0.103929431,-0.117238344,-0.124167681,-0.132052101,OK
Total,Total,478140,469980,463220,452350,443800,435320,428310,424220,420040,416720,0,0,0,0,0,0,0,1150,0,40,0,-8160,-6760,-10870,-8550,-8480,-7010,-5240,-4180,-3360,0,-0.017066131,-0.014383591,-0.023466172,-0.018901293,-0.019107706,-0.016103097,-0.012234129,-0.009853378,-0.007999238,0.869097837,9,-0.015467965,-62610,-0.130902163,OK,N/A,N/A,0,-8160,-14920,-25790,-34340,-42820,-49830,-55070,-59250,-62610,0,-0.017066131,-0.03120425,-0.053938177,-0.071819969,-0.08955536,-0.104216338,-0.115175472,-0.123893982,-0.130902163,OK
Total excl. WH FCO,Core Whitehall Depts.,25890,26460,25950,24600,23990,23750,23810,24150,24130,24160,0,1269,0,90,0,0,0,298,100,25,0,-699,-510,-1440,-610,-240,60,42,-120,5,0,-0.026998841,-0.019274376,-0.055491329,-0.024796748,-0.010004168,0.002526316,0.001763965,-0.004968944,0.000207211,0.869727374,9,-0.015388751,-3512,-0.130272626,OK,N/A,N/A,0,-699,-1209,-2649,-3259,-3499,-3439,-3397,-3517,-3512,0,-0.026998841,-0.045752832,-0.098705276,-0.121054454,-0.129847573,-0.127649293,-0.126110498,-0.130452806,-0.130272626,OK
Total excl. WH FCO,Non-Whitehall Civil Service,446350,437750,431610,422190,414360,405800,398720,393650,390460,386960,0,-1269,0,-90,0,0,0,852,-100,15,0,-7331,-6140,-9330,-7830,-8560,-7080,-5922,-3090,-3515,0,-0.016424331,-0.014026271,-0.021616737,-0.018546152,-0.020658365,-0.017447018,-0.014852528,-0.007849613,-0.009002203,0.867947899,9,-0.015612791,-58798,-0.132052101,OK,N/A,N/A,0,-7331,-13471,-22801,-30631,-39191,-46271,-52193,-55283,-58798,0,-0.016424331,-0.030220229,-0.051183704,-0.068780595,-0.088018065,-0.103929431,-0.117238344,-0.124167681,-0.132052101,OK
Total excl. WH FCO,Total,472240,464210,457560,446790,438350,429550,422530,417800,414590,411120,0,0,0,0,0,0,0,1150,0,40,0,-8030,-6650,-10770,-8440,-8800,-7020,-5880,-3210,-3510,0,-0.017004066,-0.014325413,-0.023537897,-0.018890306,-0.020075282,-0.016342684,-0.013916172,-0.007683102,-0.008466196,0.868093548,9,-0.015594438,-62310,-0.131906452,OK,N/A,N/A,0,-8030,-14680,-25450,-33890,-42690,-49710,-55590,-58800,-62310,0,-0.017004066,-0.031085889,-0.053892089,-0.071764357,-0.09039895,-0.105264272,-0.117715568,-0.12449425,-0.131906452,OK
