#,Columns that need attention when updating,"Raw ONS figures as collated, summed by department and Whitehall/non-Whitehall",,,,,,,,,,,,Reclassifications in each period,,,,,,,,,,,,"Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,"% Change in each period, accounting for reclassifications in each period",,,,,,,,,,,, Calculated rates ,,,,,,"Cumulative change to each period, accounting for reclassifications",,,,,,,,,,,,"Cumulative % change to each period, accounting for reclassifications",,,,,,,,,,,,,Latest and previous period figures. Relies on information entered on SETUP sheet being correct and up to date.,,,,,,,,,
#,,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK: Latest quarter: 2013 Q2,,,,CHECK: Previous quarter: 2013 Q1,,,,,
Dept,Whitehall?,ONS 2010 Q3 FTE,ONS 2010 Q4 FTE,ONS 2011 Q1 FTE,ONS 2011 Q2 FTE,ONS 2011 Q3 FTE,ONS 2011 Q4 FTE,ONS 2012 Q1 FTE,ONS 2012 Q2 FTE,ONS 2012 Q3 FTE,ONS 2012 Q4 FTE,ONS 2013 Q1 FTE,ONS 2013 Q2 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Reclass 2013 Q1,Reclass 2013 Q2,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,Change 2013 Q1 FTE,Change 2013 Q2 FTE,% Change 2010 Q3 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,% Change 2013 Q1 FTE,% Change 2013 Q2 FTE, Product , Number of periods ,Change Rate,Cumulative net change,Cumulative % change, Check total change , Cumulative net change to 2010 Q3 , Cumulative net change to 2010 Q4 , Cumulative net change to 2011 Q1 , Cumulative net change to 2011 Q2 , Cumulative net change to 2011 Q3 , Cumulative net change to 2011 Q4 , Cumulative net change to 2012 Q1 , Cumulative net change to 2012 Q2 , Cumulative net change to 2012 Q3 , Cumulative net change to 2012 Q4 , Cumulative net change to 2013 Q1 , Cumulative net change to 2013 Q2 , Cumulative % net change to 2010 Q3 , Cumulative % net change to 2010 Q4 , Cumulative % net change to 2011 Q1 , Cumulative % net change to 2011 Q2 , Cumulative % net change to 2011 Q3 , Cumulative % net change to 2011 Q4 , Cumulative % net change to 2012 Q1 , Cumulative % net change to 2012 Q2 , Cumulative % net change to 2012 Q3 , Cumulative % net change to 2012 Q4 , Cumulative % net change to 2013 Q1 , Cumulative % net change to 2013 Q2 , Check cumulative change , Cumulative % net change to Previous Quarter , Cumulative % net change to Latest Quarter , Cumulative net change to Previous Quarter , Cumulative net change to Latest Quarter , Net change in Previous Quarter , Net change in Latest Quarter , % net change in Previous Quarter , % net change in Latest Quarter , ONS total in previous quarter , ONS total in latest quarter 
FCO,Whitehall,5900,5770,5660,5560,5450,5770,5780,6420,4620,4760,4770,4740,0,0,0,0,0,0,0,0,0,0,0,0,0,-130,-110,-100,-110,320,10,640,-1800,140,10,-30,0,-2.2%,-1.9%,-1.8%,-2.0%,5.9%,0.2%,11.1%,-28.0%,3.0%,0.2%,-0.6%,80.3%,11,-1.97%,-1160,-19.66%, OK ,0,-130,-240,-340,-450,-130,-120,520,-1280,-1140,-1130,-1160,0,-2%,-4%,-6%,-8%,-2%,-2%,9%,-22%,-19%,-19%,-20%,OK,-19%,-20%,-1130,-1160,10,-30,0.2%,-0.6%,4770,4740
GEO,Whitehall,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,,,,,,,,,,11,,0,,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,,,,,,,,,,,,0,0,0,0,,,0,0
HMRC,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11,,0,,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0
HMT,Whitehall,1360,1300,1240,1150,1130,1110,1180,1140,1140,1130,1130,1100,0,0,0,0,0,0,0,-30,0,0,0,0,0,-60,-60,-90,-20,-20,70,-10,0,-10,0,-30,0,-4.4%,-4.6%,-7.3%,-1.7%,-1.8%,6.3%,-0.8%,0.0%,-0.9%,0.0%,-2.7%,83.0%,11,-1.68%,-230,-16.99%, OK ,0,-60,-120,-210,-230,-250,-180,-190,-190,-200,-200,-230,0,-4%,-9%,-15%,-17%,-18%,-13%,-14%,-14%,-15%,-15%,-17%,OK,-15%,-17%,-200,-230,0,-30,0.0%,-2.7%,1130,1100
HO,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11,,0,,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0
MoD,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11,,0,,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0
MoJ,Whitehall,3300,4470,4510,4300,4250,4160,4060,4260,4290,4340,4310,4340,0,1269,0,0,0,0,0,200,100,25,0,0,0,-99,40,-210,-50,-90,-100,0,-70,25,-30,30,0,-3.0%,0.9%,-4.7%,-1.2%,-2.1%,-2.4%,0.0%,-1.6%,0.6%,-0.7%,0.7%,87.2%,11,-1.24%,-554,-12.84%, OK ,0,-99,-59,-269,-319,-409,-509,-509,-579,-554,-584,-554,0,-3%,-2%,-7%,-8%,-10%,-12%,-12%,-13%,-13%,-13%,-13%,OK,-13%,-13%,-584,-554,-30,30,-0.7%,0.7%,4310,4340
NIO,Whitehall,110,110,100,50,50,50,60,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-50,0,0,10,30,0,0,0,0,0,0.0%,-9.1%,-50.0%,0.0%,0.0%,20.0%,50.0%,0.0%,0.0%,0.0%,0.0%,81.8%,11,-1.81%,-20,-18.18%, OK ,0,0,-10,-60,-60,-60,-50,-20,-20,-20,-20,-20,0,0%,-9%,-55%,-55%,-55%,-45%,-18%,-18%,-18%,-18%,-18%,OK,-18%,-18%,-20,-20,0,0,0.0%,0.0%,90,90
Scot Gov,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11,,0,,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0
Welsh Gov,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11,,0,,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0
