"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","totalgroup","yvar"
"1","BIS",2008,"SCS","Female",80,250,0.32,"BISSCS",0.476190476190476,FALSE,0.32
"2","BIS",2008,"All grades","Female",1990,4260,0.467136150234742,"BISAll grades",0.476190476190476,FALSE,0.467136150234742
"3","BIS",2009,"SCS","Female",100,250,0.4,"BISSCS",0.476190476190476,FALSE,0.4
"4","BIS",2009,"All grades","Female",1890,3960,0.477272727272727,"BISAll grades",0.476190476190476,FALSE,0.477272727272727
"5","BIS",2010,"SCS","Female",100,260,0.384615384615385,"BISSCS",0.476190476190476,FALSE,0.384615384615385
"6","BIS",2010,"All grades","Female",1920,4010,0.478802992518703,"BISAll grades",0.476190476190476,FALSE,0.478802992518703
"7","BIS",2011,"SCS","Female",90,220,0.409090909090909,"BISSCS",0.476190476190476,FALSE,0.409090909090909
"8","BIS",2011,"All grades","Female",1670,3470,0.481268011527378,"BISAll grades",0.476190476190476,FALSE,0.481268011527378
"9","BIS",2012,"SCS","Female",80,200,0.4,"BISSCS",0.476190476190476,FALSE,0.4
"10","BIS",2012,"All grades","Female",1400,2940,0.476190476190476,"BISAll grades",0.476190476190476,FALSE,0.476190476190476
"11","CO",2008,"SCS","Female",80,190,0.421052631578947,"COSCS",0.497109826589595,FALSE,0.421052631578947
"12","CO",2008,"All grades","Female",680,1310,0.519083969465649,"COAll grades",0.497109826589595,FALSE,0.519083969465649
"13","CO",2009,"SCS","Female",80,190,0.421052631578947,"COSCS",0.497109826589595,FALSE,0.421052631578947
"14","CO",2009,"All grades","Female",710,1340,0.529850746268657,"COAll grades",0.497109826589595,FALSE,0.529850746268657
"15","CO",2010,"SCS","Female",90,200,0.45,"COSCS",0.497109826589595,FALSE,0.45
"16","CO",2010,"All grades","Female",720,1340,0.537313432835821,"COAll grades",0.497109826589595,FALSE,0.537313432835821
"17","CO",2011,"SCS","Female",100,210,0.476190476190476,"COSCS",0.497109826589595,FALSE,0.476190476190476
"18","CO",2011,"All grades","Female",850,1610,0.527950310559006,"COAll grades",0.497109826589595,FALSE,0.527950310559006
"19","CO",2012,"SCS","Female",90,220,0.409090909090909,"COSCS",0.497109826589595,FALSE,0.409090909090909
"20","CO",2012,"All grades","Female",860,1730,0.497109826589595,"COAll grades",0.497109826589595,FALSE,0.497109826589595
"21","DCLG",2008,"SCS","Female",80,180,0.444444444444444,"DCLGSCS",0.51063829787234,FALSE,0.444444444444444
"22","DCLG",2008,"All grades","Female",1500,2990,0.501672240802676,"DCLGAll grades",0.51063829787234,FALSE,0.501672240802676
"23","DCLG",2009,"SCS","Female",50,130,0.384615384615385,"DCLGSCS",0.51063829787234,FALSE,0.384615384615385
"24","DCLG",2009,"All grades","Female",1270,2520,0.503968253968254,"DCLGAll grades",0.51063829787234,FALSE,0.503968253968254
