"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"114","Defra",2011,"SCS","Male",90,140,0.642857142857143,"DefraSCS",0.502304147465438,0,FALSE,0.642857142857143
"115","Defra",2011,"All grades","Male",1300,2620,0.49618320610687,"DefraAll grades",0.502304147465438,0,FALSE,0.49618320610687
"117","Defra",2012,"SCS","Male",70,100,0.7,"DefraSCS",0.502304147465438,0,FALSE,0.7
"120","Defra",2012,"All grades","Male",1080,2170,0.497695852534562,"DefraAll grades",0.502304147465438,0,FALSE,0.497695852534562
"121","DfE",2008,"SCS","Male",80,150,0.533333333333333,"DfESCS",0.594982078853047,0,FALSE,0.533333333333333
"123","DfE",2008,"All grades","Male",1410,3350,0.42089552238806,"DfEAll grades",0.594982078853047,0,FALSE,0.42089552238806
"125","DfE",2009,"SCS","Male",70,160,0.4375,"DfESCS",0.594982078853047,0,FALSE,0.4375
"128","DfE",2009,"All grades","Male",1380,3380,0.408284023668639,"DfEAll grades",0.594982078853047,0,FALSE,0.408284023668639
"129","DfE",2010,"SCS","Male",60,140,0.428571428571429,"DfESCS",0.594982078853047,0,FALSE,0.428571428571429
"131","DfE",2010,"All grades","Male",1230,3100,0.396774193548387,"DfEAll grades",0.594982078853047,0,FALSE,0.396774193548387
"134","DfE",2011,"SCS","Male",60,140,0.428571428571429,"DfESCS",0.594982078853047,0,FALSE,0.428571428571429
"135","DfE",2011,"All grades","Male",1130,2790,0.405017921146953,"DfEAll grades",0.594982078853047,0,FALSE,0.405017921146953
"137","DfE",2012,"SCS","Male",60,130,0.461538461538462,"DfESCS",0.594982078853047,0,FALSE,0.461538461538462
"140","DfE",2012,"All grades","Male",1130,2790,0.405017921146953,"DfEAll grades",0.594982078853047,0,FALSE,0.405017921146953
"141","DfID",2008,"SCS","Male",60,100,0.6,"DfIDSCS",0.514619883040936,0,FALSE,0.6
"143","DfID",2008,"All grades","Male",830,1670,0.497005988023952,"DfIDAll grades",0.514619883040936,0,FALSE,0.497005988023952
