"","Group","Date","Wage.band","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","yvar"
"1","BIS",2012,"< 20",1,"Male",40,2950,0.0135593220338983,"BISMale",0.0372881355932203,0.0372881355932203,0.506779661016949,0.506779661016949,0.0135593220338983
"2","BIS",2012,"< 20",1,"Female",-70,2950,-0.023728813559322,"BISFemale",0.0372881355932203,0.0372881355932203,0.506779661016949,0.506779661016949,-0.023728813559322
"3","BIS",2012,"30-40",3,"Female",-290,2950,-0.0983050847457627,"BISFemale",0.240677966101695,0.722033898305085,0.506779661016949,0.506779661016949,-0.0983050847457627
"4","BIS",2012,"60-70",6,"Male",130,2950,0.0440677966101695,"BISMale",0.0983050847457627,0.589830508474576,0.506779661016949,0.506779661016949,0.0440677966101695
"5","BIS",2012,"60-70",6,"Male",20,2950,0.00677966101694915,"BISMale",0.0983050847457627,0.589830508474576,0.506779661016949,0.506779661016949,0.00677966101694915
"6","BIS",2012,"60-70",6,"Female",-110,2950,-0.0372881355932203,"BISFemale",0.0983050847457627,0.589830508474576,0.506779661016949,0.506779661016949,-0.0372881355932203
"7","BIS",2012,"60-70",6,"Female",-30,2950,-0.0101694915254237,"BISFemale",0.0983050847457627,0.589830508474576,0.506779661016949,0.506779661016949,-0.0101694915254237
"8","BIS",2012,"50-60",5,"Female",-180,2950,-0.0610169491525424,"BISFemale",0.142372881355932,0.711864406779661,0.506779661016949,0.506779661016949,-0.0610169491525424
"9","BIS",2012,"50-60",5,"Male",240,2950,0.0813559322033898,"BISMale",0.142372881355932,0.711864406779661,0.506779661016949,0.506779661016949,0.0813559322033898
"10","BIS",2012,"> 80",7,"Female",-20,2950,-0.00677966101694915,"BISFemale",0.0271186440677966,0.189830508474576,0.506779661016949,0.506779661016949,-0.00677966101694915
"11","BIS",2012,"40-50",4,"Female",-210,2950,-0.0711864406779661,"BISFemale",0.15593220338983,0.623728813559322,0.506779661016949,0.506779661016949,-0.0711864406779661
"12","BIS",2012,"40-50",4,"Male",250,2950,0.0847457627118644,"BISMale",0.15593220338983,0.623728813559322,0.506779661016949,0.506779661016949,0.0847457627118644
"13","BIS",2012,"20-30",2,"Female",-490,2950,-0.166101694915254,"BISFemale",0.294915254237288,0.589830508474576,0.506779661016949,0.506779661016949,-0.166101694915254
"14","BIS",2012,"30-40",3,"Male",420,2950,0.142372881355932,"BISMale",0.240677966101695,0.722033898305085,0.506779661016949,0.506779661016949,0.142372881355932
"15","BIS",2012,"20-30",2,"Male",380,2950,0.128813559322034,"BISMale",0.294915254237288,0.589830508474576,0.506779661016949,0.506779661016949,0.128813559322034
"16","BIS",2012,"> 80",7,"Male",60,2950,0.0203389830508475,"BISMale",0.0271186440677966,0.189830508474576,0.506779661016949,0.506779661016949,0.0203389830508475
"17","CO",2012,"50-60",5,"Male",140,1730,0.0809248554913295,"COMale",0.138728323699422,0.69364161849711,0.509393063583815,0.509393063583815,0.0809248554913295
"18","CO",2012,"40-50",4,"Male",140,1730,0.0809248554913295,"COMale",0.173410404624277,0.69364161849711,0.509393063583815,0.509393063583815,0.0809248554913295
"19","CO",2012,"40-50",4,"Female",-160,1730,-0.092485549132948,"COFemale",0.173410404624277,0.69364161849711,0.509393063583815,0.509393063583815,-0.092485549132948
"20","CO",2012,"30-40",3,"Male",150,1730,0.0867052023121387,"COMale",0.190751445086705,0.572254335260116,0.509393063583815,0.509393063583815,0.0867052023121387
"21","CO",2012,"30-40",3,"Female",-180,1730,-0.104046242774566,"COFemale",0.190751445086705,0.572254335260116,0.509393063583815,0.509393063583815,-0.104046242774566
"22","CO",2012,"< 20",1,"Male",20,1730,0.0115606936416185,"COMale",0.023121387283237,0.023121387283237,0.509393063583815,0.509393063583815,0.0115606936416185
"23","CO",2012,"20-30",2,"Male",250,1730,0.144508670520231,"COMale",0.323699421965318,0.647398843930636,0.509393063583815,0.509393063583815,0.144508670520231
"24","CO",2012,"20-30",2,"Female",-310,1730,-0.179190751445087,"COFemale",0.323699421965318,0.647398843930636,0.509393063583815,0.509393063583815,-0.179190751445087
"25","CO",2012,"50-60",5,"Female",-100,1730,-0.0578034682080925,"COFemale",0.138728323699422,0.69364161849711,0.509393063583815,0.509393063583815,-0.0578034682080925
"26","CO",2012,"> 80",7,"Female",-40,1730,-0.023121387283237,"COFemale",0.0578034682080925,0.404624277456647,0.509393063583815,0.509393063583815,-0.023121387283237
"27","CO",2012,"> 80",7,"Male",60,1730,0.0346820809248555,"COMale",0.0578034682080925,0.404624277456647,0.509393063583815,0.509393063583815,0.0346820809248555
"28","CO",2012,"60-70",6,"Male",60,1730,0.0346820809248555,"COMale",0.0867052023121387,0.520231213872832,0.509393063583815,0.509393063583815,0.0346820809248555
"29","CO",2012,"60-70",6,"Male",30,1730,0.0173410404624277,"COMale",0.0867052023121387,0.520231213872832,0.509393063583815,0.509393063583815,0.0173410404624277
"30","CO",2012,"< 20",1,"Female",-20,1730,-0.0115606936416185,"COFemale",0.023121387283237,0.023121387283237,0.509393063583815,0.509393063583815,-0.0115606936416185
"31","CO",2012,"60-70",6,"Female",-20,1730,-0.0115606936416185,"COFemale",0.0867052023121387,0.520231213872832,0.509393063583815,0.509393063583815,-0.0115606936416185
"32","CO",2012,"60-70",6,"Female",-40,1730,-0.023121387283237,"COFemale",0.0867052023121387,0.520231213872832,0.509393063583815,0.509393063583815,-0.023121387283237
