"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"106","Defra",2009,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.530905077262693,1,FALSE,0.277777777777778
"107","Defra",2009,"All grades","Female",5840,11080,0.527075812274368,"DefraAll grades",0.530905077262693,1,FALSE,0.527075812274368
"110","Defra",2010,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.530905077262693,1,FALSE,0.277777777777778
"112","Defra",2010,"All grades","Female",5860,10980,0.533697632058288,"DefraAll grades",0.530905077262693,1,FALSE,0.533697632058288
"113","Defra",2011,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.530905077262693,1,FALSE,0.277777777777778
"116","Defra",2011,"All grades","Female",5330,9980,0.534068136272545,"DefraAll grades",0.530905077262693,1,FALSE,0.534068136272545
"118","Defra",2012,"SCS","Female",30,140,0.214285714285714,"DefraSCS",0.530905077262693,1,FALSE,0.214285714285714
"119","Defra",2012,"All grades","Female",4810,9060,0.530905077262693,"DefraAll grades",0.530905077262693,1,FALSE,0.530905077262693
"122","DfE",2008,"SCS","Female",90,180,0.5,"DfESCS",0.597802197802198,1,FALSE,0.5
"124","DfE",2008,"All grades","Female",3790,5920,0.640202702702703,"DfEAll grades",0.597802197802198,1,FALSE,0.640202702702703
"126","DfE",2009,"SCS","Female",110,190,0.578947368421053,"DfESCS",0.597802197802198,1,FALSE,0.578947368421053
"127","DfE",2009,"All grades","Female",3670,5740,0.639372822299652,"DfEAll grades",0.597802197802198,1,FALSE,0.639372822299652
"130","DfE",2010,"SCS","Female",100,180,0.555555555555556,"DfESCS",0.597802197802198,1,FALSE,0.555555555555556
"132","DfE",2010,"All grades","Female",3380,5250,0.643809523809524,"DfEAll grades",0.597802197802198,1,FALSE,0.643809523809524
"133","DfE",2011,"SCS","Female",100,180,0.555555555555556,"DfESCS",0.597802197802198,1,FALSE,0.555555555555556
"136","DfE",2011,"All grades","Female",2750,4600,0.597826086956522,"DfEAll grades",0.597802197802198,1,FALSE,0.597826086956522
"138","DfE",2012,"SCS","Female",80,160,0.5,"DfESCS",0.597802197802198,1,FALSE,0.5
"139","DfE",2012,"All grades","Female",2720,4550,0.597802197802198,"DfEAll grades",0.597802197802198,1,FALSE,0.597802197802198
"142","DfID",2008,"SCS","Female",40,100,0.4,"DfIDSCS",0.514619883040936,1,FALSE,0.4
"144","DfID",2008,"All grades","Female",840,1670,0.502994011976048,"DfIDAll grades",0.514619883040936,1,FALSE,0.502994011976048
"146","DfID",2009,"SCS","Female",30,100,0.3,"DfIDSCS",0.514619883040936,1,FALSE,0.3
"147","DfID",2009,"All grades","Female",830,1660,0.5,"DfIDAll grades",0.514619883040936,1,FALSE,0.5
"150","DfID",2010,"SCS","Female",30,90,0.333333333333333,"DfIDSCS",0.514619883040936,1,FALSE,0.333333333333333
"152","DfID",2010,"All grades","Female",820,1630,0.503067484662577,"DfIDAll grades",0.514619883040936,1,FALSE,0.503067484662577
"153","DfID",2011,"SCS","Female",30,80,0.375,"DfIDSCS",0.514619883040936,1,FALSE,0.375
"156","DfID",2011,"All grades","Female",830,1610,0.515527950310559,"DfIDAll grades",0.514619883040936,1,FALSE,0.515527950310559
"158","DfID",2012,"SCS","Female",30,80,0.375,"DfIDSCS",0.514619883040936,1,FALSE,0.375
"159","DfID",2012,"All grades","Female",880,1710,0.514619883040936,"DfIDAll grades",0.514619883040936,1,FALSE,0.514619883040936
"162","DfT",2008,"SCS","Female",60,210,0.285714285714286,"DfTSCS",0.418851087562744,1,FALSE,0.285714285714286
"164","DfT",2008,"All grades","Female",8140,19440,0.418724279835391,"DfTAll grades",0.418851087562744,1,FALSE,0.418724279835391
"166","DfT",2009,"SCS","Female",50,190,0.263157894736842,"DfTSCS",0.418851087562744,1,FALSE,0.263157894736842
"167","DfT",2009,"All grades","Female",8130,19540,0.416069600818833,"DfTAll grades",0.418851087562744,1,FALSE,0.416069600818833
"170","DfT",2010,"SCS","Female",50,210,0.238095238095238,"DfTSCS",0.418851087562744,1,FALSE,0.238095238095238
"172","DfT",2010,"All grades","Female",8170,19610,0.416624171341152,"DfTAll grades",0.418851087562744,1,FALSE,0.416624171341152
"173","DfT",2011,"SCS","Female",40,180,0.222222222222222,"DfTSCS",0.418851087562744,1,FALSE,0.222222222222222
"176","DfT",2011,"All grades","Female",7740,18610,0.415905427189683,"DfTAll grades",0.418851087562744,1,FALSE,0.415905427189683
"178","DfT",2012,"SCS","Female",60,200,0.3,"DfTSCS",0.418851087562744,1,FALSE,0.3
"179","DfT",2012,"All grades","Female",7510,17930,0.418851087562744,"DfTAll grades",0.418851087562744,1,FALSE,0.418851087562744
"182","DH",2008,"SCS","Female",160,400,0.4,"DHSCS",0.489082969432314,1,FALSE,0.4
