"","Group","Gender","Date","Civil.Service.grad","count","total","share","grp","sorter","totalgroup","yvar"
"1","BIS","Female",2008,"SCS",80,250,0.32,"BISSenior Civil Service",0.409090909090909,FALSE,0.32
"2","BIS","Female",2008,"All grades",1990,4260,0.467136150234742,"BISTotal",0.409090909090909,FALSE,0.467136150234742
"3","BIS","Female",2009,"SCS",100,250,0.4,"BISSenior Civil Service",0.409090909090909,FALSE,0.4
"4","BIS","Female",2009,"All grades",1890,3960,0.477272727272727,"BISTotal",0.409090909090909,FALSE,0.477272727272727
"5","BIS","Female",2010,"SCS",100,260,0.384615384615385,"BISSenior Civil Service",0.409090909090909,FALSE,0.384615384615385
"6","BIS","Female",2010,"All grades",1920,4010,0.478802992518703,"BISTotal",0.409090909090909,FALSE,0.478802992518703
"7","BIS","Female",2011,"SCS",90,220,0.409090909090909,"BISSenior Civil Service",0.409090909090909,FALSE,0.409090909090909
"8","BIS","Female",2011,"All grades",1670,3470,0.481268011527378,"BISTotal",0.409090909090909,FALSE,0.481268011527378
"9","BIS","Female",2012,"SCS",80,200,0.4,"BISSenior Civil Service",0.409090909090909,FALSE,0.4
"10","BIS","Female",2012,"All grades",1400,2940,0.476190476190476,"BISTotal",0.409090909090909,FALSE,0.476190476190476
"11","BIS","Female",2013,"SCS",90,220,0.409090909090909,"BISSenior Civil Service",0.409090909090909,FALSE,0.409090909090909
"12","BIS","Female",2013,"All grades",1510,3150,0.479365079365079,"BISTotal",0.409090909090909,FALSE,0.479365079365079
"13","CO","Female",2008,"SCS",80,190,0.421052631578947,"COSenior Civil Service",0.391304347826087,FALSE,0.421052631578947
"14","CO","Female",2008,"All grades",680,1310,0.519083969465649,"COTotal",0.391304347826087,FALSE,0.519083969465649
"15","CO","Female",2009,"SCS",80,190,0.421052631578947,"COSenior Civil Service",0.391304347826087,FALSE,0.421052631578947
"16","CO","Female",2009,"All grades",710,1340,0.529850746268657,"COTotal",0.391304347826087,FALSE,0.529850746268657
"17","CO","Female",2010,"SCS",90,200,0.45,"COSenior Civil Service",0.391304347826087,FALSE,0.45
"18","CO","Female",2010,"All grades",720,1340,0.537313432835821,"COTotal",0.391304347826087,FALSE,0.537313432835821
"19","CO","Female",2011,"SCS",100,210,0.476190476190476,"COSenior Civil Service",0.391304347826087,FALSE,0.476190476190476
"20","CO","Female",2011,"All grades",850,1610,0.527950310559006,"COTotal",0.391304347826087,FALSE,0.527950310559006
"21","CO","Female",2012,"SCS",90,220,0.409090909090909,"COSenior Civil Service",0.391304347826087,FALSE,0.409090909090909
"22","CO","Female",2012,"All grades",860,1730,0.497109826589595,"COTotal",0.391304347826087,FALSE,0.497109826589595
"23","CO","Female",2013,"SCS",90,230,0.391304347826087,"COSenior Civil Service",0.391304347826087,FALSE,0.391304347826087
"24","CO","Female",2013,"All grades",960,1950,0.492307692307692,"COTotal",0.391304347826087,FALSE,0.492307692307692
"25","DCLG","Female",2008,"SCS",80,180,0.444444444444444,"DCLGSenior Civil Service",0.444444444444444,FALSE,0.444444444444444
"26","DCLG","Female",2008,"All grades",1500,2990,0.501672240802676,"DCLGTotal",0.444444444444444,FALSE,0.501672240802676
"27","DCLG","Female",2009,"SCS",50,130,0.384615384615385,"DCLGSenior Civil Service",0.444444444444444,FALSE,0.384615384615385
"28","DCLG","Female",2009,"All grades",1270,2520,0.503968253968254,"DCLGTotal",0.444444444444444,FALSE,0.503968253968254
"29","DCLG","Female",2010,"SCS",50,130,0.384615384615385,"DCLGSenior Civil Service",0.444444444444444,FALSE,0.384615384615385
"30","DCLG","Female",2010,"All grades",1320,2640,0.5,"DCLGTotal",0.444444444444444,FALSE,0.5
"31","DCLG","Female",2011,"SCS",50,120,0.416666666666667,"DCLGSenior Civil Service",0.444444444444444,FALSE,0.416666666666667
"32","DCLG","Female",2011,"All grades",1190,2330,0.510729613733906,"DCLGTotal",0.444444444444444,FALSE,0.510729613733906
"33","DCLG","Female",2012,"SCS",40,90,0.444444444444444,"DCLGSenior Civil Service",0.444444444444444,FALSE,0.444444444444444
"34","DCLG","Female",2012,"All grades",960,1880,0.51063829787234,"DCLGTotal",0.444444444444444,FALSE,0.51063829787234
"35","DCLG","Female",2013,"SCS",40,90,0.444444444444444,"DCLGSenior Civil Service",0.444444444444444,FALSE,0.444444444444444
"36","DCLG","Female",2013,"All grades",880,1730,0.508670520231214,"DCLGTotal",0.444444444444444,FALSE,0.508670520231214
"37","DCMS","Female",2008,"SCS",10,30,0.333333333333333,"DCMSSenior Civil Service",0.5,FALSE,0.333333333333333
"38","DCMS","Female",2008,"All grades",220,480,0.458333333333333,"DCMSTotal",0.5,FALSE,0.458333333333333
"39","DCMS","Female",2009,"SCS",20,60,0.333333333333333,"DCMSSenior Civil Service",0.5,FALSE,0.333333333333333
"40","DCMS","Female",2009,"All grades",340,650,0.523076923076923,"DCMSTotal",0.5,FALSE,0.523076923076923
"41","DCMS","Female",2010,"SCS",40,70,0.571428571428571,"DCMSSenior Civil Service",0.5,FALSE,0.571428571428571
"42","DCMS","Female",2010,"All grades",370,740,0.5,"DCMSTotal",0.5,FALSE,0.5
"43","DCMS","Female",2011,"SCS",40,70,0.571428571428571,"DCMSSenior Civil Service",0.5,FALSE,0.571428571428571
"44","DCMS","Female",2011,"All grades",350,660,0.53030303030303,"DCMSTotal",0.5,FALSE,0.53030303030303
"45","DCMS","Female",2012,"SCS",20,40,0.5,"DCMSSenior Civil Service",0.5,FALSE,0.5
"46","DCMS","Female",2012,"All grades",210,460,0.456521739130435,"DCMSTotal",0.5,FALSE,0.456521739130435
"47","DCMS","Female",2013,"SCS",20,40,0.5,"DCMSSenior Civil Service",0.5,FALSE,0.5
"48","DCMS","Female",2013,"All grades",200,390,0.512820512820513,"DCMSTotal",0.5,FALSE,0.512820512820513
"49","DECC","Female",2008,"SCS",0,0,NA,"DECCSenior Civil Service",0.333333333333333,FALSE,NA
"50","DECC","Female",2008,"All grades",0,0,NA,"DECCTotal",0.333333333333333,FALSE,NA
"51","DECC","Female",2009,"SCS",10,60,0.166666666666667,"DECCSenior Civil Service",0.333333333333333,FALSE,0.166666666666667
"52","DECC","Female",2009,"All grades",380,910,0.417582417582418,"DECCTotal",0.333333333333333,FALSE,0.417582417582418
"53","DECC","Female",2010,"SCS",20,80,0.25,"DECCSenior Civil Service",0.333333333333333,FALSE,0.25
"54","DECC","Female",2010,"All grades",460,1050,0.438095238095238,"DECCTotal",0.333333333333333,FALSE,0.438095238095238
"55","DECC","Female",2011,"SCS",20,80,0.25,"DECCSenior Civil Service",0.333333333333333,FALSE,0.25
"56","DECC","Female",2011,"All grades",520,1170,0.444444444444444,"DECCTotal",0.333333333333333,FALSE,0.444444444444444
"57","DECC","Female",2012,"SCS",30,90,0.333333333333333,"DECCSenior Civil Service",0.333333333333333,FALSE,0.333333333333333
"58","DECC","Female",2012,"All grades",590,1310,0.450381679389313,"DECCTotal",0.333333333333333,FALSE,0.450381679389313
"59","DECC","Female",2013,"SCS",30,90,0.333333333333333,"DECCSenior Civil Service",0.333333333333333,FALSE,0.333333333333333
"60","DECC","Female",2013,"All grades",680,1460,0.465753424657534,"DECCTotal",0.333333333333333,FALSE,0.465753424657534
"61","DH","Female",2008,"SCS",110,260,0.423076923076923,"DHSenior Civil Service",0.380952380952381,FALSE,0.423076923076923
"62","DH","Female",2008,"All grades",1230,2220,0.554054054054054,"DHTotal",0.380952380952381,FALSE,0.554054054054054
"63","DH","Female",2009,"SCS",110,260,0.423076923076923,"DHSenior Civil Service",0.380952380952381,FALSE,0.423076923076923
"64","DH","Female",2009,"All grades",1310,2320,0.564655172413793,"DHTotal",0.380952380952381,FALSE,0.564655172413793
"65","DH","Female",2010,"SCS",120,280,0.428571428571429,"DHSenior Civil Service",0.380952380952381,FALSE,0.428571428571429
"66","DH","Female",2010,"All grades",1520,2710,0.560885608856089,"DHTotal",0.380952380952381,FALSE,0.560885608856089
"67","DH","Female",2011,"SCS",110,250,0.44,"DHSenior Civil Service",0.380952380952381,FALSE,0.44
"68","DH","Female",2011,"All grades",1490,2640,0.564393939393939,"DHTotal",0.380952380952381,FALSE,0.564393939393939
"69","DH","Female",2012,"SCS",90,220,0.409090909090909,"DHSenior Civil Service",0.380952380952381,FALSE,0.409090909090909
"70","DH","Female",2012,"All grades",1340,2370,0.565400843881857,"DHTotal",0.380952380952381,FALSE,0.565400843881857
"71","DH","Female",2013,"SCS",80,210,0.380952380952381,"DHSenior Civil Service",0.380952380952381,FALSE,0.380952380952381
"72","DH","Female",2013,"All grades",1300,2280,0.570175438596491,"DHTotal",0.380952380952381,FALSE,0.570175438596491
"73","DWP","Female",2008,"SCS",120,310,0.387096774193548,"DWPSenior Civil Service",0.375,FALSE,0.387096774193548
"74","DWP","Female",2008,"All grades",77970,113400,0.687566137566138,"DWPTotal",0.375,FALSE,0.687566137566138
"75","DWP","Female",2009,"SCS",120,330,0.363636363636364,"DWPSenior Civil Service",0.375,FALSE,0.363636363636364
"76","DWP","Female",2009,"All grades",79720,116890,0.682008726152793,"DWPTotal",0.375,FALSE,0.682008726152793
"77","DWP","Female",2010,"SCS",130,350,0.371428571428571,"DWPSenior Civil Service",0.375,FALSE,0.371428571428571
"78","DWP","Female",2010,"All grades",86630,129670,0.668080512069098,"DWPTotal",0.375,FALSE,0.668080512069098
"79","DWP","Female",2011,"SCS",120,290,0.413793103448276,"DWPSenior Civil Service",0.375,FALSE,0.413793103448276
"80","DWP","Female",2011,"All grades",80260,118790,0.675646098156411,"DWPTotal",0.375,FALSE,0.675646098156411
"81","DWP","Female",2012,"SCS",100,240,0.416666666666667,"DWPSenior Civil Service",0.375,FALSE,0.416666666666667
"82","DWP","Female",2012,"All grades",74500,108980,0.683611671866397,"DWPTotal",0.375,FALSE,0.683611671866397
"83","DWP","Female",2013,"SCS",90,240,0.375,"DWPSenior Civil Service",0.375,FALSE,0.375
"84","DWP","Female",2013,"All grades",71660,104890,0.68319191533988,"DWPTotal",0.375,FALSE,0.68319191533988
"85","Defra","Female",2008,"SCS",50,160,0.3125,"DefraSenior Civil Service",0.4,FALSE,0.3125
"86","Defra","Female",2008,"All grades",1510,3100,0.487096774193548,"DefraTotal",0.4,FALSE,0.487096774193548
"87","Defra","Female",2009,"SCS",50,140,0.357142857142857,"DefraSenior Civil Service",0.4,FALSE,0.357142857142857
"88","Defra","Female",2009,"All grades",1370,2760,0.496376811594203,"DefraTotal",0.4,FALSE,0.496376811594203
