"","Age.band","Group","Date","count","total","share","gradeval","sorter","totalgroup","share2","left","grp","yvar"
"39","40-49","CO",2010,330,1260,0.261904761904762,3,5.91304347826087,FALSE,0.130952380952381,TRUE,"TRUE2010",0.130952380952381
"40","50-59","CO",2010,210,1260,0.166666666666667,4,5.91304347826087,FALSE,0.0833333333333333,TRUE,"TRUE2010",0.0833333333333333
"41","60-64","CO",2010,40,1260,0.0317460317460317,5,5.91304347826087,FALSE,0.0158730158730159,TRUE,"TRUE2010",0.0158730158730159
"42","65 +","CO",2010,0,1260,0,6,5.91304347826087,FALSE,0,TRUE,"TRUE2010",0
"43","< 29","CO",2013,380,1840,0.206521739130435,1,5.91304347826087,FALSE,0.103260869565217,TRUE,"TRUE2013",0.103260869565217
"44","30-39","CO",2013,660,1840,0.358695652173913,2,5.91304347826087,FALSE,0.179347826086957,TRUE,"TRUE2013",0.179347826086957
"45","40-49","CO",2013,460,1840,0.25,3,5.91304347826087,FALSE,0.125,TRUE,"TRUE2013",0.125
"46","50-59","CO",2013,300,1840,0.16304347826087,4,5.91304347826087,FALSE,0.0815217391304348,TRUE,"TRUE2013",0.0815217391304348
"47","60-64","CO",2013,30,1840,0.016304347826087,5,5.91304347826087,FALSE,0.00815217391304348,TRUE,"TRUE2013",0.00815217391304348
"48","65 +","CO",2013,10,1840,0.00543478260869565,6,5.91304347826087,FALSE,0.00271739130434783,TRUE,"TRUE2013",0.00271739130434783
"49","< 29","DECC",2010,190,1050,0.180952380952381,1,5.94520547945205,FALSE,-0.0904761904761905,FALSE,"FALSE2010",-0.0904761904761905
"50","30-39","DECC",2010,360,1050,0.342857142857143,2,5.94520547945205,FALSE,-0.171428571428571,FALSE,"FALSE2010",-0.171428571428571
"51","40-49","DECC",2010,300,1050,0.285714285714286,3,5.94520547945205,FALSE,-0.142857142857143,FALSE,"FALSE2010",-0.142857142857143
"52","50-59","DECC",2010,170,1050,0.161904761904762,4,5.94520547945205,FALSE,-0.080952380952381,FALSE,"FALSE2010",-0.080952380952381
"53","60-64","DECC",2010,30,1050,0.0285714285714286,5,5.94520547945205,FALSE,-0.0142857142857143,FALSE,"FALSE2010",-0.0142857142857143
"54","65 +","DECC",2010,0,1050,0,6,5.94520547945205,FALSE,0,FALSE,"FALSE2010",0
"55","< 29","DECC",2013,250,1460,0.171232876712329,1,5.94520547945205,FALSE,-0.0856164383561644,FALSE,"FALSE2013",-0.0856164383561644
"56","30-39","DECC",2013,560,1460,0.383561643835616,2,5.94520547945205,FALSE,-0.191780821917808,FALSE,"FALSE2013",-0.191780821917808
"57","40-49","DECC",2013,370,1460,0.253424657534247,3,5.94520547945205,FALSE,-0.126712328767123,FALSE,"FALSE2013",-0.126712328767123
"58","50-59","DECC",2013,240,1460,0.164383561643836,4,5.94520547945205,FALSE,-0.0821917808219178,FALSE,"FALSE2013",-0.0821917808219178
"59","60-64","DECC",2013,30,1460,0.0205479452054795,5,5.94520547945205,FALSE,-0.0102739726027397,FALSE,"FALSE2013",-0.0102739726027397
"60","65 +","DECC",2013,10,1460,0.00684931506849315,6,5.94520547945205,FALSE,-0.00342465753424658,FALSE,"FALSE2013",-0.00342465753424658
"61","< 29","DECC",2010,190,1050,0.180952380952381,1,5.94520547945205,FALSE,0.0904761904761905,TRUE,"TRUE2010",0.0904761904761905
"62","30-39","DECC",2010,360,1050,0.342857142857143,2,5.94520547945205,FALSE,0.171428571428571,TRUE,"TRUE2010",0.171428571428571
"63","40-49","DECC",2010,300,1050,0.285714285714286,3,5.94520547945205,FALSE,0.142857142857143,TRUE,"TRUE2010",0.142857142857143
"64","50-59","DECC",2010,170,1050,0.161904761904762,4,5.94520547945205,FALSE,0.080952380952381,TRUE,"TRUE2010",0.080952380952381
"65","60-64","DECC",2010,30,1050,0.0285714285714286,5,5.94520547945205,FALSE,0.0142857142857143,TRUE,"TRUE2010",0.0142857142857143
"66","65 +","DECC",2010,0,1050,0,6,5.94520547945205,FALSE,0,TRUE,"TRUE2010",0
"67","< 29","DECC",2013,250,1460,0.171232876712329,1,5.94520547945205,FALSE,0.0856164383561644,TRUE,"TRUE2013",0.0856164383561644
"68","30-39","DECC",2013,560,1460,0.383561643835616,2,5.94520547945205,FALSE,0.191780821917808,TRUE,"TRUE2013",0.191780821917808
"69","40-49","DECC",2013,370,1460,0.253424657534247,3,5.94520547945205,FALSE,0.126712328767123,TRUE,"TRUE2013",0.126712328767123
"70","50-59","DECC",2013,240,1460,0.164383561643836,4,5.94520547945205,FALSE,0.0821917808219178,TRUE,"TRUE2013",0.0821917808219178
"71","60-64","DECC",2013,30,1460,0.0205479452054795,5,5.94520547945205,FALSE,0.0102739726027397,TRUE,"TRUE2013",0.0102739726027397
"72","65 +","DECC",2013,10,1460,0.00684931506849315,6,5.94520547945205,FALSE,0.00342465753424658,TRUE,"TRUE2013",0.00342465753424658
"73","< 29","FCO",2010,1010,6010,0.168053244592346,1,6.12396694214876,FALSE,-0.084026622296173,FALSE,"FALSE2010",-0.084026622296173
"74","30-39","FCO",2010,1820,6010,0.302828618968386,2,6.12396694214876,FALSE,-0.151414309484193,FALSE,"FALSE2010",-0.151414309484193
"75","40-49","FCO",2010,1940,6010,0.32279534109817,3,6.12396694214876,FALSE,-0.161397670549085,FALSE,"FALSE2010",-0.161397670549085
"76","50-59","FCO",2010,1020,6010,0.169717138103161,4,6.12396694214876,FALSE,-0.0848585690515807,FALSE,"FALSE2010",-0.0848585690515807
"77","60-64","FCO",2010,190,6010,0.0316139767054908,5,6.12396694214876,FALSE,-0.0158069883527454,FALSE,"FALSE2010",-0.0158069883527454
"78","65 +","FCO",2010,30,6010,0.00499168053244592,6,6.12396694214876,FALSE,-0.00249584026622296,FALSE,"FALSE2010",-0.00249584026622296
"79","< 29","FCO",2013,650,4840,0.134297520661157,1,6.12396694214876,FALSE,-0.0671487603305785,FALSE,"FALSE2013",-0.0671487603305785
"80","30-39","FCO",2013,1650,4840,0.340909090909091,2,6.12396694214876,FALSE,-0.170454545454545,FALSE,"FALSE2013",-0.170454545454545
"81","40-49","FCO",2013,1610,4840,0.332644628099174,3,6.12396694214876,FALSE,-0.166322314049587,FALSE,"FALSE2013",-0.166322314049587
"82","50-59","FCO",2013,750,4840,0.15495867768595,4,6.12396694214876,FALSE,-0.0774793388429752,FALSE,"FALSE2013",-0.0774793388429752
"83","60-64","FCO",2013,130,4840,0.0268595041322314,5,6.12396694214876,FALSE,-0.0134297520661157,FALSE,"FALSE2013",-0.0134297520661157
"84","65 +","FCO",2013,50,4840,0.0103305785123967,6,6.12396694214876,FALSE,-0.00516528925619835,FALSE,"FALSE2013",-0.00516528925619835
"85","< 29","FCO",2010,1010,6010,0.168053244592346,1,6.12396694214876,FALSE,0.084026622296173,TRUE,"TRUE2010",0.084026622296173
"86","30-39","FCO",2010,1820,6010,0.302828618968386,2,6.12396694214876,FALSE,0.151414309484193,TRUE,"TRUE2010",0.151414309484193
"87","40-49","FCO",2010,1940,6010,0.32279534109817,3,6.12396694214876,FALSE,0.161397670549085,TRUE,"TRUE2010",0.161397670549085
"88","50-59","FCO",2010,1020,6010,0.169717138103161,4,6.12396694214876,FALSE,0.0848585690515807,TRUE,"TRUE2010",0.0848585690515807
"89","60-64","FCO",2010,190,6010,0.0316139767054908,5,6.12396694214876,FALSE,0.0158069883527454,TRUE,"TRUE2010",0.0158069883527454
"90","65 +","FCO",2010,30,6010,0.00499168053244592,6,6.12396694214876,FALSE,0.00249584026622296,TRUE,"TRUE2010",0.00249584026622296
"91","< 29","FCO",2013,650,4840,0.134297520661157,1,6.12396694214876,FALSE,0.0671487603305785,TRUE,"TRUE2013",0.0671487603305785
"92","30-39","FCO",2013,1650,4840,0.340909090909091,2,6.12396694214876,FALSE,0.170454545454545,TRUE,"TRUE2013",0.170454545454545
"93","40-49","FCO",2013,1610,4840,0.332644628099174,3,6.12396694214876,FALSE,0.166322314049587,TRUE,"TRUE2013",0.166322314049587
"94","50-59","FCO",2013,750,4840,0.15495867768595,4,6.12396694214876,FALSE,0.0774793388429752,TRUE,"TRUE2013",0.0774793388429752
"95","60-64","FCO",2013,130,4840,0.0268595041322314,5,6.12396694214876,FALSE,0.0134297520661157,TRUE,"TRUE2013",0.0134297520661157
"96","65 +","FCO",2013,50,4840,0.0103305785123967,6,6.12396694214876,FALSE,0.00516528925619835,TRUE,"TRUE2013",0.00516528925619835
"97","< 29","DCMS",2010,70,500,0.14,1,6.12820512820513,FALSE,-0.07,FALSE,"FALSE2010",-0.07
"98","30-39","DCMS",2010,170,500,0.34,2,6.12820512820513,FALSE,-0.17,FALSE,"FALSE2010",-0.17
"99","40-49","DCMS",2010,150,500,0.3,3,6.12820512820513,FALSE,-0.15,FALSE,"FALSE2010",-0.15
"100","50-59","DCMS",2010,100,500,0.2,4,6.12820512820513,FALSE,-0.1,FALSE,"FALSE2010",-0.1
"101","60-64","DCMS",2010,10,500,0.02,5,6.12820512820513,FALSE,-0.01,FALSE,"FALSE2010",-0.01
"102","65 +","DCMS",2010,0,500,0,6,6.12820512820513,FALSE,0,FALSE,"FALSE2010",0
"103","< 29","DCMS",2013,40,390,0.102564102564103,1,6.12820512820513,FALSE,-0.0512820512820513,FALSE,"FALSE2013",-0.0512820512820513
"104","30-39","DCMS",2013,140,390,0.358974358974359,2,6.12820512820513,FALSE,-0.179487179487179,FALSE,"FALSE2013",-0.179487179487179
"105","40-49","DCMS",2013,120,390,0.307692307692308,3,6.12820512820513,FALSE,-0.153846153846154,FALSE,"FALSE2013",-0.153846153846154
"106","50-59","DCMS",2013,80,390,0.205128205128205,4,6.12820512820513,FALSE,-0.102564102564103,FALSE,"FALSE2013",-0.102564102564103
"107","60-64","DCMS",2013,10,390,0.0256410256410256,5,6.12820512820513,FALSE,-0.0128205128205128,FALSE,"FALSE2013",-0.0128205128205128
"108","65 +","DCMS",2013,0,390,0,6,6.12820512820513,FALSE,0,FALSE,"FALSE2013",0
"109","< 29","DCMS",2010,70,500,0.14,1,6.12820512820513,FALSE,0.07,TRUE,"TRUE2010",0.07
"110","30-39","DCMS",2010,170,500,0.34,2,6.12820512820513,FALSE,0.17,TRUE,"TRUE2010",0.17
"111","40-49","DCMS",2010,150,500,0.3,3,6.12820512820513,FALSE,0.15,TRUE,"TRUE2010",0.15
"112","50-59","DCMS",2010,100,500,0.2,4,6.12820512820513,FALSE,0.1,TRUE,"TRUE2010",0.1
"113","60-64","DCMS",2010,10,500,0.02,5,6.12820512820513,FALSE,0.01,TRUE,"TRUE2010",0.01
"114","65 +","DCMS",2010,0,500,0,6,6.12820512820513,FALSE,0,TRUE,"TRUE2010",0
"115","< 29","DCMS",2013,40,390,0.102564102564103,1,6.12820512820513,FALSE,0.0512820512820513,TRUE,"TRUE2013",0.0512820512820513
"116","30-39","DCMS",2013,140,390,0.358974358974359,2,6.12820512820513,FALSE,0.179487179487179,TRUE,"TRUE2013",0.179487179487179
"117","40-49","DCMS",2013,120,390,0.307692307692308,3,6.12820512820513,FALSE,0.153846153846154,TRUE,"TRUE2013",0.153846153846154
"118","50-59","DCMS",2013,80,390,0.205128205128205,4,6.12820512820513,FALSE,0.102564102564103,TRUE,"TRUE2013",0.102564102564103
"119","60-64","DCMS",2013,10,390,0.0256410256410256,5,6.12820512820513,FALSE,0.0128205128205128,TRUE,"TRUE2013",0.0128205128205128
"120","65 +","DCMS",2013,0,390,0,6,6.12820512820513,FALSE,0,TRUE,"TRUE2013",0
"121","< 29","MoJ",2010,590,3210,0.183800623052959,1,6.20535714285714,FALSE,-0.0919003115264797,FALSE,"FALSE2010",-0.0919003115264797
"122","30-39","MoJ",2010,920,3210,0.286604361370716,2,6.20535714285714,FALSE,-0.143302180685358,FALSE,"FALSE2010",-0.143302180685358
"123","40-49","MoJ",2010,920,3210,0.286604361370716,3,6.20535714285714,FALSE,-0.143302180685358,FALSE,"FALSE2010",-0.143302180685358
"124","50-59","MoJ",2010,680,3210,0.21183800623053,4,6.20535714285714,FALSE,-0.105919003115265,FALSE,"FALSE2010",-0.105919003115265
"125","60-64","MoJ",2010,90,3210,0.0280373831775701,5,6.20535714285714,FALSE,-0.014018691588785,FALSE,"FALSE2010",-0.014018691588785
"126","65 +","MoJ",2010,10,3210,0.00311526479750779,6,6.20535714285714,FALSE,-0.00155763239875389,FALSE,"FALSE2010",-0.00155763239875389
"127","< 29","MoJ",2013,680,4480,0.151785714285714,1,6.20535714285714,FALSE,-0.0758928571428571,FALSE,"FALSE2013",-0.0758928571428571
"128","30-39","MoJ",2013,1310,4480,0.292410714285714,2,6.20535714285714,FALSE,-0.146205357142857,FALSE,"FALSE2013",-0.146205357142857
"129","40-49","MoJ",2013,1320,4480,0.294642857142857,3,6.20535714285714,FALSE,-0.147321428571429,FALSE,"FALSE2013",-0.147321428571429
"130","50-59","MoJ",2013,960,4480,0.214285714285714,4,6.20535714285714,FALSE,-0.107142857142857,FALSE,"FALSE2013",-0.107142857142857
"131","60-64","MoJ",2013,170,4480,0.0379464285714286,5,6.20535714285714,FALSE,-0.0189732142857143,FALSE,"FALSE2013",-0.0189732142857143
"132","65 +","MoJ",2013,40,4480,0.00892857142857143,6,6.20535714285714,FALSE,-0.00446428571428571,FALSE,"FALSE2013",-0.00446428571428571
"133","< 29","MoJ",2010,590,3210,0.183800623052959,1,6.20535714285714,FALSE,0.0919003115264797,TRUE,"TRUE2010",0.0919003115264797
"134","30-39","MoJ",2010,920,3210,0.286604361370716,2,6.20535714285714,FALSE,0.143302180685358,TRUE,"TRUE2010",0.143302180685358
"135","40-49","MoJ",2010,920,3210,0.286604361370716,3,6.20535714285714,FALSE,0.143302180685358,TRUE,"TRUE2010",0.143302180685358
"136","50-59","MoJ",2010,680,3210,0.21183800623053,4,6.20535714285714,FALSE,0.105919003115265,TRUE,"TRUE2010",0.105919003115265
"137","60-64","MoJ",2010,90,3210,0.0280373831775701,5,6.20535714285714,FALSE,0.014018691588785,TRUE,"TRUE2010",0.014018691588785
"138","65 +","MoJ",2010,10,3210,0.00311526479750779,6,6.20535714285714,FALSE,0.00155763239875389,TRUE,"TRUE2010",0.00155763239875389
"139","< 29","MoJ",2013,680,4480,0.151785714285714,1,6.20535714285714,FALSE,0.0758928571428571,TRUE,"TRUE2013",0.0758928571428571
"140","30-39","MoJ",2013,1310,4480,0.292410714285714,2,6.20535714285714,FALSE,0.146205357142857,TRUE,"TRUE2013",0.146205357142857
"141","40-49","MoJ",2013,1320,4480,0.294642857142857,3,6.20535714285714,FALSE,0.147321428571429,TRUE,"TRUE2013",0.147321428571429
"142","50-59","MoJ",2013,960,4480,0.214285714285714,4,6.20535714285714,FALSE,0.107142857142857,TRUE,"TRUE2013",0.107142857142857
"143","60-64","MoJ",2013,170,4480,0.0379464285714286,5,6.20535714285714,FALSE,0.0189732142857143,TRUE,"TRUE2013",0.0189732142857143
"144","65 +","MoJ",2013,40,4480,0.00892857142857143,6,6.20535714285714,FALSE,0.00446428571428571,TRUE,"TRUE2013",0.00446428571428571
"145","< 29","DfID",2010,120,1640,0.0731707317073171,1,6.22651933701657,FALSE,-0.0365853658536585,FALSE,"FALSE2010",-0.0365853658536585
