"","Civil.Service.grad","gradeval","Group","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"244","SCS",5,"HO",2010,230,21930,0.0104879160966712,0.0524395804833561,0.425079799361605,FALSE,-0.00524395804833561,FALSE,"FALSE2010",-0.00524395804833561
"245","SEO/HEO",3,"HO",2010,5500,21930,0.250797993616051,0.752393980848153,0.425079799361605,FALSE,-0.125398996808026,FALSE,"FALSE2010",-0.125398996808026
"246","AO/AA",1,"HO",2013,5940,22840,0.260070052539405,0.260070052539405,0.430122591943958,FALSE,-0.130035026269702,FALSE,"FALSE2013",-0.130035026269702
"247","EO",2,"HO",2013,9550,22840,0.418126094570928,0.836252189141856,0.430122591943958,FALSE,-0.209063047285464,FALSE,"FALSE2013",-0.209063047285464
"248","G6/G7",4,"HO",2013,1650,22840,0.0722416812609457,0.288966725043783,0.430122591943958,FALSE,-0.0361208406304729,FALSE,"FALSE2013",-0.0361208406304729
"249","SCS",5,"HO",2013,190,22840,0.00831873905429072,0.0415936952714536,0.430122591943958,FALSE,-0.00415936952714536,FALSE,"FALSE2013",-0.00415936952714536
"250","SEO/HEO",3,"HO",2013,5510,22840,0.241243432574431,0.723730297723292,0.430122591943958,FALSE,-0.120621716287215,FALSE,"FALSE2013",-0.120621716287215
"251","AO/AA",1,"HO",2010,6600,21930,0.300957592339261,0.300957592339261,0.425079799361605,FALSE,0.150478796169631,TRUE,"TRUE2010",0.150478796169631
"252","EO",2,"HO",2010,8060,21930,0.367533059735522,0.735066119471044,0.425079799361605,FALSE,0.183766529867761,TRUE,"TRUE2010",0.183766529867761
"253","G6/G7",4,"HO",2010,1560,21930,0.0711354309165527,0.284541723666211,0.425079799361605,FALSE,0.0355677154582763,TRUE,"TRUE2010",0.0355677154582763
"254","SCS",5,"HO",2010,230,21930,0.0104879160966712,0.0524395804833561,0.425079799361605,FALSE,0.00524395804833561,TRUE,"TRUE2010",0.00524395804833561
"255","SEO/HEO",3,"HO",2010,5500,21930,0.250797993616051,0.752393980848153,0.425079799361605,FALSE,0.125398996808026,TRUE,"TRUE2010",0.125398996808026
"256","AO/AA",1,"HO",2013,5940,22840,0.260070052539405,0.260070052539405,0.430122591943958,FALSE,0.130035026269702,TRUE,"TRUE2013",0.130035026269702
"257","EO",2,"HO",2013,9550,22840,0.418126094570928,0.836252189141856,0.430122591943958,FALSE,0.209063047285464,TRUE,"TRUE2013",0.209063047285464
"258","G6/G7",4,"HO",2013,1650,22840,0.0722416812609457,0.288966725043783,0.430122591943958,FALSE,0.0361208406304729,TRUE,"TRUE2013",0.0361208406304729
"259","SCS",5,"HO",2013,190,22840,0.00831873905429072,0.0415936952714536,0.430122591943958,FALSE,0.00415936952714536,TRUE,"TRUE2013",0.00415936952714536
"260","SEO/HEO",3,"HO",2013,5510,22840,0.241243432574431,0.723730297723292,0.430122591943958,FALSE,0.120621716287215,TRUE,"TRUE2013",0.120621716287215
"261","AO/AA",1,"MoD",2010,33300,67680,0.492021276595745,0.492021276595745,0.355112293144208,FALSE,-0.246010638297872,FALSE,"FALSE2010",-0.246010638297872
"262","EO",2,"MoD",2010,11590,67680,0.171247044917258,0.342494089834515,0.355112293144208,FALSE,-0.0856235224586288,FALSE,"FALSE2010",-0.0856235224586288
"263","G6/G7",4,"MoD",2010,2550,67680,0.037677304964539,0.150709219858156,0.355112293144208,FALSE,-0.0188386524822695,FALSE,"FALSE2010",-0.0188386524822695
"264","SCS",5,"MoD",2010,300,67680,0.00443262411347518,0.0221631205673759,0.355112293144208,FALSE,-0.00221631205673759,FALSE,"FALSE2010",-0.00221631205673759
"265","SEO/HEO",3,"MoD",2010,17330,67680,0.256057919621749,0.768173758865248,0.355112293144208,FALSE,-0.128028959810875,FALSE,"FALSE2010",-0.128028959810875
"266","AO/AA",1,"MoD",2013,22190,51000,0.435098039215686,0.435098039215686,0.377607843137255,FALSE,-0.217549019607843,FALSE,"FALSE2013",-0.217549019607843
"267","EO",2,"MoD",2013,9260,51000,0.18156862745098,0.363137254901961,0.377607843137255,FALSE,-0.0907843137254902,FALSE,"FALSE2013",-0.0907843137254902
"268","G6/G7",4,"MoD",2013,2270,51000,0.0445098039215686,0.178039215686275,0.377607843137255,FALSE,-0.0222549019607843,FALSE,"FALSE2013",-0.0222549019607843
"269","SCS",5,"MoD",2013,240,51000,0.00470588235294118,0.0235294117647059,0.377607843137255,FALSE,-0.00235294117647059,FALSE,"FALSE2013",-0.00235294117647059
"270","SEO/HEO",3,"MoD",2013,15100,51000,0.296078431372549,0.888235294117647,0.377607843137255,FALSE,-0.148039215686275,FALSE,"FALSE2013",-0.148039215686275
"271","AO/AA",1,"MoD",2010,33300,67680,0.492021276595745,0.492021276595745,0.355112293144208,FALSE,0.246010638297872,TRUE,"TRUE2010",0.246010638297872
"272","EO",2,"MoD",2010,11590,67680,0.171247044917258,0.342494089834515,0.355112293144208,FALSE,0.0856235224586288,TRUE,"TRUE2010",0.0856235224586288
"273","G6/G7",4,"MoD",2010,2550,67680,0.037677304964539,0.150709219858156,0.355112293144208,FALSE,0.0188386524822695,TRUE,"TRUE2010",0.0188386524822695
"274","SCS",5,"MoD",2010,300,67680,0.00443262411347518,0.0221631205673759,0.355112293144208,FALSE,0.00221631205673759,TRUE,"TRUE2010",0.00221631205673759
"275","SEO/HEO",3,"MoD",2010,17330,67680,0.256057919621749,0.768173758865248,0.355112293144208,FALSE,0.128028959810875,TRUE,"TRUE2010",0.128028959810875
"276","AO/AA",1,"MoD",2013,22190,51000,0.435098039215686,0.435098039215686,0.377607843137255,FALSE,0.217549019607843,TRUE,"TRUE2013",0.217549019607843
"277","EO",2,"MoD",2013,9260,51000,0.18156862745098,0.363137254901961,0.377607843137255,FALSE,0.0907843137254902,TRUE,"TRUE2013",0.0907843137254902
"278","G6/G7",4,"MoD",2013,2270,51000,0.0445098039215686,0.178039215686275,0.377607843137255,FALSE,0.0222549019607843,TRUE,"TRUE2013",0.0222549019607843
"279","SCS",5,"MoD",2013,240,51000,0.00470588235294118,0.0235294117647059,0.377607843137255,FALSE,0.00235294117647059,TRUE,"TRUE2013",0.00235294117647059
"280","SEO/HEO",3,"MoD",2013,15100,51000,0.296078431372549,0.888235294117647,0.377607843137255,FALSE,0.148039215686275,TRUE,"TRUE2013",0.148039215686275
"281","AO/AA",1,"All managed",2010,209680,410910,0.510282056898104,0.510282056898104,0.355815142001898,TRUE,-0.255141028449052,FALSE,"FALSE2010",-0.255141028449052
"282","EO",2,"All managed",2010,103340,410910,0.251490594047358,0.502981188094717,0.355815142001898,TRUE,-0.125745297023679,FALSE,"FALSE2010",-0.125745297023679
"283","G6/G7",4,"All managed",2010,21540,410910,0.052420238008323,0.209680952033292,0.355815142001898,TRUE,-0.0262101190041615,FALSE,"FALSE2010",-0.0262101190041615
"284","SCS",5,"All managed",2010,3650,410910,0.00888272371078825,0.0444136185539412,0.355815142001898,TRUE,-0.00444136185539412,FALSE,"FALSE2010",-0.00444136185539412
"285","SEO/HEO",3,"All managed",2010,70090,410910,0.170572631476479,0.511717894429437,0.355815142001898,TRUE,-0.0852863157382395,FALSE,"FALSE2010",-0.0852863157382395
"286","AO/AA",1,"All managed",2013,166850,345530,0.48288137064799,0.48288137064799,0.365768529505398,TRUE,-0.241440685323995,FALSE,"FALSE2013",-0.241440685323995
"287","EO",2,"All managed",2013,90670,345530,0.262408473938587,0.524816947877174,0.365768529505398,TRUE,-0.131204236969294,FALSE,"FALSE2013",-0.131204236969294
"288","G6/G7",4,"All managed",2013,20610,345530,0.0596474980464793,0.238589992185917,0.365768529505398,TRUE,-0.0298237490232397,FALSE,"FALSE2013",-0.0298237490232397
"289","SCS",5,"All managed",2013,3070,345530,0.00888490145573467,0.0444245072786733,0.365768529505398,TRUE,-0.00444245072786733,FALSE,"FALSE2013",-0.00444245072786733
"290","SEO/HEO",3,"All managed",2013,61980,345530,0.179376609845744,0.538129829537233,0.365768529505398,TRUE,-0.0896883049228721,FALSE,"FALSE2013",-0.0896883049228721
"291","AO/AA",1,"All managed",2010,209680,410910,0.510282056898104,0.510282056898104,0.355815142001898,TRUE,0.255141028449052,TRUE,"TRUE2010",0.255141028449052
"292","EO",2,"All managed",2010,103340,410910,0.251490594047358,0.502981188094717,0.355815142001898,TRUE,0.125745297023679,TRUE,"TRUE2010",0.125745297023679
"293","G6/G7",4,"All managed",2010,21540,410910,0.052420238008323,0.209680952033292,0.355815142001898,TRUE,0.0262101190041615,TRUE,"TRUE2010",0.0262101190041615
"294","SCS",5,"All managed",2010,3650,410910,0.00888272371078825,0.0444136185539412,0.355815142001898,TRUE,0.00444136185539412,TRUE,"TRUE2010",0.00444136185539412
"295","SEO/HEO",3,"All managed",2010,70090,410910,0.170572631476479,0.511717894429437,0.355815142001898,TRUE,0.0852863157382395,TRUE,"TRUE2010",0.0852863157382395
"296","AO/AA",1,"All managed",2013,166850,345530,0.48288137064799,0.48288137064799,0.365768529505398,TRUE,0.241440685323995,TRUE,"TRUE2013",0.241440685323995
"297","EO",2,"All managed",2013,90670,345530,0.262408473938587,0.524816947877174,0.365768529505398,TRUE,0.131204236969294,TRUE,"TRUE2013",0.131204236969294
"298","G6/G7",4,"All managed",2013,20610,345530,0.0596474980464793,0.238589992185917,0.365768529505398,TRUE,0.0298237490232397,TRUE,"TRUE2013",0.0298237490232397
"299","SCS",5,"All managed",2013,3070,345530,0.00888490145573467,0.0444245072786733,0.365768529505398,TRUE,0.00444245072786733,TRUE,"TRUE2013",0.00444245072786733
"300","SEO/HEO",3,"All managed",2013,61980,345530,0.179376609845744,0.538129829537233,0.365768529505398,TRUE,0.0896883049228721,TRUE,"TRUE2013",0.0896883049228721
"301","AO/AA",1,"HMRC",2010,43880,82960,0.528929604628737,0.528929604628737,0.350072324011572,FALSE,-0.264464802314368,FALSE,"FALSE2010",-0.264464802314368
"302","EO",2,"HMRC",2010,20420,82960,0.246142719382835,0.49228543876567,0.350072324011572,FALSE,-0.123071359691418,FALSE,"FALSE2010",-0.123071359691418
"303","G6/G7",4,"HMRC",2010,3730,82960,0.0449614271938284,0.179845708775313,0.350072324011572,FALSE,-0.0224807135969142,FALSE,"FALSE2010",-0.0224807135969142
"304","SCS",5,"HMRC",2010,390,82960,0.00470106075216972,0.0235053037608486,0.350072324011572,FALSE,-0.00235053037608486,FALSE,"FALSE2010",-0.00235053037608486
"305","SEO/HEO",3,"HMRC",2010,14540,82960,0.17526518804243,0.52579556412729,0.350072324011572,FALSE,-0.087632594021215,FALSE,"FALSE2010",-0.087632594021215
"306","AO/AA",1,"HMRC",2013,39140,72740,0.538080835853726,0.538080835853726,0.348886444872147,FALSE,-0.269040417926863,FALSE,"FALSE2013",-0.269040417926863
"307","EO",2,"HMRC",2013,16080,72740,0.221061314270003,0.442122628540006,0.348886444872147,FALSE,-0.110530657135001,FALSE,"FALSE2013",-0.110530657135001
"308","G6/G7",4,"HMRC",2013,3830,72740,0.0526532856750069,0.210613142700027,0.348886444872147,FALSE,-0.0263266428375034,FALSE,"FALSE2013",-0.0263266428375034
"309","SCS",5,"HMRC",2013,320,72740,0.00439923013472642,0.0219961506736321,0.348886444872147,FALSE,-0.00219961506736321,FALSE,"FALSE2013",-0.00219961506736321
