"","Age.band","Group","Date","Gender","count","total","share","gradeval","sorter","totalgroup","yvar"
"50","60-64","HMT",2009,"Female",10,1330,-0.0075187969924812,5,4.22556390977444,FALSE,-0.0075187969924812
"51","60-64","HMT",2010,"Female",10,1440,-0.00694444444444444,5,4.20833333333333,FALSE,-0.00694444444444444
"52","60-64","HMT",2011,"Female",10,1350,-0.00740740740740741,5,4.32592592592593,FALSE,-0.00740740740740741
"53","60-64","HMT",2012,"Female",10,1070,-0.00934579439252336,5,4.57943925233645,FALSE,-0.00934579439252336
"54","60-64","HMT",2013,"Female",10,1240,-0.00806451612903226,5,4.2258064516129,FALSE,-0.00806451612903226
"55","60-64","HMT",2008,"Male",10,1170,0.00854700854700855,5,4.32478632478632,FALSE,0.00854700854700855
"56","60-64","HMT",2009,"Male",10,1330,0.0075187969924812,5,4.22556390977444,FALSE,0.0075187969924812
"57","60-64","HMT",2010,"Male",10,1440,0.00694444444444444,5,4.20833333333333,FALSE,0.00694444444444444
"58","60-64","HMT",2011,"Male",20,1350,0.0148148148148148,5,4.32592592592593,FALSE,0.0148148148148148
"59","60-64","HMT",2012,"Male",20,1070,0.0186915887850467,5,4.57943925233645,FALSE,0.0186915887850467
"60","60-64","HMT",2013,"Male",10,1240,0.00806451612903226,5,4.2258064516129,FALSE,0.00806451612903226
"61","65 +","HMT",2008,"Female",0,1170,0,6,4.32478632478632,FALSE,0
"62","65 +","HMT",2009,"Female",0,1330,0,6,4.22556390977444,FALSE,0
"63","65 +","HMT",2010,"Female",0,1440,0,6,4.20833333333333,FALSE,0
"64","65 +","HMT",2011,"Female",0,1350,0,6,4.32592592592593,FALSE,0
"65","65 +","HMT",2012,"Female",0,1070,0,6,4.57943925233645,FALSE,0
"66","65 +","HMT",2013,"Female",0,1240,0,6,4.2258064516129,FALSE,0
"67","65 +","HMT",2008,"Male",0,1170,0,6,4.32478632478632,FALSE,0
"68","65 +","HMT",2009,"Male",0,1330,0,6,4.22556390977444,FALSE,0
"69","65 +","HMT",2010,"Male",0,1440,0,6,4.20833333333333,FALSE,0
"70","65 +","HMT",2011,"Male",0,1350,0,6,4.32592592592593,FALSE,0
"71","65 +","HMT",2012,"Male",0,1070,0,6,4.57943925233645,FALSE,0
"72","65 +","HMT",2013,"Male",0,1240,0,6,4.2258064516129,FALSE,0
"73","< 29","CO",2008,"Female",140,1250,-0.112,1,4.976,FALSE,-0.112
"74","< 29","CO",2009,"Female",160,1260,-0.126984126984127,1,4.95238095238095,FALSE,-0.126984126984127
"75","< 29","CO",2010,"Female",160,1270,-0.125984251968504,1,4.92913385826772,FALSE,-0.125984251968504
"76","< 29","CO",2011,"Female",160,1500,-0.106666666666667,1,5.08,FALSE,-0.106666666666667
"77","< 29","CO",2012,"Female",170,1630,-0.104294478527607,1,5.00613496932515,FALSE,-0.104294478527607
"78","< 29","CO",2013,"Female",190,1830,-0.103825136612022,1,4.88524590163934,FALSE,-0.103825136612022
"79","< 29","CO",2008,"Male",130,1250,0.104,1,4.976,FALSE,0.104
"80","< 29","CO",2009,"Male",130,1260,0.103174603174603,1,4.95238095238095,FALSE,0.103174603174603
"81","< 29","CO",2010,"Male",130,1270,0.102362204724409,1,4.92913385826772,FALSE,0.102362204724409
"82","< 29","CO",2011,"Male",110,1500,0.0733333333333333,1,5.08,FALSE,0.0733333333333333
"83","< 29","CO",2012,"Male",160,1630,0.098159509202454,1,5.00613496932515,FALSE,0.098159509202454
"84","< 29","CO",2013,"Male",190,1830,0.103825136612022,1,4.88524590163934,FALSE,0.103825136612022
"85","30-39","CO",2008,"Female",200,1250,-0.16,2,4.976,FALSE,-0.16
"86","30-39","CO",2009,"Female",200,1260,-0.158730158730159,2,4.95238095238095,FALSE,-0.158730158730159
"87","30-39","CO",2010,"Female",210,1270,-0.165354330708661,2,4.92913385826772,FALSE,-0.165354330708661
"88","30-39","CO",2011,"Female",280,1500,-0.186666666666667,2,5.08,FALSE,-0.186666666666667
"89","30-39","CO",2012,"Female",290,1630,-0.177914110429448,2,5.00613496932515,FALSE,-0.177914110429448
"90","30-39","CO",2013,"Female",340,1830,-0.185792349726776,2,4.88524590163934,FALSE,-0.185792349726776
"91","30-39","CO",2008,"Male",180,1250,0.144,2,4.976,FALSE,0.144
"92","30-39","CO",2009,"Male",170,1260,0.134920634920635,2,4.95238095238095,FALSE,0.134920634920635
"93","30-39","CO",2010,"Male",180,1270,0.141732283464567,2,4.92913385826772,FALSE,0.141732283464567
"94","30-39","CO",2011,"Male",240,1500,0.16,2,5.08,FALSE,0.16
"95","30-39","CO",2012,"Male",270,1630,0.165644171779141,2,5.00613496932515,FALSE,0.165644171779141
"96","30-39","CO",2013,"Male",310,1830,0.169398907103825,2,4.88524590163934,FALSE,0.169398907103825
"97","40-49","CO",2008,"Female",190,1250,-0.152,3,4.976,FALSE,-0.152
"98","40-49","CO",2009,"Female",190,1260,-0.150793650793651,3,4.95238095238095,FALSE,-0.150793650793651
"99","40-49","CO",2010,"Female",180,1270,-0.141732283464567,3,4.92913385826772,FALSE,-0.141732283464567
"100","40-49","CO",2011,"Female",210,1500,-0.14,3,5.08,FALSE,-0.14
"101","40-49","CO",2012,"Female",200,1630,-0.122699386503067,3,5.00613496932515,FALSE,-0.122699386503067
"102","40-49","CO",2013,"Female",220,1830,-0.120218579234973,3,4.88524590163934,FALSE,-0.120218579234973
"103","40-49","CO",2008,"Male",160,1250,0.128,3,4.976,FALSE,0.128
"104","40-49","CO",2009,"Male",160,1260,0.126984126984127,3,4.95238095238095,FALSE,0.126984126984127
"105","40-49","CO",2010,"Male",160,1270,0.125984251968504,3,4.92913385826772,FALSE,0.125984251968504
"106","40-49","CO",2011,"Male",180,1500,0.12,3,5.08,FALSE,0.12
"107","40-49","CO",2012,"Male",210,1630,0.128834355828221,3,5.00613496932515,FALSE,0.128834355828221
"108","40-49","CO",2013,"Male",240,1830,0.131147540983607,3,4.88524590163934,FALSE,0.131147540983607
"109","50-59","CO",2008,"Female",100,1250,-0.08,4,4.976,FALSE,-0.08
"110","50-59","CO",2009,"Female",100,1260,-0.0793650793650794,4,4.95238095238095,FALSE,-0.0793650793650794
"111","50-59","CO",2010,"Female",110,1270,-0.0866141732283465,4,4.92913385826772,FALSE,-0.0866141732283465
"112","50-59","CO",2011,"Female",130,1500,-0.0866666666666667,4,5.08,FALSE,-0.0866666666666667
"113","50-59","CO",2012,"Female",130,1630,-0.0797546012269939,4,5.00613496932515,FALSE,-0.0797546012269939
"114","50-59","CO",2013,"Female",140,1830,-0.0765027322404372,4,4.88524590163934,FALSE,-0.0765027322404372
"115","50-59","CO",2008,"Male",120,1250,0.096,4,4.976,FALSE,0.096
"116","50-59","CO",2009,"Male",110,1260,0.0873015873015873,4,4.95238095238095,FALSE,0.0873015873015873
"117","50-59","CO",2010,"Male",100,1270,0.078740157480315,4,4.92913385826772,FALSE,0.078740157480315
"118","50-59","CO",2011,"Male",140,1500,0.0933333333333333,4,5.08,FALSE,0.0933333333333333
"119","50-59","CO",2012,"Male",140,1630,0.0858895705521472,4,5.00613496932515,FALSE,0.0858895705521472
"120","50-59","CO",2013,"Male",160,1830,0.087431693989071,4,4.88524590163934,FALSE,0.087431693989071
"121","60-64","CO",2008,"Female",10,1250,-0.008,5,4.976,FALSE,-0.008
"122","60-64","CO",2009,"Female",20,1260,-0.0158730158730159,5,4.95238095238095,FALSE,-0.0158730158730159
"123","60-64","CO",2010,"Female",20,1270,-0.015748031496063,5,4.92913385826772,FALSE,-0.015748031496063
"124","60-64","CO",2011,"Female",20,1500,-0.0133333333333333,5,5.08,FALSE,-0.0133333333333333
"125","60-64","CO",2012,"Female",20,1630,-0.0122699386503067,5,5.00613496932515,FALSE,-0.0122699386503067
"126","60-64","CO",2013,"Female",10,1830,-0.00546448087431694,5,4.88524590163934,FALSE,-0.00546448087431694
"127","60-64","CO",2008,"Male",20,1250,0.016,5,4.976,FALSE,0.016
"128","60-64","CO",2009,"Male",20,1260,0.0158730158730159,5,4.95238095238095,FALSE,0.0158730158730159
"129","60-64","CO",2010,"Male",20,1270,0.015748031496063,5,4.92913385826772,FALSE,0.015748031496063
"130","60-64","CO",2011,"Male",30,1500,0.02,5,5.08,FALSE,0.02
"131","60-64","CO",2012,"Male",20,1630,0.0122699386503067,5,5.00613496932515,FALSE,0.0122699386503067
"132","60-64","CO",2013,"Male",20,1830,0.0109289617486339,5,4.88524590163934,FALSE,0.0109289617486339
"133","65 +","CO",2008,"Female",0,1250,0,6,4.976,FALSE,0
"134","65 +","CO",2009,"Female",0,1260,0,6,4.95238095238095,FALSE,0
"135","65 +","CO",2010,"Female",0,1270,0,6,4.92913385826772,FALSE,0
"136","65 +","CO",2011,"Female",0,1500,0,6,5.08,FALSE,0
"137","65 +","CO",2012,"Female",10,1630,-0.00613496932515337,6,5.00613496932515,FALSE,-0.00613496932515337
"138","65 +","CO",2013,"Female",0,1830,0,6,4.88524590163934,FALSE,0
"139","65 +","CO",2008,"Male",0,1250,0,6,4.976,FALSE,0
"140","65 +","CO",2009,"Male",0,1260,0,6,4.95238095238095,FALSE,0
"141","65 +","CO",2010,"Male",0,1270,0,6,4.92913385826772,FALSE,0
"142","65 +","CO",2011,"Male",0,1500,0,6,5.08,FALSE,0
"143","65 +","CO",2012,"Male",10,1630,0.00613496932515337,6,5.00613496932515,FALSE,0.00613496932515337
"144","65 +","CO",2013,"Male",10,1830,0.00546448087431694,6,4.88524590163934,FALSE,0.00546448087431694
"145","< 29","FCO",2008,"Female",480,5930,-0.0809443507588533,1,5.21079258010118,FALSE,-0.0809443507588533
"146","< 29","FCO",2009,"Female",490,6090,-0.0804597701149425,1,5.23809523809524,FALSE,-0.0804597701149425
"147","< 29","FCO",2010,"Female",450,6020,-0.0747508305647841,1,5.21262458471761,FALSE,-0.0747508305647841
"148","< 29","FCO",2011,"Female",410,5750,-0.071304347826087,1,5.30782608695652,FALSE,-0.071304347826087
"149","< 29","FCO",2012,"Female",380,6580,-0.0577507598784195,1,5.34650455927052,FALSE,-0.0577507598784195
"150","< 29","FCO",2013,"Female",310,4850,-0.0639175257731959,1,5.26185567010309,FALSE,-0.0639175257731959
"151","< 29","FCO",2008,"Male",510,5930,0.0860033726812816,1,5.21079258010118,FALSE,0.0860033726812816
"152","< 29","FCO",2009,"Male",530,6090,0.0870279146141215,1,5.23809523809524,FALSE,0.0870279146141215
"153","< 29","FCO",2010,"Male",560,6020,0.0930232558139535,1,5.21262458471761,FALSE,0.0930232558139535
"154","< 29","FCO",2011,"Male",460,5750,0.08,1,5.30782608695652,FALSE,0.08
"155","< 29","FCO",2012,"Male",440,6580,0.0668693009118541,1,5.34650455927052,FALSE,0.0668693009118541
"156","< 29","FCO",2013,"Male",340,4850,0.0701030927835052,1,5.26185567010309,FALSE,0.0701030927835052
"157","30-39","FCO",2008,"Female",820,5930,-0.138279932546374,2,5.21079258010118,FALSE,-0.138279932546374
"158","30-39","FCO",2009,"Female",840,6090,-0.137931034482759,2,5.23809523809524,FALSE,-0.137931034482759
"159","30-39","FCO",2010,"Female",830,6020,-0.137873754152824,2,5.21262458471761,FALSE,-0.137873754152824
"160","30-39","FCO",2011,"Female",800,5750,-0.139130434782609,2,5.30782608695652,FALSE,-0.139130434782609
"161","30-39","FCO",2012,"Female",1000,6580,-0.151975683890578,2,5.34650455927052,FALSE,-0.151975683890578
"162","30-39","FCO",2013,"Female",740,4850,-0.152577319587629,2,5.26185567010309,FALSE,-0.152577319587629
"163","30-39","FCO",2008,"Male",1000,5930,0.168634064080944,2,5.21079258010118,FALSE,0.168634064080944
"164","30-39","FCO",2009,"Male",960,6090,0.157635467980296,2,5.23809523809524,FALSE,0.157635467980296
"165","30-39","FCO",2010,"Male",990,6020,0.164451827242525,2,5.21262458471761,FALSE,0.164451827242525
"166","30-39","FCO",2011,"Male",940,5750,0.163478260869565,2,5.30782608695652,FALSE,0.163478260869565
"167","30-39","FCO",2012,"Male",1140,6580,0.173252279635258,2,5.34650455927052,FALSE,0.173252279635258
"168","30-39","FCO",2013,"Male",910,4850,0.187628865979381,2,5.26185567010309,FALSE,0.187628865979381
"169","40-49","FCO",2008,"Female",760,5930,-0.128161888701518,3,5.21079258010118,FALSE,-0.128161888701518
"170","40-49","FCO",2009,"Female",830,6090,-0.136288998357964,3,5.23809523809524,FALSE,-0.136288998357964
"171","40-49","FCO",2010,"Female",790,6020,-0.131229235880399,3,5.21262458471761,FALSE,-0.131229235880399
"172","40-49","FCO",2011,"Female",780,5750,-0.135652173913043,3,5.30782608695652,FALSE,-0.135652173913043
"173","40-49","FCO",2012,"Female",1000,6580,-0.151975683890578,3,5.34650455927052,FALSE,-0.151975683890578
"174","40-49","FCO",2013,"Female",680,4850,-0.14020618556701,3,5.26185567010309,FALSE,-0.14020618556701
"175","40-49","FCO",2008,"Male",1100,5930,0.185497470489039,3,5.21079258010118,FALSE,0.185497470489039
"176","40-49","FCO",2009,"Male",1150,6090,0.188834154351396,3,5.23809523809524,FALSE,0.188834154351396
"177","40-49","FCO",2010,"Male",1160,6020,0.192691029900332,3,5.21262458471761,FALSE,0.192691029900332
"178","40-49","FCO",2011,"Male",1160,5750,0.201739130434783,3,5.30782608695652,FALSE,0.201739130434783
