"","Civil.Service.grad","gradeval","Group","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"1","AO/AA",1,"DECC",2010,70,1050,0.0666666666666667,0.0666666666666667,0.659047619047619,FALSE,-0.0333333333333333,FALSE,"FALSE2010",-0.0333333333333333
"2","EO",2,"DECC",2010,110,1050,0.104761904761905,0.20952380952381,0.659047619047619,FALSE,-0.0523809523809524,FALSE,"FALSE2010",-0.0523809523809524
"3","G6/G7",4,"DECC",2010,400,1050,0.380952380952381,1.52380952380952,0.659047619047619,FALSE,-0.19047619047619,FALSE,"FALSE2010",-0.19047619047619
"4","SCS",5,"DECC",2010,80,1050,0.0761904761904762,0.380952380952381,0.659047619047619,FALSE,-0.0380952380952381,FALSE,"FALSE2010",-0.0380952380952381
"5","SEO/HEO",3,"DECC",2010,390,1050,0.371428571428571,1.11428571428571,0.659047619047619,FALSE,-0.185714285714286,FALSE,"FALSE2010",-0.185714285714286
"6","AO/AA",1,"DECC",2014,60,1570,0.0382165605095541,0.0382165605095541,0.680254777070064,FALSE,-0.0191082802547771,FALSE,"FALSE2014",-0.0191082802547771
"7","EO",2,"DECC",2014,130,1570,0.0828025477707006,0.165605095541401,0.680254777070064,FALSE,-0.0414012738853503,FALSE,"FALSE2014",-0.0414012738853503
"8","G6/G7",4,"DECC",2014,690,1570,0.439490445859873,1.75796178343949,0.680254777070064,FALSE,-0.219745222929936,FALSE,"FALSE2014",-0.219745222929936
"9","SCS",5,"DECC",2014,110,1570,0.0700636942675159,0.35031847133758,0.680254777070064,FALSE,-0.035031847133758,FALSE,"FALSE2014",-0.035031847133758
"10","SEO/HEO",3,"DECC",2014,570,1570,0.363057324840764,1.08917197452229,0.680254777070064,FALSE,-0.181528662420382,FALSE,"FALSE2014",-0.181528662420382
"11","AO/AA",1,"DECC",2010,70,1050,0.0666666666666667,0.0666666666666667,0.659047619047619,FALSE,0.0333333333333333,TRUE,"TRUE2010",0.0333333333333333
"12","EO",2,"DECC",2010,110,1050,0.104761904761905,0.20952380952381,0.659047619047619,FALSE,0.0523809523809524,TRUE,"TRUE2010",0.0523809523809524
"13","G6/G7",4,"DECC",2010,400,1050,0.380952380952381,1.52380952380952,0.659047619047619,FALSE,0.19047619047619,TRUE,"TRUE2010",0.19047619047619
"14","SCS",5,"DECC",2010,80,1050,0.0761904761904762,0.380952380952381,0.659047619047619,FALSE,0.0380952380952381,TRUE,"TRUE2010",0.0380952380952381
"15","SEO/HEO",3,"DECC",2010,390,1050,0.371428571428571,1.11428571428571,0.659047619047619,FALSE,0.185714285714286,TRUE,"TRUE2010",0.185714285714286
"16","AO/AA",1,"DECC",2014,60,1570,0.0382165605095541,0.0382165605095541,0.680254777070064,FALSE,0.0191082802547771,TRUE,"TRUE2014",0.0191082802547771
"17","EO",2,"DECC",2014,130,1570,0.0828025477707006,0.165605095541401,0.680254777070064,FALSE,0.0414012738853503,TRUE,"TRUE2014",0.0414012738853503
"18","G6/G7",4,"DECC",2014,690,1570,0.439490445859873,1.75796178343949,0.680254777070064,FALSE,0.219745222929936,TRUE,"TRUE2014",0.219745222929936
"19","SCS",5,"DECC",2014,110,1570,0.0700636942675159,0.35031847133758,0.680254777070064,FALSE,0.035031847133758,TRUE,"TRUE2014",0.035031847133758
"20","SEO/HEO",3,"DECC",2014,570,1570,0.363057324840764,1.08917197452229,0.680254777070064,FALSE,0.181528662420382,TRUE,"TRUE2014",0.181528662420382
"21","AO/AA",1,"DfID",2010,160,1620,0.0987654320987654,0.0987654320987654,0.654320987654321,FALSE,-0.0493827160493827,FALSE,"FALSE2010",-0.0493827160493827
"22","EO",2,"DfID",2010,200,1620,0.123456790123457,0.246913580246914,0.654320987654321,FALSE,-0.0617283950617284,FALSE,"FALSE2010",-0.0617283950617284
"23","G6/G7",4,"DfID",2010,730,1620,0.450617283950617,1.80246913580247,0.654320987654321,FALSE,-0.225308641975309,FALSE,"FALSE2010",-0.225308641975309
"24","SCS",5,"DfID",2010,100,1620,0.0617283950617284,0.308641975308642,0.654320987654321,FALSE,-0.0308641975308642,FALSE,"FALSE2010",-0.0308641975308642
"25","SEO/HEO",3,"DfID",2010,440,1620,0.271604938271605,0.814814814814815,0.654320987654321,FALSE,-0.135802469135802,FALSE,"FALSE2010",-0.135802469135802
"26","AO/AA",1,"DfID",2014,90,1900,0.0473684210526316,0.0473684210526316,0.684210526315789,FALSE,-0.0236842105263158,FALSE,"FALSE2014",-0.0236842105263158
"27","EO",2,"DfID",2014,180,1900,0.0947368421052632,0.189473684210526,0.684210526315789,FALSE,-0.0473684210526316,FALSE,"FALSE2014",-0.0473684210526316
"28","G6/G7",4,"DfID",2014,1030,1900,0.542105263157895,2.16842105263158,0.684210526315789,FALSE,-0.271052631578947,FALSE,"FALSE2014",-0.271052631578947
"29","SCS",5,"DfID",2014,80,1900,0.0421052631578947,0.210526315789474,0.684210526315789,FALSE,-0.0210526315789474,FALSE,"FALSE2014",-0.0210526315789474
"30","SEO/HEO",3,"DfID",2014,510,1900,0.268421052631579,0.805263157894737,0.684210526315789,FALSE,-0.134210526315789,FALSE,"FALSE2014",-0.134210526315789
"31","AO/AA",1,"DfID",2010,160,1620,0.0987654320987654,0.0987654320987654,0.654320987654321,FALSE,0.0493827160493827,TRUE,"TRUE2010",0.0493827160493827
"32","EO",2,"DfID",2010,200,1620,0.123456790123457,0.246913580246914,0.654320987654321,FALSE,0.0617283950617284,TRUE,"TRUE2010",0.0617283950617284
"33","G6/G7",4,"DfID",2010,730,1620,0.450617283950617,1.80246913580247,0.654320987654321,FALSE,0.225308641975309,TRUE,"TRUE2010",0.225308641975309
"34","SCS",5,"DfID",2010,100,1620,0.0617283950617284,0.308641975308642,0.654320987654321,FALSE,0.0308641975308642,TRUE,"TRUE2010",0.0308641975308642
"35","SEO/HEO",3,"DfID",2010,440,1620,0.271604938271605,0.814814814814815,0.654320987654321,FALSE,0.135802469135802,TRUE,"TRUE2010",0.135802469135802
"36","AO/AA",1,"DfID",2014,90,1900,0.0473684210526316,0.0473684210526316,0.684210526315789,FALSE,0.0236842105263158,TRUE,"TRUE2014",0.0236842105263158
"37","EO",2,"DfID",2014,180,1900,0.0947368421052632,0.189473684210526,0.684210526315789,FALSE,0.0473684210526316,TRUE,"TRUE2014",0.0473684210526316
"38","G6/G7",4,"DfID",2014,1030,1900,0.542105263157895,2.16842105263158,0.684210526315789,FALSE,0.271052631578947,TRUE,"TRUE2014",0.271052631578947
"39","SCS",5,"DfID",2014,80,1900,0.0421052631578947,0.210526315789474,0.684210526315789,FALSE,0.0210526315789474,TRUE,"TRUE2014",0.0210526315789474
"40","SEO/HEO",3,"DfID",2014,510,1900,0.268421052631579,0.805263157894737,0.684210526315789,FALSE,0.134210526315789,TRUE,"TRUE2014",0.134210526315789
"41","AO/AA",1,"DH",2010,130,2710,0.0479704797047971,0.0479704797047971,0.653136531365314,FALSE,-0.0239852398523985,FALSE,"FALSE2010",-0.0239852398523985
"42","EO",2,"DH",2010,460,2710,0.169741697416974,0.339483394833948,0.653136531365314,FALSE,-0.0848708487084871,FALSE,"FALSE2010",-0.0848708487084871
"43","G6/G7",4,"DH",2010,910,2710,0.335793357933579,1.34317343173432,0.653136531365314,FALSE,-0.16789667896679,FALSE,"FALSE2010",-0.16789667896679
"44","SCS",5,"DH",2010,280,2710,0.103321033210332,0.516605166051661,0.653136531365314,FALSE,-0.0516605166051661,FALSE,"FALSE2010",-0.0516605166051661
"45","SEO/HEO",3,"DH",2010,920,2710,0.339483394833948,1.01845018450184,0.653136531365314,FALSE,-0.169741697416974,FALSE,"FALSE2010",-0.169741697416974
"46","AO/AA",1,"DH",2014,110,1920,0.0572916666666667,0.0572916666666667,0.648958333333333,FALSE,-0.0286458333333333,FALSE,"FALSE2014",-0.0286458333333333
"47","EO",2,"DH",2014,310,1920,0.161458333333333,0.322916666666667,0.648958333333333,FALSE,-0.0807291666666667,FALSE,"FALSE2014",-0.0807291666666667
"48","G6/G7",4,"DH",2014,660,1920,0.34375,1.375,0.648958333333333,FALSE,-0.171875,FALSE,"FALSE2014",-0.171875
"49","SCS",5,"DH",2014,170,1920,0.0885416666666667,0.442708333333333,0.648958333333333,FALSE,-0.0442708333333333,FALSE,"FALSE2014",-0.0442708333333333
"50","SEO/HEO",3,"DH",2014,670,1920,0.348958333333333,1.046875,0.648958333333333,FALSE,-0.174479166666667,FALSE,"FALSE2014",-0.174479166666667
"51","AO/AA",1,"DH",2010,130,2710,0.0479704797047971,0.0479704797047971,0.653136531365314,FALSE,0.0239852398523985,TRUE,"TRUE2010",0.0239852398523985
"52","EO",2,"DH",2010,460,2710,0.169741697416974,0.339483394833948,0.653136531365314,FALSE,0.0848708487084871,TRUE,"TRUE2010",0.0848708487084871
"53","G6/G7",4,"DH",2010,910,2710,0.335793357933579,1.34317343173432,0.653136531365314,FALSE,0.16789667896679,TRUE,"TRUE2010",0.16789667896679
"54","SCS",5,"DH",2010,280,2710,0.103321033210332,0.516605166051661,0.653136531365314,FALSE,0.0516605166051661,TRUE,"TRUE2010",0.0516605166051661
"55","SEO/HEO",3,"DH",2010,920,2710,0.339483394833948,1.01845018450184,0.653136531365314,FALSE,0.169741697416974,TRUE,"TRUE2010",0.169741697416974
"56","AO/AA",1,"DH",2014,110,1920,0.0572916666666667,0.0572916666666667,0.648958333333333,FALSE,0.0286458333333333,TRUE,"TRUE2014",0.0286458333333333
"57","EO",2,"DH",2014,310,1920,0.161458333333333,0.322916666666667,0.648958333333333,FALSE,0.0807291666666667,TRUE,"TRUE2014",0.0807291666666667
"58","G6/G7",4,"DH",2014,660,1920,0.34375,1.375,0.648958333333333,FALSE,0.171875,TRUE,"TRUE2014",0.171875
"59","SCS",5,"DH",2014,170,1920,0.0885416666666667,0.442708333333333,0.648958333333333,FALSE,0.0442708333333333,TRUE,"TRUE2014",0.0442708333333333
"60","SEO/HEO",3,"DH",2014,670,1920,0.348958333333333,1.046875,0.648958333333333,FALSE,0.174479166666667,TRUE,"TRUE2014",0.174479166666667
"61","AO/AA",1,"DCMS",2010,50,740,0.0675675675675676,0.0675675675675676,0.640540540540541,FALSE,-0.0337837837837838,FALSE,"FALSE2010",-0.0337837837837838
"62","EO",2,"DCMS",2010,140,740,0.189189189189189,0.378378378378378,0.640540540540541,FALSE,-0.0945945945945946,FALSE,"FALSE2010",-0.0945945945945946
"63","G6/G7",4,"DCMS",2010,220,740,0.297297297297297,1.18918918918919,0.640540540540541,FALSE,-0.148648648648649,FALSE,"FALSE2010",-0.148648648648649
"64","SCS",5,"DCMS",2010,70,740,0.0945945945945946,0.472972972972973,0.640540540540541,FALSE,-0.0472972972972973,FALSE,"FALSE2010",-0.0472972972972973
"65","SEO/HEO",3,"DCMS",2010,270,740,0.364864864864865,1.09459459459459,0.640540540540541,FALSE,-0.182432432432432,FALSE,"FALSE2010",-0.182432432432432
"66","AO/AA",1,"DCMS",2014,40,390,0.102564102564103,0.102564102564103,0.656410256410256,FALSE,-0.0512820512820513,FALSE,"FALSE2014",-0.0512820512820513
"67","EO",2,"DCMS",2014,50,390,0.128205128205128,0.256410256410256,0.656410256410256,FALSE,-0.0641025641025641,FALSE,"FALSE2014",-0.0641025641025641
"68","G6/G7",4,"DCMS",2014,130,390,0.333333333333333,1.33333333333333,0.656410256410256,FALSE,-0.166666666666667,FALSE,"FALSE2014",-0.166666666666667
"69","SCS",5,"DCMS",2014,40,390,0.102564102564103,0.512820512820513,0.656410256410256,FALSE,-0.0512820512820513,FALSE,"FALSE2014",-0.0512820512820513
"70","SEO/HEO",3,"DCMS",2014,140,390,0.358974358974359,1.07692307692308,0.656410256410256,FALSE,-0.179487179487179,FALSE,"FALSE2014",-0.179487179487179
"71","AO/AA",1,"DCMS",2010,50,740,0.0675675675675676,0.0675675675675676,0.640540540540541,FALSE,0.0337837837837838,TRUE,"TRUE2010",0.0337837837837838
"72","EO",2,"DCMS",2010,140,740,0.189189189189189,0.378378378378378,0.640540540540541,FALSE,0.0945945945945946,TRUE,"TRUE2010",0.0945945945945946
"73","G6/G7",4,"DCMS",2010,220,740,0.297297297297297,1.18918918918919,0.640540540540541,FALSE,0.148648648648649,TRUE,"TRUE2010",0.148648648648649
"74","SCS",5,"DCMS",2010,70,740,0.0945945945945946,0.472972972972973,0.640540540540541,FALSE,0.0472972972972973,TRUE,"TRUE2010",0.0472972972972973
"75","SEO/HEO",3,"DCMS",2010,270,740,0.364864864864865,1.09459459459459,0.640540540540541,FALSE,0.182432432432432,TRUE,"TRUE2010",0.182432432432432
"76","AO/AA",1,"DCMS",2014,40,390,0.102564102564103,0.102564102564103,0.656410256410256,FALSE,0.0512820512820513,TRUE,"TRUE2014",0.0512820512820513
"77","EO",2,"DCMS",2014,50,390,0.128205128205128,0.256410256410256,0.656410256410256,FALSE,0.0641025641025641,TRUE,"TRUE2014",0.0641025641025641
"78","G6/G7",4,"DCMS",2014,130,390,0.333333333333333,1.33333333333333,0.656410256410256,FALSE,0.166666666666667,TRUE,"TRUE2014",0.166666666666667
"79","SCS",5,"DCMS",2014,40,390,0.102564102564103,0.512820512820513,0.656410256410256,FALSE,0.0512820512820513,TRUE,"TRUE2014",0.0512820512820513
"80","SEO/HEO",3,"DCMS",2014,140,390,0.358974358974359,1.07692307692308,0.656410256410256,FALSE,0.179487179487179,TRUE,"TRUE2014",0.179487179487179
"81","AO/AA",1,"HMT",2010,120,1450,0.0827586206896552,0.0827586206896552,0.649655172413793,FALSE,-0.0413793103448276,FALSE,"FALSE2010",-0.0413793103448276
"82","EO",2,"HMT",2010,190,1450,0.131034482758621,0.262068965517241,0.649655172413793,FALSE,-0.0655172413793104,FALSE,"FALSE2010",-0.0655172413793104
"83","G6/G7",4,"HMT",2010,470,1450,0.324137931034483,1.29655172413793,0.649655172413793,FALSE,-0.162068965517241,FALSE,"FALSE2010",-0.162068965517241
"84","SCS",5,"HMT",2010,160,1450,0.110344827586207,0.551724137931034,0.649655172413793,FALSE,-0.0551724137931034,FALSE,"FALSE2010",-0.0551724137931034
"85","SEO/HEO",3,"HMT",2010,510,1450,0.351724137931034,1.0551724137931,0.649655172413793,FALSE,-0.175862068965517,FALSE,"FALSE2010",-0.175862068965517
"86","AO/AA",1,"HMT",2014,70,1220,0.0573770491803279,0.0573770491803279,0.639344262295082,FALSE,-0.0286885245901639,FALSE,"FALSE2014",-0.0286885245901639
"87","EO",2,"HMT",2014,140,1220,0.114754098360656,0.229508196721311,0.639344262295082,FALSE,-0.0573770491803279,FALSE,"FALSE2014",-0.0573770491803279
